Reaction,fc,pval,MCF10A_KO,MCF10A_P,subSystem
ALCD2yf,1,0,381.98910806274415,NA,Glycolysis/gluconeogenesis
ALDD21,-0.435569277036673,0,0.3580303544520066,0.9106119780287824,Fatty acid oxidation
ALDD2y,-0.5461168638935305,0,117.88532506206036,401.56699948699475,Glycolysis/gluconeogenesis
ALOX52,1,0,598.5464858636856,NA,Eicosanoid metabolism
AMACR2p,0.9196411127502055,0,244.02489111609458,10.215226471810473,Bile acid synthesis
AMETr,-1,0,-16.742197618630733,NA,"Transport, endoplasmic reticular"
AMETt2m,1.417120397749587,0,53.072171542549505,-307.5414894127857,"Transport, mitochondrial"
AMPDA,-0.5778379534922005,0,236.18667649879455,882.7517901519775,Nucleotide interconversion
AMY1e,-0.5216809360090839,0,26.003539974051716,82.72530623620749,Starch and sucrose metabolism
ANDRSTRNGLCte,1,0,2.0496248673258406,NA,"Transport, extracellular"
ANDRSTRNGLCtr,-1,0,-2.0496248673258406,NA,"Transport, endoplasmic reticular"
ANDRSTRNtr,1.0069633530823228,0,111.32477561807633,-0.3862520550006416,"Transport, endoplasmic reticular"
APOCF,-1,0,NA,1.4062253291605973,Biotin metabolism
APOCFm,-1,0,NA,0.8641942233147114,Biotin metabolism
APOC_LYS_BTNP,-1,0,NA,1.4062253291605973,Biotin metabolism
APOC_LYS_BTNPm,-1,0,NA,0.8641942233147114,Biotin metabolism
ARACHCPT1,-0.35627559228551936,0,7.645009325073008,16.107420234701888,Fatty acid oxidation
ARACHCPT2,-0.35627559228551936,0,7.645009325073008,16.107420234701888,Fatty acid oxidation
ARACHDCOAtx,1,0,NA,-3.1476548121913512,"Transport, peroxisomal"
ARGNm,-1,0,NA,213.23943494005204,Urea cycle
ARGtm,-1,0,NA,220.91539396998883,"Transport, mitochondrial"
R_group_phosphotase_1,1,0,1.452427158156468,NA,Miscellaneous
R_group_phosphotase_2,1,0,1.452427158156468,NA,Miscellaneous
ARTPLM3m,0.4409368896519622,0,1.3795285946810347,0.5352375614054268,R group synthesis
ASAH1,0.3823878761257998,0,3.941555469644643,1.76097641408544,Sphingolipid metabolism
ASCBt4,1,0,NA,-552.1226319648742,"Transport, extracellular"
ASNALANaEx,-0.9878220384778584,0,1.425649082005493,232.71026593356132,"Transport, extracellular"
ASNCYSNaEx,-0.858679222927608,0,26.17443618421421,344.2514378655195,"Transport, extracellular"
ASNGLNNaEx,-0.9170632553888729,0,1.4267964696692226,32.980063272877224,"Transport, extracellular"
ASNSERNaEx,-0.9837530057346139,0,1.0765330113649147,131.4443497784376,"Transport, extracellular"
ASNt4,-0.8653522318657672,0,21.12163728744164,292.6100729386807,"Transport, extracellular"
ASNTHRNaEx,-0.4856627827165144,0,14.607221508413309,42.19295167587444,"Transport, extracellular"
ASPCTr,-1,0,-466.08469713287354,NA,Pyrimidine synthesis
ASPGLUm,1,0,47.262785429145396,NA,"Transport, mitochondrial"
ASPTAm,-1.8602500731511902,0,-141.48361848213366,470.41964045505523,Alanine and aspartate metabolism
ATPH1e,-0.9363354760524192,0,0.544489439603033,16.56046653403616,Nucleotide interconversion
ATPH2e,0.9807172479944485,0,191.43472279191016,1.8636624124849601,Nucleotide interconversion
ATPtn,0.6323719802146325,0,195.6138116150856,44.05436939518303,"Transport, nuclear"
B_MANNASEly,-0.9953067574484287,0,0.11638045567559312,49.47852302385271,N-glycan degradation
B3GALT41g,-0.47036549480779133,0,0.09836259854996042,0.2730731654936373,Sphingolipid metabolism
B3GALT42g,0.360226130659626,0,0.8246500907500071,0.3878690223037945,Sphingolipid metabolism
B3GALT43g,0.5775612575483042,0,0.3965870849596158,0.106197935985883,Sphingolipid metabolism
B3GNT310g,-0.41887523454907016,1.1692325601428092e-12,0.47422868224056436,1.1578775725069224,Blood group synthesis
B3GNT51g,-0.5149346258460196,0,0.6968902328285389,2.176496613404341,Blood group synthesis
BAAT3x,0.9160793183717946,0,245.04165743699073,10.732365159544628,Bile acid synthesis
BACCL,-1,0,NA,1.4062253291605973,Biotin metabolism
BACCLm,-1,0,NA,0.8641942233147114,Biotin metabolism
BDHm,1,0,NA,-407.49460336437227,Butanoate metabolism
BHBtm,1,0,NA,-407.49460336437227,"Transport, mitochondrial"
BILDGLCURt,1,0,0.8471907005130314,NA,"Transport, extracellular"
BILDGLCURte,1,0,0.31806027273595067,NA,"Transport, extracellular"
BILDGLCURtr,1,0,0.5291304282717072,NA,"Transport, endoplasmic reticular"
BILGLCURt,1,0,0.431831076077139,NA,"Transport, extracellular"
