Reaction,fc,pval,MCF10A_KO,MCF10A_P,subSystem
AHEXASE2ly,-1,-2.176,NA,14.07618186791425,N-glycan degradation
AHEXASEly,-1,-2.1774516344229484,NA,2.2073241619534993,N-glycan degradation
AKGMALtm,-1.3771638449922503,0,-268.1241586196899,42.540920691414925,"Transport, mitochondrial"
ALAASNNaEx,0.7026069437973843,0,201.60195604170227,35.21365988908012,"Transport, extracellular"
ALAGLNNaEx,0.7741616828965862,0,195.61992978736163,24.901042650711346,"Transport, extracellular"
ALASERNaEx,-0.5675405917348928,0,72.20622276082058,261.72672623196246,"Transport, extracellular"
ALASm,1,-2.17890520694259,382.46025845116674,NA,"Glycine, serine, alanine, and threonine metabolism"
ALAt4,0.41443986101451014,0,290.1825468153,120.13188904507784,"Transport, extracellular"
ALATHRNaEx,0.6165046201223309,0,94.94797512748409,22.525212323472648,"Transport, extracellular"
ALCD22_L,0.5087011363299839,0,342.8192471713066,111.63689250555113,Pyruvate metabolism
ALCD2if,-0.7618987904157093,0,74.4375870646663,550.8224625976562,Glycolysis/gluconeogenesis
ALCD2yf,1,-2.1803607214428857,239.69961374721527,NA,Glycolysis/gluconeogenesis
ALDD21,-0.3465790683946111,0,2.001637083591369,4.125001922825367,Fatty acid oxidation
ALOX52,1,-2.1818181818181817,828.4107405334472,NA,Eicosanoid metabolism
AMACR2p,0.7320964893717644,0,150.72938009147643,23.31332597756749,Bile acid synthesis
AMETr,-1,-2.183277591973244,-6.3897131723540195,NA,"Transport, endoplasmic reticular"
AMETt2m,2.0255636693862678,0,181.06640217814967,-534.1725185180665,"Transport, mitochondrial"
AMY1e,-0.41423780190982884,0,26.79994629177926,64.70458021798274,Starch and sucrose metabolism
ANDRSTRNGLCte,1,-2.1847389558232932,24.226283109438477,NA,"Transport, extracellular"
ANDRSTRNGLCtr,-1,-2.186202277294039,-24.226283109438477,NA,"Transport, endoplasmic reticular"
ANDRSTRNtr,1.0616220971815942,0,160.09417885842322,-4.78523152293915,"Transport, endoplasmic reticular"
APOCF,-1,-2.187667560321716,NA,8.542880543994217,Biotin metabolism
APOCFm,-1,-2.189134808853119,NA,4.600615405712665,Biotin metabolism
APOC_LYS_BTNP,-1,-2.1906040268456377,NA,8.542880543994217,Biotin metabolism
APOC_LYS_BTNPm,-1,-2.1920752182672936,NA,4.600615405712665,Biotin metabolism
ARAB_Lt,0.39299171922692333,0,657.831954797554,286.65600692936107,"Transport, extracellular"
ARABR,0.39299171922692333,0,657.831954797554,286.65600692936107,Pentose phosphate pathway
ARACHCPT1,0.4888672011044189,0,7.121483990669268,2.4448278810499295,Fatty acid oxidation
ARACHCPT2,0.4888672011347266,0,7.121483990681189,2.444827880859288,Fatty acid oxidation
ARACHDCOAtx,1,-2.193548387096774,NA,-59.322823497309166,"Transport, peroxisomal"
ARGNm,-1,-2.19502353732347,NA,301.3846887925148,Urea cycle
ARGtm,-1,-2.19650067294751,NA,321.9318446688652,"Transport, mitochondrial"
R_group_phosphotase_1,1,-2.197979797979798,6.516617504070557,NA,Miscellaneous
R_group_phosphotase_2,1,-2.1994609164420487,6.516617504070557,NA,Miscellaneous
ARTPLM3m,0.3467748886424717,0,7.851959587961745,3.808429470637943,R group synthesis
ASCBt4,1,-2.200944032366824,NA,-530.1183954788208,"Transport, extracellular"
ASNALANaEx,0.3953650561890526,0,221.9569425782576,96.1776439140467,"Transport, extracellular"
ASNCYSNaEx,-0.9390091462143988,0,6.258896116167045,198.98158594590424,"Transport, extracellular"
ASNGLNNaEx,-0.5832237832962166,0,9.658335719854373,36.68948996098993,"Transport, extracellular"
ASNSERNaEx,-0.9380977495244825,0,7.870912545299406,246.43042496140004,"Transport, extracellular"
ASNTHRNaEx,-0.644052118322759,0,34.144113579678375,157.70483587207795,"Transport, extracellular"
ASPCTr,-1,-2.2024291497975708,-46.80538237251677,NA,Pyrimidine synthesis
ASPGLUm,1,-2.203916272788656,21.740365572262835,NA,"Transport, mitochondrial"
ASPTAm,-1.266368779834071,0,-40.047377934043574,340.7386072814941,Alanine and aspartate metabolism
ATP1ter,-0.37271011370513984,0,21.442240629005177,46.92245358169079,"Transport, endoplasmic reticular"
ATPH1e,-0.9164848735094301,0,3.3583456453595404,77.06650160045623,Nucleotide interconversion
B_MANNASEly,-0.9109187126983959,0,0.931541501821691,19.9828734115541,N-glycan degradation
BAAT3x,0.7161750502302122,0,152.29721029014587,25.187260504038353,Bile acid synthesis
BACCL,-1,-2.2054054054054055,NA,8.542880543994217,Biotin metabolism
BACCLm,-1,-2.206896551724138,NA,4.600615405712665,Biotin metabolism
BDHm,1,-2.208389715832206,NA,-194.2036668154359,Butanoate metabolism
BHBtm,1,-2.2098849018280298,NA,-194.2036668154359,"Transport, mitochondrial"
BILDGLCURt,1,-2.2113821138211383,13.178533764834441,NA,"Transport, extracellular"
BILDGLCURte,1,-2.2128813559322036,4.365095480308123,NA,"Transport, extracellular"
BILDGLCURtr,1,-2.21438263229308,8.813438278088308,NA,"Transport, endoplasmic reticular"
BILGLCURt,1,-2.2158859470468433,13.501662083926846,NA,"Transport, extracellular"
BILGLCURte,1,-2.217391304347826,8.729509008456112,NA,"Transport, extracellular"
BILIRED,-0.6366497252149698,0,38.36114272240459,172.79126521288754,Heme degradation
BILIRUBtr,-0.3478570591430659,0,-774.9421795776367,-374.94559868621826,"Transport, endoplasmic reticular"
BMTer_U,-0.4975271545401579,0,7.489675812145695,22.321590129166843,Phosphatidylinositol phosphate metabolism
BTND1,-1,-2.218898708361659,NA,4.847619277286872,Biotin metabolism
BTNDm,-1,-2.220408163265306,NA,4.600615405712665,Biotin metabolism
BTNPL,-1,-2.2219196732471067,NA,8.542880543994217,Biotin metabolism
BTNPLm,-1,-2.223433242506812,NA,4.600615405712665,Biotin metabolism
BTNt2,1.2624609821481865,0,31.542179641694577,-271.89927488327027,"Transport, extracellular"
BTNt3i,1,-2.224948875255624,5.748169145458544,NA,"Transport, extracellular"
C160CPT2,1,-2.2264665757162345,NA,-65.96973862508386,Fatty acid oxidation
C160CRNt,1,-2.227986348122867,NA,-65.96973862508386,Fatty acid oxidation
C161CPT1,-1.0592455606123201,0,-5.468544226961648,190.07458628117294,Fatty acid oxidation
C161CPT2,-1,-2.2295081967213113,NA,164.10411135316733,Fatty acid oxidation
C161CPT22,0.7994459661939559,0,240.89687312435842,26.848730411472356,Fatty acid oxidation
C180CPT1,0.7896293198104762,0,250.4248409807451,29.43740558466697,Fatty acid oxidation
C180CPT2,-0.9937794947676079,0,0.14162712135249775,45.39394147362364,Fatty acid oxidation
