Reaction,fc,pval,OVCAR3_A1AKO,OVCAR3_P,subSystem
NT5C,-0.45870942719562646,0,0.2076835120050637,0.5596807187410057,NAD metabolism
NTD3,-0.5338982214437044,0,0.43780584078317186,1.4407788843780684,Pyrimidine catabolism
NTD5_a,1,0,1.3948278961744973,NA,Vitamin B2 metabolism
ORNDC,0.9074078234232901,0,101.94773368478715,4.948895796178346,Urea cycle
PFK,0.34101549122901925,0,632.2269456878186,310.6807982166052,Glycolysis/gluconeogenesis
PYDXNK,-0.4640299310776973,0,1.279723036949546,3.4956295849710703,Vitamin B6 metabolism
THRD_L,-1,0,NA,35.80333282895386,"Glycine, serine, alanine, and threonine metabolism"
TMDS,-0.6547466698303935,0,3.410608562657749,16.34652780432403,Nucleotide interconversion
TYRTA,-15.837046852147097,0,-14.949585094364103,13.173788516063592,Tyrosine metabolism
XYLt,8.023407345502994,0,278.7601814773809,-358.14050722649694,"Transport, extracellular"
r0392,0.9898826965462019,0,-1.6717873091301576,-328.80902049989703,Miscellaneous
r1667,-3.7865562508439803,0,-133.75358933677188,77.86639932905473,"Transport, extracellular"
EX_34dhpha[e],0.4724751544430348,0,-279.77285373774765,-780.9273430173874,Exchange/demand reaction
EX_ppa[e],1,0,NA,-1.0171762471789094,Exchange/demand reaction
EX_gam[e],0.4420655271139169,0,-0.30114476611034807,-0.7783539232342503,Exchange/demand reaction
EX_tre[e],0.8916945950505595,0,-10.26819857279191,-179.34742730636597,Exchange/demand reaction
ACGAM2E,-2.26160398119928,0,-3.4098412954406405,8.815406506481347,Aminosugar metabolism
DCMPDA,0.9880567494472237,0,-2.669800895691852,-444.41131557159423,Pyrimidine catabolism
FTHFL,-0.46196274686852,0,0.3443943693975749,0.935793451773296,Folate metabolism
EX_etoh[e],0.49221248290204106,0,-168.86811677859424,-496.24518787169455,Exchange/demand reaction
ETOHt,-0.49221248290204106,0,168.86811677859424,496.24518787169455,"Transport, extracellular"
THMt3,0.5320228388706769,0,841.803392688179,257.1402670665413,"Transport, extracellular"
AACOAT,-0.4272831324220185,0,0.5953542947468441,1.4836984744324406,Propanoate metabolism
EX_pheme[e],-0.37068895404846974,0,1.5285511607742404,3.329304650299414,Exchange/demand reaction
GLNt4,-0.4578109573957423,0,74.82882844404243,201.19603581593037,"Transport, extracellular"
AHC,0.9457421513297681,0,-18.405552387383672,-660.042002702713,Methionine and cysteine metabolism
PHPYRtm,-0.8245509464243852,0,2.0245097662122156,21.053525993492755,"Transport, mitochondrial"
3MOX4HOXMte,-0.7938147253733314,0,16.225477089839615,141.16187386641502,"Transport, extracellular"
EX_3mox4hoxm[e],-0.7938147253733314,0,16.225477089839615,141.16187386641502,Exchange/demand reaction
2H3MVc,0.6320677438513604,0,-150.88385708618165,-669.2880879646301,"Valine, leucine, and isoleucine metabolism"
2H3MVte,0.6320677438513604,0,-150.88385708618165,-669.2880879646301,"Transport, extracellular"
EX_2h3mv[e],0.6320677438513604,0,-150.88385708618165,-669.2880879646301,Exchange/demand reaction
2HIVc,-0.6009849831735451,0,-694.9852856353759,-173.2118466796875,"Valine, leucine, and isoleucine metabolism"
2HIVte,-0.6009849831735451,0,-694.9852856353759,-173.2118466796875,"Transport, extracellular"
EX_2hiv[e],-0.6009849831735451,0,-694.9852856353759,-173.2118466796875,Exchange/demand reaction
2M3HBUc,-0.8603656469397127,0,0.6068872353080904,8.085633222692188,"Valine, leucine, and isoleucine metabolism"
2M3HBUtm,-0.8603656469397127,0,0.6068872353080904,8.085633222692188,"Transport, mitochondrial"
2M3HBUte,-0.8603656469397127,0,0.6068872353080904,8.085633222692188,"Transport, extracellular"
EX_2m3hbu[e],-0.8603656469397127,0,0.6068872353080904,8.085633222692188,Exchange/demand reaction
2M3OVCOAm,-0.7891984028094321,0,1.443705913655103,12.253589864896052,Propanoate metabolism
2M3OVACm,-0.7891984028094321,0,1.443705913655103,12.253589864896052,Propanoate metabolism
2M3OVACtm,-0.7891984028094321,0,1.443705913655103,12.253589864896052,"Transport, mitochondrial"
2M3HVACc,-0.7891984028094321,0,1.443705913655103,12.253589864896052,Propanoate metabolism
2M3HVACte,-0.7891984028094321,0,1.443705913655103,12.253589864896052,"Transport, extracellular"
EX_2m3hvac[e],-0.7891984028094321,0,1.443705913655103,12.253589864896052,Exchange/demand reaction
TIGGLYc,0.3867587649737677,0,163.17745749258995,72.15901430634857,"Glycine, serine, alanine, and threonine metabolism"
TIGGLYtm,0.3867587649737677,0,163.17745749258995,72.15901430634857,"Transport, mitochondrial"
TIGGLYte,0.3867587649737677,0,163.17745749258995,72.15901430634857,"Transport, extracellular"
EX_tiggly[e],0.3867587649737677,0,163.17745749258995,72.15901430634857,Exchange/demand reaction
3HADICOAx,-0.7602552216595352,0,0.1050490785752234,0.7712918311403721,Fatty acid oxidation
