Reaction,fc,pval,Ges1_A_D,Ges1_P_D,subSystem
2HATVACIDhc,0.8870565366543725,0,11.244427194230749,0.6729976161211243,Drug metabolism
2HATVLACGLUChr,-0.34426242225432097,6.316747395608327e-6,0.8685943113055488,1.780618851959052,Drug metabolism
2HATVLACGLUCteb,-0.3442624222543267,6.316747395608327e-6,0.8685943113055488,1.7806188519590753,Drug metabolism
2HATVLACOXDhc,-0.3442624222543267,6.316747395608327e-6,0.8685943113055488,1.7806188519590753,Drug metabolism
2HATVLACthc,0.837154949246316,0,11.66850545313431,1.0342940117897117,Drug metabolism
3HSMVACIDhep,-0.6112236674166999,0,0.6562419579138165,2.719693781555141,Drug metabolism
3HSMVACIDteb,-0.6112236674166999,0,0.6562419579138165,2.719693781555141,Drug metabolism
3HSMVhep,-0.6112236674166999,0,0.6562419579138165,2.719693781555141,Drug metabolism
6HSMVhep,-0.43413247444137903,3.13267691187623e-7,1.446137674187438,3.6650857442613227,Drug metabolism
ACMPdt,0.35188138272746056,0,0.47907002675113775,0.22967562633952002,Drug metabolism
ALLOPOXDhep,1,0,2.718855700607578,NA,Drug metabolism
ALLOPtepvb,1,0,2.718855700607578,NA,Drug metabolism
ATVACIDtu,-0.48599415993903644,0,1.0344856838207437,2.9907047058372753,Drug metabolism
CRVS23M24hc,-0.9472733373751507,0,1.6724017216934242,61.764259672659634,Drug metabolism
CRVSM23hc,-0.9472733373751507,0,1.6724017216934242,61.764259672659634,Drug metabolism
CRVSM23hr,0.35584286320787456,0,57.03896771744436,27.099053384045604,Drug metabolism
CRVSM24tev,-0.9472733373751507,0,1.6724017216934242,61.764259672659634,Drug metabolism
CRVSthc,-0.9472733373751507,0,1.6724017216934242,61.764259672659634,Drug metabolism
CSAtd,0.3330784993202481,0,0.6390506011459653,0.319708543903369,Drug metabolism
CSAtu,0.3330784993202481,0,0.6390506011459653,0.319708543903369,Drug metabolism
CVM23GLUChc,0.35584286320787456,0,57.03896771744436,27.099053384045604,Drug metabolism
EX_2hatvacidgluc[e],0.8870565366543725,0,11.244427194230749,0.6729976161211243,Exchange/demand reaction
EX_2hatvlac[e],-0.8870565366539005,0,-11.244427194230749,-0.6729976161241046,Exchange/demand reaction
EX_2hatvlacgluc[e],-0.3442624222543267,6.316747395608327e-6,0.8685943113055488,1.7806188519590753,Exchange/demand reaction
EX_3hsmvacid[e],-0.6112236674166999,0,0.6562419579138165,2.719693781555141,Exchange/demand reaction
EX_allop[e],-1,0,-2.7188557006075786,NA,Exchange/demand reaction
EX_crvs[e],0.9472733373751507,0,-1.6724017216934242,-61.764259672659634,Exchange/demand reaction
EX_crvsm24[e],-0.9472733373751507,0,1.6724017216934242,61.764259672659634,Exchange/demand reaction
EX_oxyp[e],1,0,2.718855700607578,NA,Exchange/demand reaction
FVStu,1,0,957.0490671615601,NA,Drug metabolism
MERACMPtep,0.42178818070715096,0,0.24884282633965157,0.10119922593832598,Drug metabolism
MERACMPthc,0.42178818070715096,0,0.24884282633965157,0.10119922593832598,Drug metabolism
OXYPtepv,1,0,2.718855700607578,NA,Drug metabolism
RSVGLUChc,0.6506177465695283,0,86.64030263018608,18.338942637532927,Drug metabolism
RSVLAChv,0.6506177465695283,0,86.64030263018608,18.338942637532927,Drug metabolism
RSVSPONhc,0.6506177465695283,0,86.64030263018608,18.338942637532927,Drug metabolism
SMVACIDhep,0.4617390993988468,0,139.2469822492227,51.27536514709345,Drug metabolism
SMVGLUChep,0.4617390993988468,0,139.2469822492227,51.27536514709345,Drug metabolism
2HATVACIDGLUCitr,0.8870565366539005,0,11.244427194230749,0.6729976161241046,Drug metabolism
2HATVLACGLUCitr,-0.34426242225432097,6.316747395608327e-6,0.8685943113055488,1.780618851959052,Drug metabolism
3HSMVitr,-0.6112236674166999,0,0.6562419579138165,2.719693781555141,Drug metabolism
CRVSitr,-0.9472733373751507,0,1.6724017216934242,61.764259672659634,Drug metabolism
CRVSM24itr,-0.9472733373751507,0,1.6724017216934242,61.764259672659634,Drug metabolism
RSVLACitr,-0.6506177465695283,0,-86.64030263018608,-18.338942637532927,Drug metabolism
ATVLACitr,-0.3442624222543267,6.316747395608327e-6,0.8685943113055488,1.7806188519590753,Drug metabolism
SMVitr,-0.3351094116273333,0,2.795825498934789,5.614055909606814,Drug metabolism
RSVitr,0.6506177465695283,0,86.64030263018608,18.338942637532927,Drug metabolism
2HATVACIDitr,-0.8870565366543725,0,-11.244427194230749,-0.6729976161211243,Drug metabolism
EX_caproic[e],2.459595222652726,0,64.93433808459602,-27.395647049633787,Exchange/demand reaction
1A25HVITD2t,1,0,1.0139635831507257,NA,"Transport, extracellular"
1A25HVITD2tm,1,0,1.0139635831507257,NA,"Transport, mitochondrial"
EX_1a25dhvitd2[e],1,0,1.0139635831507257,NA,Exchange/demand reaction
EX_M00234[e],-0.6647869820349329,0,-161.7635347544983,-32.571880527003415,Exchange/demand reaction
EX_M01807[e],0.6647869820349329,0,161.7635347544983,32.571880527003415,Exchange/demand reaction
EX_M00503[e],0.6647869820349329,0,161.7635347544983,32.571880527003415,Exchange/demand reaction
EX_M00260[e],0.7345006007668773,0,-0.07473780965906808,-0.48826014720971,Exchange/demand reaction
EX_M00315[e],-0.8384646494969307,0,0.06767676195686594,0.7702421424327953,Exchange/demand reaction
EX_M01207[e],1,0,NA,-0.303802189674313,Exchange/demand reaction
EX_M02053[e],0.6507107962702741,0,-0.43317481707010813,-2.0471470047591835,Exchange/demand reaction
EX_M02613[e],-1,0,-0.654984098927193,NA,Exchange/demand reaction
EX_M02745[e],-0.3324431622165083,0,0.46426633031041165,0.926675396395373,Exchange/demand reaction
EX_M03134[e],-0.8878437899323439,0,-3.8651562594101967,-0.22962772644989943,Exchange/demand reaction
EX_M01872[e],0.706865970162333,0,0.5367439669372148,0.09217942402612753,Exchange/demand reaction
EX_ditp[e],0.37978179697689973,0,-0.2792725580689408,-0.6212897172970377,Exchange/demand reaction
EX_M02155[e],0.5905629895743457,0,-177.14703250360787,-688.1730435659408,Exchange/demand reaction
EX_M02837[e],-0.5339225882435898,0,-113.95809890316129,-34.625799367283285,Exchange/demand reaction
sink_ala_L[c],-1,0,NA,745.8032478263855,Exchange/demand reaction
DM_4glu56dihdind[c],-0.798157818597315,0,1.409328116135007,12.555325915455446,Exchange/demand reaction
DM_4abut[c],-0.7826045994175057,0,109.98565235674381,901.863283380127,Exchange/demand reaction
DCMPtm,-1,0,-240.7760890970081,NA,"Transport, mitochondrial"
Htmi,-0.6498920587513219,0,88.62755115165785,417.65945756664274,"Transport, mitochondrial"
24_25DHVITD3t,-0.6431188077493661,0,0.5929996044687247,2.7302329857893093,"Transport, extracellular"
24_25DHVITD3tm,-0.6431188077493661,0,0.5929996044687247,2.7302329857893093,"Transport, mitochondrial"
24_25VITD3Hm,-0.6431188077493661,0,0.5929996044687247,2.7302329857893093,Vitamin D metabolism
2DR1PP,0.5087675373527212,0,3.2077446903686533,1.0443943714207489,Pyrimidine catabolism
5MTHFt2,0.7974728834913535,0,-55.55606187068131,-493.0723176609993,"Transport, extracellular"
AACTOOR,1,0,18.938168549903853,NA,"Glycine, serine, alanine, and threonine metabolism"
ABTti,1,0,286.39811769827605,NA,"Transport, extracellular"
AKGDm,1,0,72.56604477692842,NA,Citric acid cycle
AMPTASECGe,1,0,173.06656741535664,NA,Glutathione metabolism
ARACHt,0.39274458603045187,0,856.0531337081909,373.2507060548216,"Transport, extracellular"
ASCBt,1,0,367.05734109478,NA,"Transport, extracellular"
ASNNm,-0.4860063338393233,0,84.72191758541614,244.9394115833044,Alanine and aspartate metabolism
ASNtm,-0.4860063338393233,0,84.72191758541614,244.9394115833044,"Transport, mitochondrial"
ASPDt6,-0.7747584258428369,0,6.109943695868429,48.14241818476021,"Transport, extracellular"
ASPt6,-0.5157103564759463,0,21.383546909330082,66.92536985266135,"Transport, extracellular"
BTNDe,1,0,6.663109377903904,NA,Biotin metabolism
BZtr,0.37785313454716646,0,-34.414427159572604,-76.21677286913395,"Transport, endoplasmic reticular"
C226CRNt,1,0,254.8541687394619,NA,Fatty acid oxidation
CHOLt4,-1,0,-439.35580041873453,NA,"Transport, extracellular"
CHOLtu,1,0,439.35580041873453,NA,"Transport, extracellular"
COKECBESr,-0.37785313454716674,0,34.41442715957258,76.21677286913395,Alkaloid synthesis
COt,-0.6508148709513072,0,0.7819530570003019,3.696777518557862,"Transport, extracellular"
CRNtuNa,1,0,237.77787439719438,NA,"Transport, extracellular"
CYSGLUexR,-4.862319710654871,0,-193.34450513316318,127.3827307243891,"Transport, extracellular"
CYTK3,1,0,140.24527941572518,NA,Nucleotide interconversion
CYTK4,1,0,95.45865976018571,NA,Nucleotide interconversion
DNDPt28m,0.9236711445035445,0,36.75047645229995,1.458212758749586,"Transport, mitochondrial"
DOPACHRMISO,1,0,4.954017500928405,NA,Tyrosine metabolism
DOPAtu,1,0,718.5296198574066,NA,"Transport, extracellular"
DURIt,-1,0,-324.11465352392196,NA,"Transport, extracellular"
ELAIDt,1.2447218161684126,0,0.6900053252113583,-6.329104740332655,"Transport, extracellular"
EX_2425dhvitd3[e],-0.6431188077493661,0,0.5929996044687247,2.7302329857893093,Exchange/demand reaction
