Reaction,fc,pval,Truncating,WT,subSystem
ACGAM6PSi,0.5037982350753059,0,36.10557791502476,11.91360055304506,Aminosugar metabolism
ACHEe,0.341203805552915,0,284.5159418911934,139.75356989102363,Glycerophospholipid metabolism
ACITL,0.5823198669248663,0,25.630745376555154,6.765669422137615,Citric acid cycle
ACNAMlt,-0.37313976874060767,0,-25.276174248068685,-11.538977164013778,"Transport, lysosomal"
ACNAMtn,0.6751482885437803,0,48.97070217039781,9.49660189492578,"Transport, nuclear"
ACOAD10m,0.39551139235027233,0,72.74776516537247,31.511885546404496,"Valine, leucine, and isoleucine metabolism"
ACOAD8m,0.3632273170907185,0,193.3458705137253,90.31316138764136,"Valine, leucine, and isoleucine metabolism"
ACOAD9m,-0.9075138791309065,0,19.083832799603417,393.6015003135681,"Valine, leucine, and isoleucine metabolism"
ACOAHi,0.3963166075776484,0,80.6939615860721,34.88721985681173,Pyruvate metabolism
ACOAO7p,0.5256796036043728,0,8.07141369077103,2.509331665858966,Fatty acid oxidation
ACONTm,0.936660572125104,0,360.6426618578806,11.794994021224984,Citric acid cycle
ACSm,0.48713271743532643,0,6.947370829758484,2.3959389479185935,Glycolysis/gluconeogenesis
ACSRTNMT,-0.569295609662609,0,8.60470573389021,31.35172808444045,Tryptophan metabolism
ACtg,-0.3470063979177587,0,-0.6020761642415797,-0.2918708358206121,"Transport, golgi apparatus"
ADCim,1,0,149.16121541247367,NA,Propanoate metabolism
ADEt,-1.0024311060822102,0,-194.83253119294645,0.23654174675818357,"Transport, extracellular"
ADMDC,0.5752602544201035,0,35.13289563855697,9.472934464723775,Arginine and proline metabolism
ADNCYC,0.6830663408841186,0,13.824653471822536,2.6032830105390747,Nucleotide interconversion
ADNt,2.90606095752223,0,102.25647281673923,-49.8986248830989,"Transport, extracellular"
ADNtl,0.8246322199374532,0,28.43039222750496,2.732482040362051,"Transport, lysosomal"
ADRNCRNt,-0.523689019376143,0,230.4624489467263,737.2349517929077,Fatty acid oxidation
ADRNt,-1,0,NA,2.4730254986179605,"Transport, extracellular"
AG13T16g,0.3485667887444521,0,0.4211722940746675,0.20344978262171765,Keratan sulfate synthesis
AG13T17g,0.3485667887444521,0,0.4211722940746675,0.20344978262171765,Keratan sulfate synthesis
AG13T18g,0.3485667887444521,0,0.4211722940746675,0.20344978262171765,Keratan sulfate synthesis
AGPAT1,0.4784190434055884,0,5.774585936540212,2.0372532876600626,Triacylglycerol synthesis
AGTix,0.5037551759701405,0,33.411800354856254,11.026018897603894,Alanine and aspartate metabolism
AHCYStr,1,0,791.1347073364258,NA,"Transport, endoplasmic reticular"
AHEXASE2ly,0.48661190348477246,0,3.691343690249539,1.2747724582847848,N-glycan degradation
AKGDm,-0.7001832115041468,0,132.3228320720434,750.3684457305908,Citric acid cycle
AKGtp,1,0,NA,-6.320991497490433,"Transport, peroxisomal"
AKR1D2,0.3668985363027099,0,25.02655726792356,11.591460241433465,Bile acid synthesis
ALACYSNaEx,0.3417088910736117,0,192.19948242403566,94.3000462035805,"Transport, extracellular"
ALADGLNexR,0.7719634606289114,0,550.3790624603272,70.82907719847226,"Transport, extracellular"
ALADGLYexR,2.855153902310361,0,208.59546259378195,-433.4775732736587,"Transport, extracellular"
ALAGLNexR,3.7250657532238023,0,445.61187951431276,-772.6585784698486,"Transport, extracellular"
ALAGLNNaEx,-0.34139630340567206,0,41.75514879947575,85.04386254951507,"Transport, extracellular"
ALAGLYexR,0.854826144166878,0,-36.64683993622046,-468.22147434684337,"Transport, extracellular"
ALAt4,0.4618458514512062,0,259.08881509339216,95.37922247183955,"Transport, extracellular"
ALATA_L,0.6977999652795728,0,-105.73301367623321,-594.0221254920959,Glutamate metabolism
ALCD2if,-0.3415477799849877,0,96.95615853822343,197.54101404633522,Glycolysis/gluconeogenesis
ALCD2yf,-0.34247092354595465,0,170.6858673664093,348.48772807941435,Glycolysis/gluconeogenesis
ALDD21,0.9922301192651232,0,573.5001399997711,2.236703303570744,Fatty acid oxidation
ALDD2xm,0.5017924488939385,0,159.33813868751525,52.859144372293535,Glycolysis/gluconeogenesis
ALDD2y,0.3783289861067794,0,410.0258821418762,184.93495271661877,Glycolysis/gluconeogenesis
ALDSTRNte,0.6749761646952137,0,11.656559237341071,2.261918509429913,"Transport, extracellular"
ALDSTRNtm,-0.6749761646952137,0,-11.656559237341071,-2.261918509429913,"Transport, mitochondrial"
ALOX15,0.5122109232460078,0,4.6443870283875315,1.4981251793912753,Eicosanoid metabolism
ALOX5,0.40126450550370685,0,10.344939307789089,4.420209266455908,Eicosanoid metabolism
ALOX52,0.5970667845990564,0,855.9471353866577,215.95185298475621,Eicosanoid metabolism
AMETr,-1,0,-791.1347073364258,NA,"Transport, endoplasmic reticular"
AMETt2m,-1.051400977967648,0,-394.57875133666994,9.886771977681189,"Transport, mitochondrial"
AMPDA,0.8319736768200778,0,632.6454488700866,58.025445449996,Nucleotide interconversion
AMPTASECGe,0.9393754881277269,0,73.92319044320332,2.3108249867521935,Glutathione metabolism
AMY2e,0.37292318255818246,0,26.89714355100095,12.285155783304432,Starch and sucrose metabolism
APAT2rm,-1,0,NA,4.919641020021586,Beta-Alanine metabolism
APNNOXte,-0.42076638784607007,0,-7.4737825876137975,-3.0469935956464282,"Transport, extracellular"
APPNNte,0.4207663878450313,0,7.473782587612847,3.046993595653733,"Transport, extracellular"
APRTO2,0.43859856298507754,0,15.481381532355288,6.041483748743808,Arginine and proline metabolism
ARACHCOAtx,-1.268293056801701,0,-2.8371270387677856,23.98659003709461,"Transport, peroxisomal"
ARACHCPT1,1.2108791984591516,0,2.4933472102280154,-26.140508508699945,Fatty acid oxidation
ARACHCPT2,1.2108791984591516,0,2.4933472102280154,-26.140508508699945,Fatty acid oxidation
ARACHCRNt,-1,0,NA,583.5561353880883,Fatty acid oxidation
ARACHDCOAtx,-1,0,NA,122.36222181337327,"Transport, peroxisomal"
ARGDCm,-1,0,NA,60.39799419784844,Arginine and proline metabolism
ARGSS,0.5677241578163295,0,13.416190488930518,3.699308334048421,Alanine and aspartate metabolism
ARGt4,0.4329919534829394,0,152.07579898990468,60.17354214600176,"Transport, extracellular"
ARSA,0.3883689249036992,0,4.381803689857583,1.9303567327210427,Sphingolipid metabolism
ASNGLNNaEx,-0.582576439941664,0,10.103526925010327,38.30546524399103,"Transport, extracellular"
ASNNm,-0.36075626071246136,0,43.95309567007153,93.56282499912083,Alanine and aspartate metabolism
ASNSERNaEx,-0.8119948899176958,0,8.083307117820342,77.90698446820788,"Transport, extracellular"
ASNt4,-0.6743800320533923,0,6.37319024834398,32.77176937150955,"Transport, extracellular"
ASNTHRNaEx,0.34236488596042186,0,422.3078346929789,206.89192926066517,"Transport, extracellular"
ASNtm,-0.36075626071246136,0,43.95309567007153,93.56282499912083,"Transport, mitochondrial"
ASPCTr,0.5118782167365385,0,-36.0880255184412,-111.77681787029505,Pyrimidine synthesis
ASPGLUm,-0.5531315638876911,0,7.190715030274412,24.991978797164375,"Transport, mitochondrial"
ASPTAm,-9.330291522095703,0,-25.690561444791825,31.858547613498846,Alanine and aspartate metabolism
ATPasel,0.5788246793705609,0,13.754202840169146,3.6691412712905422,"Transport, lysosomal"
ATPH1e,0.9851078736555033,0,162.35111577692032,1.2179455637681325,Nucleotide interconversion
ATPH2e,0.9425375339957055,0,201.51379556189255,5.961006891358827,Nucleotide interconversion
B_MANNASEly,0.3821834792189065,0,7.0345624021899535,3.1443501777307596,N-glycan degradation
B3GALT3g,0.3624371151473375,0,10.035986373644207,4.696416703262413,Sphingolipid metabolism
B3GALT42g,0.36645369581791876,0,3.9132151329856044,1.814333696458294,Sphingolipid metabolism
B3GALT43g,0.7694354908928389,0,5.006476054966068,0.6523638188061617,Sphingolipid metabolism
B3GALT5g,0.48760731490850867,0,2.9746099007561804,1.0245770768086964,Sphingolipid metabolism
B3GNT11g,0.36457479065646853,0,5.27589945177061,2.456764947272677,Blood group synthesis
B3GNT312g,0.36457479065255016,0,5.2758994517229265,2.456764947272677,Blood group synthesis
B3GNT313g,0.4014054610594914,0,0.6809431050296204,0.2908571682686061,Blood group synthesis
B3GNT31g,0.44682218053839534,0,2.0705964565806565,0.7916716015578228,Sphingolipid metabolism
B3GNT32g,0.44682218053839534,0,2.0705964565806565,0.7916716015578228,Sphingolipid metabolism
B3GNT33g,0.44682218053839534,0,2.0705964565806565,0.7916716015578228,Sphingolipid metabolism
B3GNT39g,0.548582091263735,0,6.702127034652463,1.9536969897402363,Sphingolipid metabolism
BAAT1x,-0.38064671991818333,0,14.001204701560514,31.21113259230496,Bile acid synthesis
BAAT2x,-0.9294245186385998,0,8.633389994740902,236.02353131002113,Bile acid synthesis
BALAtmr,-1,0,NA,4.919641020021586,"Transport, mitochondrial"
BAMPPALDOX,0.7205508630375635,0,17.833288698206413,2.896454410605211,Beta-Alanine metabolism
BCDO,0.5629758038312349,0,16.3989335836911,4.585311397572607,Vitamin A metabolism
BDHm,1.0389243889420485,0,15.727746168454226,-823.8455661743164,Butanoate metabolism
BHBtm,1.0389243889420485,0,15.727746168454226,-823.8455661743164,"Transport, mitochondrial"
BHMT,-0.7266946631134007,0,51.49599265522733,325.3425516765594,"Glycine, serine, alanine, and threonine metabolism"
BILDGLCURt,-3.058541407921253,0,-107.25588865383854,211.46160270080267,"Transport, extracellular"
BILDGLCURtr,-2.0996008578710166,0,-2.132826919748464,6.012101666546898,"Transport, endoplasmic reticular"
BILGLCURt,0.7148661248151307,0,-13.658928716932483,-82.14819843045807,"Transport, extracellular"
BILIRED,0.6266010959546745,0,4.250143336603599,0.9756533841457272,Heme degradation
