Reaction,S1K1,S1K1_FC5,fc,pval,subSystem
GGT_L,1.57E-15,-7.47E-16,-2.825380047,0,N-glycan synthesis
GLNASNNaEx,191.88174,10.604978,-0.895252615,0,"Transport, extracellular"
GLUDym,-226.9093,244.03622,27.4973842,0,Glutamate metabolism
GLUt2m,147.95465,-803.8038,-1.451185037,0,"Transport, mitochondrial"
GLXtm,-16.535877,2.4798865,1.352858253,0,"Transport, mitochondrial"
GLYtp,204.19872,7.1615314,-0.932233887,0,"Transport, peroxisomal"
H2O2t,-0.9569338,24.75719,1.080413734,0,"Transport, extracellular"
H2Otly,113.21901,-187.11124,-4.064436393,0,"Transport, lysosomal"
H2Otn,-266.00418,58.595406,1.565023437,0,"Transport, nuclear"
HDCEAtr,3.0242634,493.2195,0.98781138,0,"Transport, extracellular"
HPDCACRNCPT1,-3.8343668,2.6291306,5.362847125,0,Fatty acid oxidation
HPDCACRNCPT2,-3.8343668,2.6291306,5.362847125,0,Fatty acid oxidation
HSD3A1r,346.85294,-54.949207,-1.376488565,0,Steroid metabolism
HSD3A2r,-181.68913,63.388226,2.071643932,0,Steroid metabolism
ICDHy,13.352094,219.50348,0.885318663,0,Citric acid cycle
IDPtn,706.00653,-61.577114,-1.191105835,0,"Transport, nuclear"
ILEtec,-232.26903,302.96756,7.5706887,0,"Transport, extracellular"
IPDPtx,5.763935,-2.4929159,-2.524244101,0,"Transport, peroxisomal"
ITPtn,-706.00653,61.577114,1.191105835,0,"Transport, nuclear"
LEUKTRA4t,-6.3002357,127.59287,1.103884876,0,"Transport, extracellular"
LEUKTRF4t,344.24283,-91.69575,-1.726167621,0,"Transport, extracellular"
LGNCCOAtx,1.5927801,16.949638,0.828201469,0,"Transport, peroxisomal"
LGNCt,11.176716,455.3763,0.952088122,0,"Transport, extracellular"
LNLNCAt,3.1923792,-8.2173195,-2.270613897,0,"Transport, extracellular"
LNLNCGCPT2,-0.014112311,-16.2107,-0.998260404,0,Fatty acid oxidation
LYStm,509.21835,37.332767,-0.863387821,0,"Transport, mitochondrial"
MALTt1r,-82.438225,86.01273,47.12565594,0,"Transport, extracellular"
NDPK2n,-582.603,435.8109,6.937795057,0,Nucleotide interconversion
NDPK3n,-547.7546,221.41907,2.357002936,0,Nucleotide interconversion
NDPK5m,70.35335,3.6434195,-0.901524904,0,Nucleotide interconversion
NDPK5n,281.08282,-219.8344,-8.178451748,0,Nucleotide interconversion
NDPK6n,-29.092371,-301.28726,-0.823885209,0,Nucleotide interconversion
NDPK9n,706.00653,-61.577114,-1.191105835,0,Nucleotide interconversion
