Reaction,S1K,S1K_FC5,fc,pval,subSystem
r2140,24.81236,-94.799965,-1.709050221,0,"Transport, extracellular"
r2141,-207.11632,112.9617,3.399493865,0,"Transport, extracellular"
r2147,485.0433,6.2204,-0.974675922,0,"Transport, extracellular"
r2148,391.2634,13.555031,-0.933031549,0,"Transport, extracellular"
r2149,-8.921234,-176.61284,-0.903831851,0,"Transport, extracellular"
r2150,96.406,-358.3051,-1.736207188,0,"Transport, extracellular"
r2151,3.5057297,48.551678,0.865312939,0,"Transport, extracellular"
r2154,1.4218831,26.499388,0.898150545,0,"Transport, extracellular"
r2161,1.7067406,45.24714,0.927301404,0,"Transport, extracellular"
r2172,0.9037714,23.381435,0.925570216,0,"Transport, extracellular"
r2184,5.3363714,255.89223,0.959144047,0,"Transport, extracellular"
r2185,1.0745771,11.576697,0.830123508,0,"Transport, extracellular"
r2193,-561.26794,-19.625055,0.932431421,0,"Transport, extracellular"
r2195,-874.3081,204.0317,1.608798673,0,"Transport, extracellular"
r2197,403.83633,-121.29243,-1.858573951,0,"Transport, extracellular"
r2211,392.1518,2.3029134,-0.988323559,0,"Transport, extracellular"
r2213,6.3775225,266.53162,0.95326267,0,"Transport, extracellular"
r2226,8.598778,168.41554,0.902846532,0,"Transport, extracellular"
r2239,10.186263,456.72086,0.95636707,0,"Transport, extracellular"
r2240,460.1593,18.703863,-0.921882218,0,"Transport, extracellular"
r2243,97.46023,2.6950254,-0.946183048,0,"Transport, extracellular"
r2246,387.74814,10.0162945,-0.949637055,0,"Transport, extracellular"
r2247,141.41682,11.666151,-0.847583954,0,"Transport, extracellular"
r2248,8.141679,104.50795,0.855451298,0,"Transport, extracellular"
r2249,2.9086628,80.31598,0.93010093,0,"Transport, extracellular"
r2250,3.885255,51.695057,0.86019312,0,"Transport, extracellular"
r2254,186.83731,8.520207,-0.912773183,0,"Transport, extracellular"
r2259,3.1555033,169.66774,0.963482882,0,"Transport, extracellular"
r2260,414.82535,22.828312,-0.895678645,0,"Transport, extracellular"
r2261,51.55829,3.9115868,-0.858965363,0,"Transport, extracellular"
r2262,8.260908,318.669,0.949463737,0,"Transport, extracellular"
r2263,3.808084,463.8422,0.983713968,0,"Transport, extracellular"
r2265,273.33844,8.876941,-0.937091016,0,"Transport, extracellular"
r2266,2.8097186,316.47745,0.982400054,0,"Transport, extracellular"
r2267,463.6261,1.3386003,-0.994242142,0,"Transport, extracellular"
r2268,180.32306,8.170711,-0.913305256,0,"Transport, extracellular"
r2273,2.9423878,313.0423,0.98137639,0,"Transport, extracellular"
r2289,460.1063,1.8950129,-0.991796504,0,"Transport, extracellular"
r2290,391.14468,2.3543186,-0.988033929,0,"Transport, extracellular"
r2291,7.2086835,467.1834,0.969608752,0,"Transport, extracellular"
r2293,2.3109791,28.473957,0.849862983,0,"Transport, extracellular"
r2299,477.5079,2.494422,-0.989606625,0,"Transport, extracellular"
r2300,3.1282055,541.59314,0.988514475,0,"Transport, extracellular"
r2301,3.948564,467.0975,0.983234914,0,"Transport, extracellular"
r2306,4.904553,142.23413,0.933334285,0,"Transport, extracellular"
r2317,-296.45667,99.153015,2.005080617,0,"Transport, extracellular"
r2321,13.991341,-374.37274,-1.077647407,0,"Transport, extracellular"
r2322,-871.8509,165.06767,1.467095622,0,"Transport, extracellular"
r2323,-9.174258,98.87488,1.204552828,0,"Transport, extracellular"
r2325,68.51267,-867.0017,-1.171605796,0,"Transport, extracellular"
r2327,62.40714,-369.94025,-1.405856355,0,"Transport, extracellular"
