Reaction,fc,pval
10FTHFtm,-5.117745596934776,0
2HBt2,0.933510555034426,0
ACCOAtn,4.135725272949549,0
ACCOAtr,0.9952449616498393,0
ACETONEt2,1.0494472743041334,0
ACETONEt2m,1.0494472743041334,0
ACHtn,4.135725272949549,0
ACODA,0.8274684849647144,0
ADK3m,1.2126488700037887,0
ADNt,11.302056927824717,0
ADRNt,-1.0125942243187795,0
ALADGLNexR,-3.1729849045188647,0
ALAGLNexR,-17.067671341980635,0
ALAGLYexR,-5.446082091980371,0
ALATA_L,-1.11121025043239,0
AMETt2m,-1.06868761106401,0
ASCBt4,-1.1382675497953223,0
ASPCTr,-1.1676917988397941,0
ASPTAm,2.623942758403118,0
BDHm,-1.741269184093293,0
BHBtm,-1.741269184093293,0
BILDGLCURtr,1.0912402754694315,0
C180CPT1,-1.4636116255574447,0
C181CPT2,0.9720616026546721,0
C204CPT2,5.168627947626619,0
CHATn,4.135725272949549,0
CHOLATEt,-0.917546151063732,0
CHOLtn,4.135725272949549,0
CHSTEROLt1,-16.278366059559723,0
CHSTEROLt3,3.5838444161604386,0
COAtn,-4.135725272949549,0
CSNATer,0.9952449616498393,0
CSNATp,-1.0109528822818032,0
CYStec,-1.0022998102549994,0
CYTK10,1.3330844981079875,0
CYTK13n,2.205960567372653,0
CYTK14,-2.7633674114470885,0
CYTK5,6.254139309846531,0
CYTK7,3.2939393975798263,0
CYTK7n,1.1746632514687823,0
CYTK8,2.5489408265243885,0
CYTK8n,-1.1806736267264017,0
D3AIBTm,4.5140941384111315,0
DCK2n,-0.8674691727737934,0
DIDPtn,2.3365874899037227,0
DITPtn,-2.3365874899037227,0
DM_datp_m_,0.8380216615320225,0
DNDPt14m,0.8787523556419358,0
DNDPt15m,0.8829268816233162,0
DNDPt16m,0.8759139065791246,0
DNDPt32m,0.8670382022633005,0
DNDPt42m,0.9345442499042389,0
DNDPt46m,0.829787840393727,0
DNDPt4m,0.8348381648626596,0
DURAD,-2.512405140833546,0
ELAIDCRNt,-1.1892730237946487,0
EX_bhb[e],1.741269184093293,0
EX_gd1c_hs[e],-2.2882458238675993,0
EX_gq1b_hs[e],-6.547690569741159,0
EX_gt1a_hs[e],-19.935328476180324,0
EX_hista[e],2.147405295233745,0
EX_pglyc_hs[e],-1.5540998488471567,0
EX_retn[e],1.1107136524073895,0
EX_s2l2fn2m2masn[e],0.8663449863865389,0
EX_thym[e],-35.76659028532021,0
EX_vacc[e],2.004242703735497,0
FALDH,-7.737448438339338,0
FAOXC18480x,0.8330037490427046,0
FAOXC226205x,0.9262530137537057,0
FUCASEe,-0.8737268370016366,0
GALGLUSIDEtl,-1.046530336650396,0
GBAl,-0.9197236411234416,0
GGT_L,-0.9299212876247006,0
GLB1,-0.9197236411234416,0
GLNSERNaEx,0.9464571645390499,0
GLUDym,-1.892878074408184,0
GLXtp,1.2772030362236484,0
GLYAMDTRc,-1.0472620624229867,0
GLYBt4_2_r,6.93521609700119,0
GQ1Bte,-0.9997615578591315,0
GSNtl,0.8887873851291288,0
GT1Ate,-19.935328475528735,0
H2O2t,1.5853832262782057,0
H2Otly,-8.188529915625065,0
HDCEAtr,-2.3397843345355103,0
HPDCACRNCPT1,1.4583565929354256,0
HPDCACRNCPT2,1.4583565929297289,0
HSD3A1r,-1.3608204504562644,0
HSD3A2r,24.403664927866064,0
IDHPOXOX4,0.9267980054113525,0
ILEt5m,-1.7487739712119317,0
ILETAm,-1.7487739712119317,0
INSt,1.5430706310910032,0
ITCOAL1m,-1.0208594450700275,0
ITCOALm,0.9809111594333689,0
KCC2t,-0.9630777593867814,0
LEUKTRB4t,-5.371407251096652,0
LEUKTRE4t,-1.3945875977879043,0
LGNCt,0.8904813709675513,0
LNELDCCRNt,0.9861892184140152,0
MANt1r,1.0579727064187165,0
MDHm,1.0335528765371809,0
MTHFCm,0.9114888722931772,0
MTHFD2m,9.821815071992708,0
MTHFDm,-0.9044642543978205,0
NACHEX6ly,0.8615095088185746,0
NACHEX7ly,0.8992791739250908,0
NDPK10,-2.3365874899037227,0
NDPK10n,2.3365874899037227,0
NDPK2n,1.4365900451075366,0
NDPK3n,-1.6140435139576719,0
NDPK5n,7.357227207666016,0
NTD9l,0.8887873851291288,0
ODECOAtx,-1.2569588602267046,0
OIVD3m,-0.8367808690532175,0
ORNTArm,-0.9594235010170789,0
PGDIr,2.750609587821518,0
PGISr,-0.9461454518724556,0
PHEtec,-5.486344002646291,0
PI45P5P,-0.8391473515203857,0
PROSTGD2t,-1.7206249820383703,0
PROSTGE2t2,-0.8811602378321287,0
PROSTGF2t,2.2839743767338203,0
PROSTGI2tr,0.9461454518724556,0
RAI3,-1.1107136524073895,0
RDH4,26.29233107768267,0
RETI3,26.29233107768267,0
S6TASE6ly,0.8615095088185746,0
S6TASE7ly,0.8992791739250908,0
SERASNNaEx,0.8393416983373089,0
SERGLNexR,1.4665797658104824,0
SERGLYexR,1.9727294502214003,0
SERt4,0.9019973748486441,0
sink_citr[c],-0.890891625110284,0
SPRMS,0.9401080429110318,0
SUCOASm,-1.1065295075065709,0
THFt2,-3.653872753054741,0
THRCYSNaEx,-0.8345294291186411,0
THYMt,35.76659028532021,0
TRIODTHYt2,3.619789592304741,0
TSULt4_3,0.981540260741718,0
TTDCPT2,1.8740345651592725,0
UMPK2,40.13474609709265,0
UMPK3,-1.256054741483423,0
UMPK5n,-3.532430111392027,0
UMPK6n,0.9798626369397129,0
UMPK7,0.8904946584689155,0
UREAt5,-1.7773583886476971,0
URIDK2m,-1.1436311224364077,0
VACCt,-1.58448119296095,0
VALt5m,-1.397832314178908,0
VALTAm,-1.3978323141789082,0
XYLUR,-1.6564914612326826,0
EX_HC01440[e],0.8751489594455644,0
EX_HC01446[e],-0.8751489594455641,0
r0027,-2.4997492495423814,0
r0074,-0.9854677068713705,0
r0081,2.3822109001653984,0
r0086,0.8720916730451959,0
r0157,0.8720916730451959,0
r0193,0.9399558087558845,0
r0276,0.9524056858442543,0
r0317,-1.1939661505607582,0
r0394,-1.5751939363616052,0
r0409,0.9260544062447362,0
r0483,-171.69720171469922,0
r0553,1.7710111560162658,0
r0591,-1.1887447039383083,0
r0610,-0.8510359351756551,0
r0611,0.8510359351762319,0
r0629,0.9200913015207766,0
r0688,1.2107217532418395,0
r0737,0.8751489594455644,0
r0739,1.2107217532418395,0
