Reaction,S1C2,S1K2,fc,pval,subSystem
GLNALANaEx,4.921256,267.95584,0.963930604,0,"Transport, extracellular"
GLUDym,-258.796,47.139744,1.445436797,0,Glutamate metabolism
GLUNm,5.457192,92.675285,0.888779091,0,Glutamate metabolism
GLXtm,-10.05553,0.5794629,1.122300304,0,"Transport, mitochondrial"
GLXtp,10.710762,-1.050417,-1.217469848,0,"Transport, peroxisomal"
GT1Ate,0.3512667,3.592495,0.821862106,0,"Transport, extracellular"
H2O2t,23.908735,-78.308304,-1.879004501,0,"Transport, extracellular"
H2Otly,-245.04953,359.49066,5.282542004,0,"Transport, lysosomal"
HDCEAtr,3.4207835,35.292908,0.82327783,0,"Transport, extracellular"
HEXCt,5.127976,-5.0881667,-256.6273695,0,"Transport, extracellular"
HSD11B1r,-413.68726,115.87063,1.778134025,0,Steroid metabolism
HSD17B2r,9.076416,141.2266,0.879225101,0,Steroid metabolism
HSD3A1r,-378.732,505.2979,6.984739824,0,Steroid metabolism
HSD3A2r,497.08685,-197.31943,-2.316483429,0,Steroid metabolism
ICDHy,173.96649,10.411045,-0.88706818,0,Citric acid cycle
ILEt5m,0.117703885,96.53853,0.997564484,0,"Transport, mitochondrial"
ILETAm,0.117703885,96.53853,0.997564484,0,"Valine, leucine, and isoleucine metabolism"
ILEtec,-211.4968,94.96946,2.629994428,0,"Transport, extracellular"
INSt4,42.584713,617.8715,0.871044556,0,"Transport, extracellular"
ITCOAL1m,-501.72845,5.5571275,1.022400033,0,C5-branched dibasic acid metabolism
ITCOALm,501.72845,5.1879797,-0.979531224,0,C5-branched dibasic acid metabolism
KCC2t,-244.5554,-4.941744,0.960386371,0,"Transport, extracellular"
LEUKTRA4t,437.4745,-132.02165,-1.864432267,0,"Transport, extracellular"
LEUKTRB4t,-234.37718,22.895536,1.216525036,0,"Transport, extracellular"
LGNCt,295.84482,19.038204,-0.879077606,0,"Transport, extracellular"
LNELDCCRNt,-333.8116,2.4256208,1.014639247,0,Fatty acid oxidation
LNLNCACPT1,-20.09093,382.61722,1.110838473,0,Fatty acid oxidation
LNLNCACPT2,-20.09093,382.61722,1.110838473,0,Fatty acid oxidation
LNLNCACRNt,-20.09093,382.61722,1.110838473,0,Fatty acid oxidation
LNLNCGCPT2,0.4229355,-10.444281,-1.084406939,0,Fatty acid oxidation
LPS2,122.11165,5.4259214,-0.914912574,0,Triacylglycerol synthesis
MANt1r,206.98221,-14.149904,-1.146758663,0,"Transport, extracellular"
MDHm,-427.65576,-12.158297,0.944711646,0,Citric acid cycle
MECOALm,8.352434,259.8066,0.93770537,0,C5-branched dibasic acid metabolism
MECOAS1m,-8.352434,-259.8066,-0.93770537,0,C5-branched dibasic acid metabolism
MI14Ptn,-7.9328117,-411.62646,-0.962185024,0,"Transport, nuclear"
MTHFD2m,200.51372,-513.48724,-2.28134627,0,Folate metabolism
NDP8,115.39818,6.712259,-0.89006248,0,Nucleotide interconversion
NDPK10,-348.3807,177.34666,3.073817189,0,Nucleotide interconversion
NDPK10n,348.3807,-177.34666,-3.073817189,0,Nucleotide interconversion
NDPK1n,7.523435,-442.95114,-1.034556531,0,Nucleotide interconversion
NDPK3n,-631.6277,153.02774,1.639480784,0,Nucleotide interconversion
NDPK4n,-433.87625,42.035698,1.214555114,0,Nucleotide interconversion
NDPK5n,446.7356,-294.63184,-4.874089537,0,Nucleotide interconversion
NTD2e,121.19578,10.600113,-0.83914349,0,Nucleotide interconversion
NTD4e,79.52923,4.367294,-0.895888563,0,Nucleotide interconversion
O2ter,315.3376,-116.01205,-2.164046002,0,"Transport, endoplasmic reticular"
ORNt3m,-29.23576,107.55461,1.746582884,0,"Transport, mitochondrial"
ORNTArm,370.14078,-10.087767,-1.056034898,0,Urea cycle
PAIL_HStn,51.428967,700.2047,0.863154169,0,"Transport, nuclear"
