Reaction,S1K2,S1K2_FC5,fc,pval,subSystem
PROSTGI2tr,10.153788,366.9281,0.946145452,0,"Transport, endoplasmic reticular"
RAI3,19.390299,-369.66864,-1.110713652,0,Vitamin A metabolism
RDH4,-355.04626,329.02823,26.29233108,0,Vitamin A metabolism
RETI3,-355.04626,329.02823,26.29233108,0,Vitamin A metabolism
S6TASE6ly,1.0454059,14.0517435,0.861509509,0,Chondroitin sulfate degradation
S6TASE7ly,0.7624811,14.378005,0.899279174,0,Chondroitin sulfate degradation
SERASNNaEx,20.377913,233.30225,0.839341698,0,"Transport, extracellular"
SERGLNexR,-19.15511,101.263725,1.466579766,0,"Transport, extracellular"
SERGLYexR,-261.7376,799.8885,1.97272945,0,"Transport, extracellular"
SERt4,10.011823,194.30562,0.901997375,0,"Transport, extracellular"
sink_citr[c],31.837313,1.837079,-0.890891625,0,Exchange/demand reaction
SPRMS,11.320681,366.71606,0.940108043,0,Urea cycle
SUCOASm,11.383944,-225.1077,-1.106529508,0,Citric acid cycle
THFt2,252.1023,-143.76144,-3.653872753,0,"Transport, extracellular"
THRCYSNaEx,51.456356,4.6412516,-0.834529429,0,"Transport, extracellular"
THYMt,-237.97607,251.666,35.76659029,0,"Transport, extracellular"
TRIODTHYt2,-698.93396,396.35135,3.619789592,0,"Transport, extracellular"
TSULt4_3,-955.2779,-8.89923,0.981540261,0,"Transport, extracellular"
TTDCPT2,-145.18695,477.4094,1.874034565,0,Fatty acid oxidation
UMPK2,-210.58623,200.34738,40.1347461,0,Nucleotide interconversion
UMPK3,606.2361,-68.805786,-1.256054741,0,Nucleotide interconversion
UMPK5n,391.31094,-218.63937,-3.532430111,0,Nucleotide interconversion
UMPK6n,-631.2303,-6.420301,0.979862637,0,Nucleotide interconversion
UMPK7,-248.41852,-14.389438,0.890494658,0,Nucleotide interconversion
UREAt5,376.15167,-105.28158,-1.777358389,0,"Transport, extracellular"
URIDK2m,4.240659,-63.28997,-1.143631122,0,Nucleotide interconversion
VACCt,8.403278,-1.9004039,-1.584481193,0,"Transport, extracellular"
VALt5m,69.80083,-11.580886,-1.397832314,0,"Transport, mitochondrial"
VALTAm,69.80083,-11.580886,-1.397832314,0,"Valine, leucine, and isoleucine metabolism"
XYLUR,611.5324,-151.12634,-1.656491461,0,Pentose phosphate pathway
EX_HC01440[e],11.366377,170.71263,0.875148959,0,Exchange/demand reaction
EX_HC01446[e],-11.366377,-170.71263,-0.875148959,0,Exchange/demand reaction
r0027,172.59903,-402.76953,-2.49974925,0,Methionine and cysteine metabolism
r0074,-3.5819323,-489.37985,-0.985467707,0,Urea cycle
r0081,-167.53041,409.93976,2.3822109,0,Citric acid cycle
r0086,3.5342028,51.727295,0.872091673,0,Urea cycle
r0157,3.5342028,51.727295,0.872091673,0,Urea cycle
r0193,-773.3283,-23.935532,0.939955809,0,Methionine and cysteine metabolism
r0276,11.770007,482.82715,0.952405686,0,Purine catabolism
r0317,38.71377,-437.8945,-1.193966151,0,Miscellaneous
r0394,725.5281,-162.05357,-1.575193936,0,Nucleotide interconversion
r0409,-256.8563,-9.861296,0.926054406,0,Miscellaneous
r0483,187.47333,-185.3022,-171.6972017,0,Pyrimidine catabolism
r0553,-43.93979,157.91943,1.771011156,0,"Glycine, serine, alanine, and threonine metabolism"
r0591,1.3348954,-15.479879,-1.188744704,0,CoA synthesis
r0610,283.29297,22.7983,-0.851035935,0,Miscellaneous
r0611,-283.29297,-22.7983,0.851035935,0,Miscellaneous
r0629,-618.05505,-25.721682,0.920091302,0,Bile acid synthesis
r0688,-593.15857,56.53873,1.210721753,0,Bile acid synthesis
r0737,11.366377,170.71263,0.875148959,0,Miscellaneous
r0739,-593.15857,56.53873,1.210721753,0,Bile acid synthesis
r0791,7.945693,-5.5133295,-5.53331031,0,Fatty acid oxidation
r0812,43.187965,-85.9565,-3.019614212,0,Purine catabolism
r0913,11.960231,503.2583,0.953572201,0,"Transport, mitochondrial"
r0915,174.51315,-605.42377,-1.809973812,0,"Transport, mitochondrial"
r0917,-237.55933,-11.533632,0.907394958,0,"Transport, mitochondrial"
r0934,18.385672,193.69577,0.826616874,0,"Transport, peroxisomal"
r0960,17.943457,-68.66714,-1.707498191,0,"Transport, endoplasmic reticular"
r0961,14.556066,161.8338,0.834955762,0,"Transport, extracellular"
r0995,-569.76715,-1.3578607,0.995244962,0,"Transport, endoplasmic reticular"
r1154,-102.126945,2.379819,1.047717043,0,Propanoate metabolism
r1467,37.34926,-404.8859,-1.203241018,0,"Transport, mitochondrial"
r1500,7.8938828,150.6016,0.900389804,0,"Transport, extracellular"
r1544,-132.88344,177.2441,6.991048546,0,"Transport, extracellular"
r1546,118.71002,-48.652588,-2.388934189,0,"Transport, extracellular"
r1549,881.1127,-783.6149,-17.07453237,0,"Transport, extracellular"
r1551,-248.22107,125.15845,3.034061186,0,"Transport, extracellular"
r1553,-177.92067,358.49814,2.970573886,0,"Transport, extracellular"
r1559,34.05669,-433.27686,-1.170616092,0,"Transport, extracellular"
r1560,-489.95364,186.74352,2.231776094,0,"Transport, extracellular"
r1562,-578.16974,345.72906,3.974772325,0,"Transport, extracellular"
r1563,730.6343,-363.118,-2.97606502,0,"Transport, extracellular"
r1564,19.563498,-152.69406,-1.293899404,0,"Transport, extracellular"
r1565,-639.6531,-22.569859,0.931836071,0,"Transport, extracellular"
r1566,-191.55844,501.98996,2.23414291,0,"Transport, extracellular"
r1568,-848.0514,294.71112,2.065207709,0,"Transport, extracellular"
r1569,559.159,53.725426,-0.824680078,0,"Transport, extracellular"
r1570,873.3166,-476.62726,-3.403025037,0,"Transport, extracellular"
r1571,-28.953293,238.89294,1.275824941,0,"Transport, extracellular"
r1574,-808.29425,6.66751,1.01663495,0,"Transport, extracellular"
r1575,604.5171,-135.53764,-1.578010968,0,"Transport, extracellular"
r1576,318.79654,-829.72723,-2.247905096,0,"Transport, extracellular"
r1578,-679.884,315.383,2.730491895,0,"Transport, extracellular"
r1579,-500.57434,305.10233,4.121697975,0,"Transport, extracellular"
r1581,4.2790627,-399.43005,-1.021657862,0,"Transport, extracellular"
r1583,497.27454,-57.113605,-1.259512356,0,"Transport, extracellular"
r1584,313.0632,6.0484624,-0.962091875,0,"Transport, extracellular"
r1586,463.4826,-619.3173,-6.94838405,0,"Transport, extracellular"
r1587,220.99847,-650.8255,-2.028313538,0,"Transport, extracellular"
r1588,430.26465,-404.14688,-31.94802604,0,"Transport, extracellular"
r1592,21.329014,359.77252,0.888066498,0,"Transport, extracellular"
r1594,-834.79114,102.64497,1.280394751,0,"Transport, extracellular"
r1595,457.76645,-310.23267,-5.205582283,0,"Transport, extracellular"
r1596,569.28485,-69.09069,-1.276255523,0,"Transport, extracellular"
r1597,-393.8704,69.311066,1.427108753,0,"Transport, extracellular"
r1600,-7.9884734,222.8807,1.074348644,0,"Transport, extracellular"
r1602,-744.08746,386.97867,3.167287509,0,"Transport, extracellular"
r1603,28.81291,-576.7022,-1.105177855,0,"Transport, extracellular"
r1606,-54.818695,49.829323,20.97419459,0,"Transport, extracellular"
r1607,0.22884974,476.2025,0.999039317,0,"Transport, extracellular"
r1608,-167.31824,609.35596,1.757031565,0,"Transport, extracellular"
r1609,-340.47665,97.68016,1.804625831,0,"Transport, extracellular"
r1610,-8.458256,71.26684,1.269334376,0,"Transport, extracellular"
r1611,-416.57477,72.442345,1.421014328,0,"Transport, extracellular"
r1612,30.923513,-209.02219,-1.347262682,0,"Transport, extracellular"
r1613,-190.50166,871.8506,1.559189744,0,"Transport, extracellular"
r1616,-42.04304,-873.9109,-0.908198355,0,"Transport, extracellular"
r1618,-407.65765,444.83716,22.92915753,0,"Transport, extracellular"
r1619,-373.76978,305.6065,9.966898664,0,"Transport, extracellular"
r1621,50.682133,-476.03354,-1.238307112,0,"Transport, extracellular"
r1623,458.52206,-235.01598,-3.102993868,0,"Transport, extracellular"
r1624,-42.10515,321.72916,1.301155475,0,"Transport, extracellular"
r1625,-3.9055579,27.08385,1.337001333,0,"Transport, extracellular"
r1627,27.518644,-48.79364,-3.586947077,0,"Transport, extracellular"
r1628,618.59845,-115.3279,-1.458313721,0,"Transport, extracellular"
r1631,844.2168,-255.09798,-1.866032379,0,"Transport, extracellular"
r1632,16.168264,-454.5137,-1.073769505,0,"Transport, extracellular"
r1633,657.6065,49.52552,-0.859925684,0,"Transport, extracellular"
r1634,79.35722,-407.3199,-1.483940619,0,"Transport, extracellular"
r1636,-256.48297,182.85165,5.96668199,0,"Transport, extracellular"
r1638,-842.0627,451.74194,3.314722081,0,"Transport, extracellular"
r1639,335.94662,-455.79834,-6.606036909,0,"Transport, extracellular"
r1640,-401.8277,466.2075,13.48303419,0,"Transport, extracellular"
r1642,-32.546043,92.21831,2.090826468,0,"Transport, extracellular"
r1647,43.35421,-348.5854,-1.284074549,0,"Transport, extracellular"
r1649,-365.84958,439.7995,10.89452704,0,"Transport, extracellular"
r1651,-848.9322,494.1538,3.785703613,0,"Transport, extracellular"
r1652,47.313305,-262.6649,-1.439405207,0,"Transport, extracellular"
r1653,389.01114,36.964977,-0.826445774,0,"Transport, extracellular"
r1654,22.314863,-18.53976,-10.82212434,0,"Transport, extracellular"
r1655,-377.4943,66.12391,1.424728272,0,"Transport, extracellular"
r1656,-52.71305,607.3719,1.190073776,0,"Transport, extracellular"
r1657,-112.24107,54.84575,2.91115723,0,"Transport, extracellular"
r1659,43.062263,-390.8089,-1.247664578,0,"Transport, extracellular"
r1661,-237.6302,67.79931,1.798433125,0,"Transport, extracellular"
r1664,-351.78552,272.1748,7.837641478,0,"Transport, extracellular"
r1666,25.755,-608.0756,-1.088456422,0,"Transport, extracellular"
r1675,79.92338,7.3582225,-0.831391203,0,"Transport, extracellular"
r1682,39.111744,3.3445606,-0.84244693,0,"Transport, extracellular"
r1715,11.167476,417.82404,0.947936146,0,"Transport, extracellular"
r1716,180.41824,6.447337,-0.930994915,0,"Transport, extracellular"
r1732,4.4042077,48.23568,0.832666523,0,"Transport, extracellular"
r1750,112.67165,5.11898,-0.91308341,0,"Transport, extracellular"
r1754,7.5948296,167.38997,0.913194404,0,"Transport, extracellular"
r1757,20.449013,234.54738,0.83961331,0,"Transport, extracellular"
r1760,23.489952,321.83893,0.863956054,0,"Transport, extracellular"
r1761,147.58337,2.9259615,-0.961119204,0,"Transport, extracellular"
r1764,44.1478,3.0929863,-0.869054413,0,"Transport, extracellular"
r1766,156.7161,9.490159,-0.885802615,0,"Transport, extracellular"
r1783,192.06418,17.361027,-0.834203086,0,"Transport, extracellular"
r1792,165.26352,3.7239358,-0.955926482,0,"Transport, extracellular"
r1796,4.0236673,73.103516,0.895661512,0,"Transport, extracellular"
r1801,163.0414,5.2810726,-0.937250533,0,"Transport, extracellular"
r1803,67.6519,4.6336284,-0.87179651,0,"Transport, extracellular"
r1819,133.67212,9.615557,-0.865786692,0,"Transport, extracellular"
r1828,92.48249,7.1616654,-0.856255181,0,"Transport, extracellular"
r1831,77.37002,5.9861693,-0.856371325,0,"Transport, extracellular"
r1833,150.3665,2.425867,-0.968246226,0,"Transport, extracellular"
r1846,120.19424,5.4284644,-0.913575102,0,"Transport, extracellular"
r1855,113.58566,9.965919,-0.83867597,0,"Transport, extracellular"
r1863,2.4861157,74.47066,0.935389296,0,"Transport, extracellular"
r1864,9.347873,146.95811,0.880390087,0,"Transport, extracellular"
r1882,113.88961,9.97739,-0.838901551,0,"Transport, extracellular"
r1888,234.52942,19.970081,-0.843063891,0,"Transport, extracellular"
r1893,435.19073,10.618922,-0.952361183,0,"Transport, extracellular"
r1903,378.1017,10.926541,-0.943826488,0,"Transport, extracellular"
r1905,3.1555781,155.86023,0.960311137,0,"Transport, extracellular"
r1914,3.6797547,361.7992,0.979863385,0,"Transport, extracellular"
r1916,437.22296,11.335623,-0.949457558,0,"Transport, extracellular"
r1918,18.596,198.77055,0.828897307,0,"Transport, extracellular"
r1923,131.31726,4.061646,-0.939995879,0,"Transport, extracellular"
r1926,8.895786,426.61755,0.959148043,0,"Transport, extracellular"
r1931,411.05832,3.4081585,-0.983553996,0,"Transport, extracellular"
r1932,427.42456,22.456512,-0.90016689,0,"Transport, extracellular"
r1934,95.73007,9.459879,-0.820137197,0,"Transport, extracellular"
r1935,10.597702,453.8755,0.954366789,0,"Transport, extracellular"
r1936,142.62103,9.181137,-0.879038127,0,"Transport, extracellular"
r1938,3.6495223,38.336678,0.826156102,0,"Transport, extracellular"
r1941,19.036045,427.65,0.914767677,0,"Transport, extracellular"
r1942,8.149816,208.89944,0.924903539,0,"Transport, extracellular"
r1944,385.3614,4.61782,-0.976317609,0,"Transport, extracellular"
r1947,6.1645217,249.0746,0.951696108,0,"Transport, extracellular"
r1948,428.4924,5.0701346,-0.976611748,0,"Transport, extracellular"
r1951,8.398371,430.059,0.961691282,0,"Transport, extracellular"
r1954,145.55135,13.860834,-0.826100687,0,"Transport, extracellular"
r1957,7.2451506,400.2159,0.964437581,0,"Transport, extracellular"
r1959,4.039976,185.12614,0.95728647,0,"Transport, extracellular"
r1961,17.918013,338.27103,0.899390431,0,"Transport, extracellular"
r1963,18.300085,290.48868,0.881471813,0,"Transport, extracellular"
r1964,9.650405,385.92264,0.951207977,0,"Transport, extracellular"
r1969,21.103926,421.1611,0.90456434,0,"Transport, extracellular"
r1988,11.064947,320.90802,0.933338271,0,"Transport, extracellular"
r1994,16.359503,865.1701,0.962883823,0,"Transport, extracellular"
r1995,414.9189,3.887133,-0.981437072,0,"Transport, extracellular"
r1997,253.66972,3.6608214,-0.971547712,0,"Transport, extracellular"
r1998,255.8488,16.444912,-0.879211951,0,"Transport, extracellular"
r1999,230.61728,16.04048,-0.869937362,0,"Transport, extracellular"
r2004,2.9525714,406.67365,0.985584071,0,"Transport, extracellular"
r2005,4.936574,392.3466,0.975148334,0,"Transport, extracellular"
r2009,14.365721,244.32608,0.888935625,0,"Transport, extracellular"
r2011,324.95822,26.55095,-0.848931692,0,"Transport, extracellular"
r2013,8.115079,428.03116,0.962787348,0,"Transport, extracellular"
r2018,8.990589,131.6816,0.872176727,0,"Transport, extracellular"
r2019,29.939531,352.7909,0.843547685,0,"Transport, extracellular"
r2022,17.87101,388.89496,0.912131242,0,"Transport, extracellular"
r2029,4.623877,480.18945,0.980925124,0,"Transport, extracellular"
r2030,348.00104,4.9640865,-0.971872086,0,"Transport, extracellular"
r2032,420.01984,17.557808,-0.919749976,0,"Transport, extracellular"
r2035,15.506532,164.9257,0.828117966,0,"Transport, extracellular"
r2037,182.52129,2.2544491,-0.975597995,0,"Transport, extracellular"
r2040,85.857346,7.6650314,-0.836081347,0,"Transport, extracellular"
r2062,55.27414,630.76776,0.838860749,0,"Transport, extracellular"
r2067,9.706806,336.68442,0.943954662,0,"Transport, extracellular"
r2080,-74.222824,558.24243,1.306693435,0,"Transport, extracellular"
r2082,642.038,-87.183914,-1.31425886,0,"Transport, extracellular"
r2083,93.132095,-151.58018,-4.186831032,0,"Transport, extracellular"
r2084,-445.7178,-26.158573,0.889129551,0,"Transport, extracellular"
r2085,-99.961365,663.4587,1.354789127,0,"Transport, extracellular"
r2086,51.83164,-555.9964,-1.205613876,0,"Transport, extracellular"
r2087,-360.33728,639.74554,3.579288493,0,"Transport, extracellular"
r2088,330.85602,9.958411,-0.941561097,0,"Transport, extracellular"
r2091,-10.853579,406.18564,1.054908669,0,"Transport, extracellular"
r2092,-37.287212,499.95215,1.161184506,0,"Transport, extracellular"
r2094,-110.62676,462.41876,1.62893277,0,"Transport, extracellular"
r2095,286.73715,-159.60501,-3.510852339,0,"Transport, extracellular"
r2097,306.90332,-468.75684,-4.792358762,0,"Transport, extracellular"
r2100,-21.895855,564.4827,1.080709113,0,"Transport, extracellular"
r2101,-204.65889,434.5342,2.780607634,0,"Transport, extracellular"
r2102,26.533052,-446.475,-1.126365334,0,"Transport, extracellular"
r2105,544.2485,-570.4863,-42.48562483,0,"Transport, extracellular"
r2106,-294.80566,322.55246,22.24971657,0,"Transport, extracellular"
r2107,-360.90598,879.1522,2.392797402,0,"Transport, extracellular"
r2108,134.34247,-424.76596,-1.925148675,0,"Transport, extracellular"
r2110,-292.31445,173.61458,3.925269724,0,"Transport, extracellular"
r2113,382.69095,-248.7782,-4.715525983,0,"Transport, extracellular"
r2114,412.5955,-388.91904,-33.85281856,0,"Transport, extracellular"
r2115,-619.36835,34.2806,1.117181049,0,"Transport, extracellular"
r2118,-251.26833,523.27136,2.847540612,0,"Transport, extracellular"
r2126,-436.3174,-13.60077,0.939541138,0,"Transport, extracellular"
r2127,385.5338,-276.42,-6.066635736,0,"Transport, extracellular"
r2128,-33.553368,-2.3310614,0.870079517,0,"Transport, extracellular"
r2129,400.35208,-238.3774,-3.943391271,0,"Transport, extracellular"
r2132,39.90624,-234.4082,-1.410342784,0,"Transport, extracellular"
r2133,-58.822964,78.73315,6.90883329,0,"Transport, extracellular"
r2141,-414.8899,321.94696,7.927840071,0,"Transport, extracellular"
r2142,-181.28467,464.32034,2.281002131,0,"Transport, extracellular"
r2149,-10.969092,-211.70877,-0.901480176,0,"Transport, extracellular"
r2150,-411.63974,-30.64391,0.861428701,0,"Transport, extracellular"
r2156,82.45968,7.473169,-0.833805571,0,"Transport, extracellular"
r2158,53.631306,2.9201744,-0.896725092,0,"Transport, extracellular"
r2167,34.328983,2.3377268,-0.872487792,0,"Transport, extracellular"
r2176,1.4268228,143.45497,0.980303631,0,"Transport, extracellular"
r2177,5.683411,214.9085,0.948471262,0,"Transport, extracellular"
r2190,2.4498587,312.55225,0.984445446,0,"Transport, extracellular"
r2191,4.27506,54.79607,0.855257201,0,"Transport, extracellular"
r2194,352.12152,-530.3071,-4.95230116,0,"Transport, extracellular"
r2196,82.59547,-574.3406,-1.335927956,0,"Transport, extracellular"
r2197,113.01485,-121.14998,-28.78440538,0,"Transport, extracellular"
r2200,236.37962,-854.9397,-1.76428993,0,"Transport, extracellular"
r2201,-396.03354,83.9248,1.537792074,0,"Transport, extracellular"
r2205,5.0456905,75.14711,0.874161001,0,"Transport, extracellular"
r2206,66.1247,6.07835,-0.831631768,0,"Transport, extracellular"
r2207,141.5037,4.4119897,-0.93952686,0,"Transport, extracellular"
r2208,102.90917,2.551576,-0.951610892,0,"Transport, extracellular"
