Reaction,S1K2,S1K2_FC5,fc,pval,subSystem
10FTHFtm,468.66525,-315.45023,-5.117745597,0,"Transport, mitochondrial"
2HBt2,-262.5851,-9.029761,0.933510555,0,"Transport, extracellular"
ACCOAtn,-64.577736,105.76613,4.135725273,0,"Transport, nuclear"
ACCOAtr,-569.76715,-1.3578607,0.995244962,0,"Transport, endoplasmic reticular"
ACETONEt2,-208.84242,5.038768,1.049447274,0,"Transport, extracellular"
ACETONEt2m,-208.84242,5.038768,1.049447274,0,"Transport, mitochondrial"
ACHtn,-64.577736,105.76613,4.135725273,0,"Transport, nuclear"
ACODA,17.147406,181.62679,0.827468485,0,Urea cycle
ADK3m,-236.2198,22.702145,1.21264887,0,Nucleotide interconversion
ADNt,-218.25807,182.77489,11.30205693,0,"Transport, extracellular"
ADRNt,6.5884,-0.041228272,-1.012594224,0,"Transport, extracellular"
ALADGLNexR,258.31094,-496.0585,-3.172984905,0,"Transport, extracellular"
ALAGLNexR,486.9567,-433.05304,-17.06767134,0,"Transport, extracellular"
ALAGLYexR,407.32693,-280.94724,-5.446082092,0,"Transport, extracellular"
ALATA_L,21.060467,-399.8109,-1.11121025,0,Glutamate metabolism
AMETt2m,23.664675,-712.7169,-1.068687611,0,"Transport, mitochondrial"
ASCBt4,38.615013,-597.1699,-1.13826755,0,"Transport, extracellular"
ASPCTr,291.957,-22.585682,-1.167691799,0,Pyrimidine synthesis
ASPTAm,-116.09162,52.022385,2.623942758,0,Alanine and aspartate metabolism
BDHm,161.57117,-43.69061,-1.741269184,0,Butanoate metabolism
BHBtm,161.57117,-43.69061,-1.741269184,0,"Transport, mitochondrial"
BILDGLCURtr,-12.95335,0.56515133,1.091240275,0,"Transport, endoplasmic reticular"
C180CPT1,71.72805,-13.498054,-1.463611626,0,Fatty acid oxidation
C181CPT2,6.588972,465.0896,0.972061603,0,Fatty acid oxidation
C204CPT2,-3.734209,2.5234993,5.168627948,0,Fatty acid oxidation
CHATn,-64.577736,105.76613,4.135725273,0,Glycerophospholipid metabolism
CHOLATEt,289.12704,12.432367,-0.917546151,0,"Transport, extracellular"
CHOLtn,-64.577736,105.76613,4.135725273,0,"Transport, nuclear"
CHSTEROLt1,214.99844,-243.1426,-16.27836606,0,"Transport, mitochondrial"
CHSTEROLt3,-159.69998,283.31424,3.583844416,0,"Transport, mitochondrial"
COAtn,64.577736,-105.76613,-4.135725273,0,"Transport, nuclear"
CSNATer,-569.76715,-1.3578607,0.995244962,0,Fatty acid oxidation
CSNATp,293.65356,-1.5994173,-1.010952882,0,Fatty acid oxidation
CYStec,678.147,-0.778909,-1.00229981,0,"Transport, extracellular"
CYTK10,-3.8658059,27.077969,1.333084498,0,Nucleotide interconversion
CYTK13n,-538.6995,202.6383,2.205960567,0,Nucleotide interconversion
CYTK14,80.1543,-171.0648,-2.763367411,0,Nucleotide interconversion
CYTK5,-281.1252,388.13614,6.25413931,0,Nucleotide interconversion
CYTK7,-56.41685,30.13942,3.293939398,0,Nucleotide interconversion
CYTK7n,-53.950817,671.7204,1.174663251,0,Nucleotide interconversion
CYTK8,-133.4139,58.228706,2.548940827,0,Nucleotide interconversion
CYTK8n,666.53516,-55.22391,-1.180673627,0,Nucleotide interconversion
D3AIBTm,-159.18504,249.78308,4.514094138,0,Pyrimidine catabolism
DCK2n,-4.7202024,-66.511566,-0.867469173,0,Nucleotide interconversion
DIDPtn,-177.34666,442.719,2.33658749,0,"Transport, nuclear"
DITPtn,177.34666,-442.719,-2.33658749,0,"Transport, nuclear"
DM_datp_m_,24.424496,277.1528,0.838021662,0,Exchange/demand reaction
DNDPt14m,4.199671,65.07459,0.878752356,0,"Transport, mitochondrial"
DNDPt15m,1.3190641,21.214958,0.882926882,0,"Transport, mitochondrial"
DNDPt16m,5.8726544,88.78185,0.875913907,0,"Transport, mitochondrial"
DNDPt32m,6.252903,87.802734,0.867038202,0,"Transport, mitochondrial"
DNDPt42m,2.3405347,69.174484,0.93454425,0,"Transport, mitochondrial"
DNDPt46m,6.0987806,65.56215,0.82978784,0,"Transport, mitochondrial"
DNDPt4m,16.27593,180.81476,0.834838165,0,"Transport, mitochondrial"
DURAD,30.294277,-13.044401,-2.512405141,0,Pyrimidine catabolism
ELAIDCRNt,42.233692,-488.5064,-1.189273024,0,Fatty acid oxidation
EX_bhb[e],-161.57117,43.69061,1.741269184,0,Exchange/demand reaction
EX_gd1c_hs[e],3.6610544,-1.4343021,-2.288245824,0,Exchange/demand reaction
EX_gq1b_hs[e],2.5154634,-1.8489115,-6.54769057,0,Exchange/demand reaction
EX_gt1a_hs[e],3.592495,-3.971944,-19.93532848,0,Exchange/demand reaction
EX_hista[e],-63.106476,23.005838,2.147405295,0,Exchange/demand reaction
EX_pglyc_hs[e],43.33218,-9.40071,-1.554099849,0,Exchange/demand reaction
EX_retn[e],-19.390299,369.66864,1.110713652,0,Exchange/demand reaction
EX_s2l2fn2m2masn[e],-426.08395,-30.51325,0.866344986,0,Exchange/demand reaction
EX_thym[e],237.97607,-251.666,-35.76659029,0,Exchange/demand reaction
EX_vacc[e],-4.4918947,1.5015272,2.004242704,0,Exchange/demand reaction
FALDH,59.040024,-76.56595,-7.737448438,0,Tyrosine metabolism
FAOXC18480x,2.34069,25.692154,0.833003749,0,Fatty acid oxidation
FAOXC226205x,1.6070327,41.975296,0.926253014,0,Fatty acid oxidation
FUCASEe,424.3735,28.599144,-0.873726837,0,N-glycan degradation
GALGLUSIDEtl,116.07303,-2.6390603,-1.046530337,0,"Transport, lysosomal"
GBAl,127.120636,5.3157554,-0.919723641,0,Sphingolipid metabolism
GGT_L,1.36E-15,4.94E-17,-0.929921288,0,N-glycan synthesis
GLB1,127.120636,5.3157554,-0.919723641,0,Sphingolipid metabolism
GLNSERNaEx,2.792842,101.528946,0.946457165,0,"Transport, extracellular"
GLUDym,47.139744,-152.7303,-1.892878074,0,Glutamate metabolism
GLXtp,-1.050417,8.6291,1.277203036,0,"Transport, peroxisomal"
GLYAMDTRc,13.9126425,-602.6572,-1.047262062,0,Urea cycle
GLYBt4_2_r,-98.38642,73.589005,6.935216097,0,"Transport, extracellular"
GQ1Bte,5.280592,0.000629632,-0.999761558,0,"Transport, extracellular"
GSNtl,7.978583,135.50482,0.888787385,0,"Transport, lysosomal"
GT1Ate,3.592495,-3.971944,-19.93532848,0,"Transport, extracellular"
H2O2t,-78.308304,17.730589,1.585383226,0,"Transport, extracellular"
H2Otly,359.49066,-281.24298,-8.188529916,0,"Transport, lysosomal"
HDCEAtr,35.292908,-87.97737,-2.339784335,0,"Transport, extracellular"
HPDCACRNCPT1,-2.203008,0.41074726,1.458356593,0,Fatty acid oxidation
HPDCACRNCPT2,-2.203008,0.41074726,1.458356593,0,Fatty acid oxidation
HSD3A1r,505.2979,-77.22816,-1.36082045,0,Steroid metabolism
HSD3A2r,-197.31943,181.7847,24.40366493,0,Steroid metabolism
IDHPOXOX4,2.312263,60.8626,0.926798005,0,Tyrosine metabolism
ILEt5m,96.53853,-26.297375,-1.748773971,0,"Transport, mitochondrial"
ILETAm,96.53853,-26.297375,-1.748773971,0,"Valine, leucine, and isoleucine metabolism"
INSt,-548.9383,117.22533,1.543070631,0,"Transport, extracellular"
ITCOAL1m,5.5571275,-538.37354,-1.020859445,0,C5-branched dibasic acid metabolism
ITCOALm,5.1879797,538.37354,0.980911159,0,C5-branched dibasic acid metabolism
KCC2t,-4.941744,-262.7421,-0.963077759,0,"Transport, extracellular"
LEUKTRB4t,22.895536,-33.37067,-5.371407251,0,"Transport, extracellular"
LEUKTRE4t,677.16473,-111.58531,-1.394587598,0,"Transport, extracellular"
LGNCt,19.038204,328.63242,0.890481371,0,"Transport, extracellular"
LNELDCCRNt,2.4256208,348.8392,0.986189218,0,Fatty acid oxidation
MANt1r,-14.149904,502.3074,1.057972706,0,"Transport, extracellular"
MDHm,-12.158297,736.8829,1.033552877,0,Citric acid cycle
MTHFCm,-546.3547,-25.298851,0.911488872,0,Folate metabolism
MTHFD2m,-513.48724,629.9003,9.821815072,0,Folate metabolism
MTHFDm,-32.867477,-655.19916,-0.904464254,0,Folate metabolism
NACHEX6ly,1.0454059,14.0517435,0.861509509,0,Chondroitin sulfate degradation
NACHEX7ly,0.7624811,14.378005,0.899279174,0,Chondroitin sulfate degradation
NDPK10,177.34666,-442.719,-2.33658749,0,Nucleotide interconversion
NDPK10n,-177.34666,442.719,2.33658749,0,Nucleotide interconversion
NDPK2n,-122.79364,22.002256,1.436590045,0,Nucleotide interconversion
NDPK3n,153.02774,-651.4541,-1.614043514,0,Nucleotide interconversion
NDPK5n,-294.63184,224.12238,7.357227208,0,Nucleotide interconversion
NTD9l,7.978583,135.50482,0.888787385,0,Purine catabolism
ODECOAtx,6.2780848,-0.71477133,-1.25695886,0,"Transport, peroxisomal"
OIVD3m,133.6543,11.876723,-0.836780869,0,"Valine, leucine, and isoleucine metabolism"
ORNTArm,-10.087767,-487.13434,-0.959423501,0,Urea cycle
PGDIr,-85.6775,183.56055,2.750609588,0,Eicosanoid metabolism
PGISr,-10.153788,-366.9281,-0.946145452,0,Eicosanoid metabolism
PHEtec,334.29535,-231.21867,-5.486344003,0,"Transport, extracellular"
PI45P5P,87.36574,7.641046,-0.839147352,0,Inositol phosphate metabolism
PROSTGD2t,93.432686,-352.74286,-1.720624982,0,"Transport, extracellular"
PROSTGE2t2,344.7673,21.780209,-0.881160238,0,"Transport, extracellular"
PROSTGF2t,-244.99135,95.78718,2.283974377,0,"Transport, extracellular"
