Reaction,fc,pval,Clus,Disp,subSystem,rxnNames,geneRules,kegg,source
NACHEX6ly,-0.9608401211930023,0,5.520831441237964,0.11025635788256186,Chondroitin sulfate degradation,"Beta-N-Acetylhexosaminidase, Lysosomal",(3073.1 and 3074.1) or 3073.1 or 3074.1,NA,"PMID:10336991,PMID:11707436,PMID:12706724,PMID:8993162"
NACHEX7ly,-0.9462827823568859,0,5.566773579127901,0.153642415496186,Chondroitin sulfate degradation,"Beta-N-Acetylhexosaminidase, Lysosomal",(3073.1 and 3074.1) or 3073.1 or 3074.1,NA,"PMID:10336991,PMID:11707436,PMID:12706724,PMID:8993162"
NACHEXA1ly,-0.8614417784274598,0,2.1617978418890242,0.16091551604936283,Chondroitin sulfate degradation,"Beta-N-Acetylhexosaminidase A, Lysosomal",3073.1 or (3073.1 and 3074.1),NA,"PMID:10336991,PMID:11707436,PMID:12706724,PMID:8993162"
NACHEXA22ly,0.7699679045855997,0,0.09160792896552739,0.7048716127305713,Keratan sulfate degradation,"Beta-N-Acetylhexosaminidase A, Lysosomal",3073.1 or (3073.1 and 3074.1),NA,"PMID:10336991,PMID:11707436,PMID:12706724,PMID:8993162"
NACHEXA2ly,0.5625341127339303,0,0.3518371749529091,1.2566867588866195,Chondroitin sulfate degradation,"Beta-N-Acetylhexosaminidase A, Lysosomal",3073.1 or (3073.1 and 3074.1),NA,"PMID:10336991,PMID:11707436,PMID:12706724,PMID:8993162"
NACHEXA3ly,-0.9816640730126966,0,17.705078409524635,0.1638214213209103,Chondroitin sulfate degradation,"Beta-N-Acetylhexosaminidase A, Lysosomal",3073.1 or (3073.1 and 3074.1),NA,"PMID:10336991,PMID:11707436,PMID:12706724,PMID:8993162"
NACHEXA4ly,-0.9772082600360843,0,16.75332734697424,0.1931195049810416,Chondroitin sulfate degradation,"Beta-N-Acetylhexosaminidase A, Lysosomal",3073.1 or (3073.1 and 3074.1),NA,"PMID:10336991,PMID:11707436,PMID:12706724,PMID:8993162"
NACHEXA5ly,-0.9308310536765184,0,5.631046104846895,0.20172325539801458,Chondroitin sulfate degradation,"Beta-N-Acetylhexosaminidase A, Lysosomal",3073.1 or (3073.1 and 3074.1),NA,"PMID:10336991,PMID:11707436,PMID:12706724,PMID:8993162"
NACHEXA6ly,-0.9448632995605764,0,5.585103973223269,0.15833719766537016,Chondroitin sulfate degradation,"Beta-N-Acetylhexosaminidase A, Lysosomal",3073.1 or (3073.1 and 3074.1),NA,"PMID:10336991,PMID:11707436,PMID:12706724,PMID:8993162"
NADPHtru,-1,0,327.0286261451721,NA,"Transport, endoplasmic reticular","Transport of NADPH, Endoplasmic Reticulum",NA,NA,NA
NADPHtxu,-1,0,75.76399368623495,NA,"Transport, peroxisomal","Transport of NADPH, Peroxisome",NA,NA,PMID:10521434
NADPtru,-1,0,327.0286261451721,NA,"Transport, endoplasmic reticular","Transport of NADP, Endoplasmic Reticulum",NA,NA,NA
NADPtxu,-1,0,75.76399368623495,NA,"Transport, peroxisomal","Transport of NADP, Peroxisome",NA,NA,PMID:10521434
NADtn,0.48521893702710933,0,0.2396098224694666,0.6913095127745531,"Transport, nuclear","Transport of NAD, Nuclear Through Pores",NA,NA,NA
NAGAlby,0.831242961141896,0,0.19758168681501811,2.1440295212502147,Sphingolipid metabolism,"N-Acetylgalactosaminidase, Beta-",NA,NA,NA
NAGLCAly,-0.555658350613472,0,9.658974582437798,2.758886419791635,Keratan sulfate degradation,"N-Acetylglucosaminidase, Lysosomal",NA,NA,NA
NAHCO3_HCLt,-0.9808580225912424,0,297.4341063341975,2.8742478658795356,"Transport, extracellular",Bicarbonate Transport (HCl/ (Hcl/NaHCO3 Exchange),9498.1 or 57282.1,NA,PMID:14722772
NAt5,16.90488401995986,0,-38.30078217561245,34.0225324943617,"Transport, extracellular",Sodium/Ammonium Proton Antiporter,6548.1 or 6550.1 or 6549.1,NA,"PMID:10444453,PMID:12845533,PMID:2536298,PMID:2581505,PMID:7631746,PMID:8199403,PMID:8595899"
NCKt,-0.9674843036903131,0,4.6413577930808065,0.07670555753931403,"Transport, extracellular",Na+/Ca2+-K+ Antiport,123041.2 or 57419.1 or 9187.1 or 123041.3 or 25769.1 or 123041.1,NA,"PMID:10484410,PMID:10662833,PMID:11294880,PMID:12379639,PMID:14770312,PMID:9478004"
NCNt,1.0008958123275558,0,-13.213614754291624,0.005915809766575695,"Transport, extracellular",Na+/Ca2+-NH4+ Antiport,9187.1 or 25769.1,NA,"PMID:10484410,PMID:10662833,PMID:11294880,PMID:12379639,PMID:14770312,PMID:9478004"
NDP10ex,0.5291504439196046,0,79.81457255388797,259.2090986939192,Nucleotide interconversion,"Nucleoside-Diphosphatase (IDP), Extracellular",124583.1 or 953.1 or 377841.1 or 956.1,NA,"PMID:12234496,PMID:12600208"
NDP6,0.626481814062816,0,0.22417809313465115,0.9761816300320924,Nucleotide interconversion,Nucleoside-Diphosphatase (dCDP),79077.1,NA,NA
NDP7ex,0.45167803590317074,8.454715669449579e-4,0.8335832731103409,2.2069050811483875,Nucleotide interconversion,"Nucleoside-Diphosphatase (UDP), Extracellular",124583.1 or 953.1 or 377841.1 or 956.1,NA,PMID:12600208
