Reactions,sprint_GES1_ARID1A_KO,gimme_GES1_ARID1A_KO,init_GES1_ARID1A_KO,sprint_GES1_ARID1A_KO_Volasertib,gimme_GES1_ARID1A_KO_Volasertib,init_GES1_ARID1A_KO_Volasertib,sprint_GES1_WT_Volasertib,gimme_GES1_WT_Volasertib,init_GES1_WT_Volasertib,sprint_GES_WT,gimme_GES_WT,init_GES_WT,sprint_OVCAR3_ARID1A_KO,gimme_OVCAR3_ARID1A_KO,init_OVCAR3_ARID1A_KO,sprint_OVCAR3_WT,gimme_OVCAR3_WT,init_OVCAR3_WT
HMR_0188,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HMR_0189,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HMR_0191,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HMR_0192,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HMR_0193,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HMR_0194,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1
HMR_0197,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HMR_0200,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HMR_0201,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HMR_0203,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HMR_0204,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HMR_0206,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HMR_0207,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1
HMR_0208,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HMR_0209,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HMR_0210,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HMR_0211,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,0,0
HMR_0214,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HMR_0215,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0
HMR_0230,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HMR_0232,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HMR_0233,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HMR_0234,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HMR_0235,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,0,0
HMR_0238,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HMR_0239,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0
HMR_0240,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HMR_0241,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HMR_0242,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HMR_0243,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,0,0
HMR_0244,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HMR_0245,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HMR_0246,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HMR_0247,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,0,0
HMR_0253,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0
HMR_0254,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HMR_0255,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HMR_0256,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HMR_0257,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,0,1
HMR_0259,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HMR_0260,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HMR_0261,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0
HMR_0267,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HMR_0268,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HMR_0270,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HMR_0271,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HMR_0272,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HMR_0273,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,0,0
HMR_0276,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HMR_0277,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0
HMR_0278,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HMR_0279,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HMR_0280,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HMR_0281,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0
HMR_0287,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0
HMR_0288,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HMR_0289,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HMR_0290,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HMR_0291,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,0,0
HMR_0292,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HMR_0293,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HMR_0296,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HMR_0297,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HMR_0298,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HMR_0299,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0
HMR_0300,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HMR_0301,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HMR_0302,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HMR_0303,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0
HMR_0304,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HMR_0305,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HMR_0306,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HMR_0307,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,0,0
HMR_0308,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HMR_0309,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HMR_0310,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HMR_0311,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0
HMR_0317,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0
HMR_0319,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HMR_0321,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0
HMR_0322,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HMR_0323,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HMR_0324,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HMR_0325,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,0,0
HMR_0326,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HMR_0327,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HMR_0328,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HMR_0329,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,0,0
HMR_0342,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HMR_0343,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0
HMR_0344,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HMR_0345,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HMR_0346,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HMR_0347,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,0,0
HMR_0350,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HMR_0354,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HMR_0358,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HMR_0359,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0
HMR_0362,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HMR_0363,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0
HMR_0366,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HMR_0367,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0
HMR_0370,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HMR_0371,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0
HMR_0374,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HMR_0375,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0
HMR_0378,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HMR_0380,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HMR_0381,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HMR_0382,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HMR_0383,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0
HMR_0384,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HMR_0385,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HMR_0386,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HMR_0387,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,0,0
HMR_0388,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HMR_0389,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HMR_0390,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HMR_0391,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0
HMR_0392,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HMR_0393,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HMR_0394,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HMR_0395,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,0,0
HMR_0398,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HMR_0402,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HMR_0406,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HMR_0410,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HMR_0414,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HMR_0415,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0
HMR_0418,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HMR_0419,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0
HMR_0422,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HMR_0423,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0
HMR_0426,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HMR_0427,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0
HMR_0428,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HMR_0429,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HMR_0430,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HMR_0431,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0
HMR_0432,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HMR_0433,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HMR_0434,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HMR_0435,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,0,0
HMR_0436,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HMR_0437,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HMR_0438,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HMR_0439,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,0,0
HMR_0467,1,0,1,1,0,1,0,0,0,1,0,1,1,0,1,1,0,1
HMR_0469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HMR_0478,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,1,0
HMR_0482,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HMR_0582,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HMR_0586,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
HMR_0587,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0
HMR_0593,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HMR_0597,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HMR_0598,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HMR_0601,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
