Reaction,fc,pval,OVCAR3_A1AKO,OVCAR3_P,subSystem
HMR_2713,1.2173216427361375,0,27.32281682138704,-278.7733072316885,"Transport, mitochondrial"
HMR_2718,-1.0308614230088557,0,-471.37167082214353,7.1630690123999825,"Transport, mitochondrial"
HMR_2727,-1.0118271858372305,0,-346.94866704974174,2.039651511851471,"Transport, mitochondrial"
HMR_2821,0.9358947520230456,0,-7.199421257774196,-217.4131178080559,"Transport, endoplasmic reticular"
HMR_2827,-0.9358947520230456,0,7.199421257774196,217.4131178080559,"Transport, endoplasmic reticular"
HMR_4790,-7.543117695849295,0,-11.239857092322278,14.675484453710693,"Transport, peroxisomal"
HMR_6826,-0.9658217102433426,0,3.0761345818731702,176.92904436503332,Phenylalanine metabolism
HMR_6834,0.9658217102433426,0,-3.0761345818731702,-176.92904436503332,Phenylalanine metabolism
HMR_6854,98.9842316058291,0,256.72277094757186,-251.58750577976704,Phenylalanine metabolism
HMR_7758,-1.0412069821225405,0,-3.9675774384223113,196.5357896226406,"Transport, mitochondrial"
HMR_7977,6.4233720729458765,0,605.1591188562393,-442.11754882320463,"Transport, extracellular"
HMR_8501,0.8300413694482276,0,308.9700113578081,28.694498872324147,Pyruvate metabolism
HMR_9621,0.9756584697062525,0,216.01037201668024,2.661402815735375,"Transport, extracellular"
HMR_9639,1.4538899554597933,0,60.44348206590507,-326.77888490457536,"Transport, extracellular"
ACMPdt,-1.2115073657220352,0,-0.156614246109417,1.6375484497459996,Drug metabolism
