Reaction,fc,pval,MCF10A_KO,MCF10A_P,subSystem
ALASm,1,-2.1985195154777926,316.48340763200673,NA,"Glycine, serine, alanine, and threonine metabolism"
ALAt4,-0.5441042820739268,0,29.868261865299544,101.16285200948752,"Transport, extracellular"
ALATHRNaEx,-0.8806295251359981,0,11.395818913182033,179.53613350076677,"Transport, extracellular"
ALCD2if,-0.5724997570917378,0,43.962647779550075,161.71044134187102,Glycolysis/gluconeogenesis
ALCD2yf,1,-2.2,481.9864174713135,NA,Glycolysis/gluconeogenesis
ALDD21,-0.994880252809995,0,1.9336143953826157,753.4218059494018,Fatty acid oxidation
AMACR2p,0.8831400828720702,0,82.46989289741516,5.117741870186667,Bile acid synthesis
AMETr,-1,-2.2014824797843664,-6.649913531581377,NA,"Transport, endoplasmic reticular"
AMETt2m,1.5030903604932213,0,141.8124443891585,-705.5777459152222,"Transport, mitochondrial"
AMPDA,-0.4711896209603376,0,52.60581588608417,146.35327406830788,Nucleotide interconversion
AMY1e,-0.45152607543760853,0,33.98480140023707,89.9401470003724,Starch and sucrose metabolism
ANDRSTRNGLCte,1,-2.202966958867161,7.822559315939475,NA,"Transport, extracellular"
ANDRSTRNGLCtr,-1,-2.2044534412955468,-7.822559315939545,NA,"Transport, endoplasmic reticular"
APOCF,-1,-2.2059419311276165,NA,10.67118197506367,Biotin metabolism
APOCFm,-1,-2.2074324324324324,NA,3.9005539397344964,Biotin metabolism
APOC_LYS_BTNP,-1,-2.208924949290061,NA,10.67118197506367,Biotin metabolism
APOC_LYS_BTNPm,-1,-2.2104194857916104,NA,3.9005539397344964,Biotin metabolism
ARACHCPT1,-1.3006763418917233,0,-1.832799625781052,14.023979112998981,Fatty acid oxidation
ARACHCPT2,-1.3006763418917233,0,-1.832799625781052,14.023979112998981,Fatty acid oxidation
ARACHDCOAtx,1.6505915067127004,0,237.20570014295578,-58.222481082436346,"Transport, peroxisomal"
ARGNm,-1,-2.211916046039269,NA,8.602720803021837,Urea cycle
R_group_phosphotase_1,1,-2.2134146341463414,9.475438725879462,NA,Miscellaneous
R_group_phosphotase_2,1,-2.214915254237288,9.475438725879462,NA,Miscellaneous
ASNALANaEx,0.41673849594505513,0,30.030650956491055,12.363412651498493,"Transport, extracellular"
ASNTHRNaEx,-0.708815511083314,0,19.397694822115557,113.83532795517696,"Transport, extracellular"
ASPCTr,-1,-2.216417910447761,-44.751342679059505,NA,Pyrimidine synthesis
ASPGLUm,1,-2.2179226069246436,115.8398848563671,NA,"Transport, mitochondrial"
ASPTAm,0.8257326262297504,0,61.08761741077518,5.830853052147799,Alanine and aspartate metabolism
ATPH1e,-0.6962312968247388,0,2.2199191989350666,12.395932768239254,Nucleotide interconversion
ATPH2e,-0.8864469920310301,0,12.96274077526452,215.34897032985688,Nucleotide interconversion
ATPtn,0.42434136314261944,0,174.9563098510012,70.7099529962469,"Transport, nuclear"
B_MANNASEly,-0.7406988153265797,0,0.824576448695334,5.5354133811533455,N-glycan degradation
B3GALT43g,-0.43445373205221727,0,0.8131301304690225,2.0624263944450427,Sphingolipid metabolism
BAAT3x,0.8539117547931565,0,84.73036992259026,6.676753100958117,Bile acid synthesis
BACCL,-1,-2.219429347826087,NA,10.67118197506367,Biotin metabolism
BACCLm,-1,-2.22093813732155,NA,3.9005539397344964,Biotin metabolism
BDHm,1,-2.2224489795918365,NA,-215.26412197837828,Butanoate metabolism
BHBtm,1,-2.2239618788291353,NA,-215.26412197837828,"Transport, mitochondrial"
BILDGLCURt,1,-2.225476839237057,8.814097561997498,NA,"Transport, extracellular"
BILDGLCURte,1,-2.226993865030675,3.26632905694415,NA,"Transport, extracellular"
BILDGLCURtr,1,-2.228512960436562,5.547768507246161,NA,"Transport, endoplasmic reticular"
BILGLCURt,1,-2.2300341296928328,12.67026112374317,NA,"Transport, extracellular"
BILGLCURte,1,-2.2315573770491803,7.208686700641204,NA,"Transport, extracellular"
BILIRED,0.5581810367254486,0,40.940057990323055,11.608467534489494,Heme degradation
BTND1,-1,-2.2330827067669174,NA,5.56238416994187,Biotin metabolism
BTNDm,-1,-2.234610123119015,NA,3.9005539397344964,Biotin metabolism
BTNPL,-1,-2.2361396303901437,NA,10.67118197506367,Biotin metabolism
BTNPLm,-1,-2.2376712328767123,NA,3.9005539397344964,Biotin metabolism
BTNt2,-0.9074847745544202,0,2.827717706506501,58.30206267045108,"Transport, extracellular"
BTNt3i,1,-2.2392049348869087,4.289846849989652,NA,"Transport, extracellular"
C160CPT1,2.5889056023630665,0,120.02839491818584,-271.1114985835969,Fatty acid oxidation
C160CPT2,1,-2.240740740740741,NA,-271.1114985835969,Fatty acid oxidation
C160CRNt,1,-2.2422786547700757,NA,-271.1114985835969,Fatty acid oxidation
C161CPT1,2.6564300824570903,0,107.7504812352186,-48.81294992445377,Fatty acid oxidation
C161CPT2,1.0323099100534612,0,1.8197246586505613,-114.46161413711543,Fatty acid oxidation
C161CRNt,1,-2.243818681318681,NA,-114.46161413711543,Fatty acid oxidation
C180CPT1,1.154021353045191,0,175.19905937452316,-12.527450639688572,Fatty acid oxidation
C181CPT1,-0.38026503626358105,0,78.40165103999358,174.61505974006428,Fatty acid oxidation
C204CPT1,-1.021208438065454,0,-265.8155478668213,2.7891891195368443,Fatty acid oxidation
C204CPT2,-5.2385575263842314,0,-4.105292110792379,2.7891891195383285,Fatty acid oxidation
C226CPT1,0.3978218557410946,0,112.36917361192702,48.40835773143768,Fatty acid oxidation
C226CPT2,0.3978218557410946,0,112.36917361192702,48.40835773143768,Fatty acid oxidation
C3STDH1r,-1,-2.245360824742268,NA,2.3315797023360805,Cholesterol metabolism
C3STKR2r,-0.3555013215901503,0,1.2707592518080928,2.672644495561553,Cholesterol metabolism
C4STMO2Pr,-1,-2.246905089408528,NA,0.9603096410484228,Cholesterol metabolism
CAATPS,0.7610373111999884,0,147.46711455659567,20.010443833249134,"Transport, extracellular"
CAT2p,1,-2.248451479697178,100.7535814385063,NA,Glycolysis/gluconeogenesis
CBPPer,1,-2.25,44.751342679059505,NA,Glycolysis/gluconeogenesis
CBPter,1,-2.2515506547208823,44.751342679059505,NA,"Transport, endoplasmic reticular"
CBR2,1,-2.253103448275862,539.0788916908264,NA,Eicosanoid metabolism
CDIPTr,1.3058656561394235,0,4.496344216608572,-33.89712280260967,Glycerophospholipid metabolism
CDPDAGtm,1,-2.2546583850931676,NA,-4.494941586810511,"Transport, mitochondrial"
CDSm,-0.9963812295953355,0,0.008176641526956137,4.510839826838264,Glycerophospholipid metabolism
CEPTC,-0.6025152158154661,0,6.170459565566567,24.877066332692255,Glycerophospholipid metabolism
CERK,-1,-2.2562154696132595,NA,4.257850233569396,Sphingolipid metabolism
CERT1rt,-0.739722428575355,0,9.419710265140585,62.96232567888051,"Transport, endoplasmic reticular"
CHAT,-1,-2.2577747062888736,NA,33.51283700366969,Glycerophospholipid metabolism
CHLtm,0.9978599817551024,0,-0.008176641526956865,-7.633479261596245,"Transport, mitochondrial"
CHOLtg,0.8791066317785275,0,85.21855316502014,5.4825829215072215,"Transport, golgi apparatus"
CHOLtr,0.4137721411040147,0,67.2951954267797,27.904297433829193,"Transport, endoplasmic reticular"
CHSTEROLSULT,0.46968556927097643,0,9.384609055091008,3.386298207400729,Steroid metabolism
CITRtm,1,-2.259336099585062,10.204909350911096,NA,"Transport, mitochondrial"
CITtam,-1.5923344118218734,0,-483.480174520874,110.47260858644061,"Transport, mitochondrial"
CLI2tex,0.9392673923402126,0,388.0164688892365,12.15162595094671,"Transport, extracellular"
CLPNDCRNt,0.512506154906459,0,492.91861429748536,158.87194232073873,Fatty acid oxidation
CO2ter,-0.40939337864353426,0,-330.3794298396111,-138.44557650117875,"Transport, endoplasmic reticular"
CO2tg,-1,-2.2608996539792385,-1.0973501512798223,NA,"Transport, golgi apparatus"
CO2tm,-0.5914470165051416,0,-387.3422815322876,-99.43770864658892,"Transport, mitochondrial"
COAtg,0.5735728835448047,0,-27.303198234337476,-100.75243979029655,"Transport, golgi apparatus"
COAtp,1,-2.262465373961219,164.60262915089132,NA,"Transport, peroxisomal"
COAtr,200.54231798570743,0,270.1421784453936,-272.8497963699758,"Transport, endoplasmic reticular"
CRNCAR3tp,1,-2.264033264033264,83.47212659690976,NA,"Transport, peroxisomal"
CRNt,0.9742791136198375,0,394.4220032468498,5.138525480699445,"Transport, extracellular"
CSAPASEly,-0.4862325469522346,0,2.4594523674945523,7.114732812608302,Chondroitin sulfate degradation
CSBPASEly,-0.8483427898264484,0,0.2843966878019065,3.4661231519927505,Chondroitin sulfate degradation
CSCPASEly,-0.9027580281434714,0,0.3779352974491838,7.3951546601833424,Chondroitin sulfate degradation
CSDPASEly,-0.915770155038201,0,0.35254580959780946,8.01849677649981,Chondroitin sulfate degradation
CSEPASEly,-0.6593380642172009,0,0.240130927173437,1.1696592604015015,Chondroitin sulfate degradation
CSNAT2x,-1.147070900158369,0,-190.16884312200546,13.02625960696782,Fatty acid oxidation
CSNATer,0.34064800286394625,0,-250.26608870334624,-508.8613266693115,Fatty acid oxidation
CSNATr,-0.3756320545908439,0,-591.2574350031853,-268.35823479747773,Fatty acid oxidation
CSPG_At,-1,-2.265603328710125,NA,0.5439591317802337,"Transport, extracellular"
CSPG_Atly,-0.4862325469522346,0,2.4594523674945523,7.114732812608302,"Transport, lysosomal"
CSPG_Bt,-0.47807215539996767,0,0.2843966878019065,0.8053964349231227,"Transport, extracellular"
CSPG_Btly,-0.8483427898264484,0,0.2843966878019065,3.4661231519927505,"Transport, lysosomal"
CSPG_Ctly,-0.9027580281434714,0,0.3779352974491838,7.3951546601833424,"Transport, lysosomal"
CSPG_Dtly,-0.915770155038201,0,0.35254580959780946,8.01849677649981,"Transport, lysosomal"
CSPG_Et,-0.6593380642172009,0,0.240130927173437,1.1696592604015015,"Transport, extracellular"
CSPG_Etly,-0.6593380642172009,0,0.240130927173437,1.1696592604015015,"Transport, lysosomal"
CYANt,-0.5376168834141599,0,93.85055061567071,312.09225849313736,"Transport, extracellular"
CYSSERNaEx,-0.8092984191552888,0,16.884758538542428,160.19566694877147,"Transport, extracellular"
CYSt4,-0.48029909274166505,0,80.57432986005098,229.5052899163246,"Transport, extracellular"
CYTDK2m,-1,-2.267175572519084,NA,4.494941586810517,Nucleotide interconversion
CYTDt,-1,-2.26875,NA,227.13809960365296,"Transport, extracellular"
CYTDtm,-1,-2.270326615705351,NA,4.494941586810517,"Transport, mitochondrial"
CYTK10,0.8903038439588752,0,574.5056905975342,33.33911957260575,Nucleotide interconversion
CYTK11n,-0.38869070431467784,0,107.05729681009687,243.19844955501557,Nucleotide interconversion
CYTK12,-1.5607931208316195,0,-92.94064780920982,424.40208824694156,Nucleotide interconversion
CYTK13,0.5447880291184704,0,367.0207777499199,108.152217938504,Nucleotide interconversion
CYTK14,1.9350999743148263,0,28.617753597652666,-89.8256551776344,Nucleotide interconversion
CYTK1m,-0.9963812295953355,0,0.008176641526956137,4.510839826838264,Nucleotide interconversion
CYTK2n,-0.4550110820322948,0,75.85756996491664,202.52449419812672,Nucleotide interconversion
CYTK4n,0.4427626217593515,0,-38.975026607016254,-100.91159309559995,Nucleotide interconversion
CYTK5,0.9277436773819905,0,334.8228748268127,12.549941129222884,Nucleotide interconversion
CYTK5n,1.269848572988137,0,459.08473055915834,-54.57780791911874,Nucleotide interconversion
CYTK6,-1.541232406408684,0,-65.16258572768402,13.878346188355168,Nucleotide interconversion
CYTK6n,0.36351269820591053,0,142.48881729572153,66.51373542447854,Nucleotide interconversion
CYTK7,-39.08876710965419,0,-528.3893281215668,502.0283613861084,Nucleotide interconversion
CYTK7n,-1.8422194705932105,0,-288.2178334013641,85.40602637281744,Nucleotide interconversion
CYTK8,-1.449303934958565,0,-82.83783990737331,451.57638618791106,Nucleotide interconversion
CYTK9,1.6473656705242194,0,179.30385384105296,-733.2530729766846,Nucleotide interconversion
CYTK9n,-0.33568571796570346,0,284.55253959151804,572.1279421833038,Nucleotide interconversion
D3AIBTm,0.5634454141058041,0,-37.50970827549011,-134.33459018106544,Pyrimidine catabolism
DADA,-1,-2.2719054242002783,NA,76.5388524329871,Nucleotide interconversion
DADAe,-0.5851305308808145,0,8.58985812894832,32.82007327518973,Nucleotide interconversion
DAGK_hs,-0.42965380189592317,0,73.75801524767876,184.88494754531382,Glycerophospholipid metabolism
DAGt,-1.0376880956027985,0,-279.4925333341599,5.16935900999611,"Transport, extracellular"
DASCBR,-0.39432640042219785,0,8.207548974324734,18.89466905217001,Vitamin C metabolism
DCK1m,1,-2.2734864300626305,NA,-493.4404395019531,Nucleotide interconversion
DCSPTN1COAtx,-1,-2.2750696378830084,-7.122716818197781,NA,"Transport, peroxisomal"
