Reaction,fc,pval,OVCAR3_A1AKO,OVCAR3_P,subSystem
RE3121C,0.5107555841529549,0,7.581538279865674,23.41130715400404,Fatty acid oxidation
RE3122C,0.5107555841529549,0,7.581538279865674,23.41130715400404,Fatty acid oxidation
RE3136C,0.4081701433321613,0,0.52979623025287,1.2605704580239443,Cholesterol metabolism
RE3177M,-0.3443784317481177,0,8.395541218470107,4.094306907928715,Fatty acid oxidation
RE3178M,-0.3443784317481177,0,8.395541218470107,4.094306907928715,Fatty acid oxidation
RE3179M,-0.3443784317481177,0,8.395541218470107,4.094306907928715,Fatty acid oxidation
RE3185M,-0.3443784317481177,0,8.395541218470107,4.094306907928715,Fatty acid oxidation
RE3186M,-0.3443784317481177,0,8.395541218470107,4.094306907928715,Fatty acid oxidation
RE3189M,-0.3443784317481177,0,8.395541218470107,4.094306907928715,Fatty acid oxidation
RE3190M,-0.3443784317481177,0,8.395541218470107,4.094306907928715,Fatty acid oxidation
RE3191M,-0.3443784317481177,0,8.395541218470107,4.094306907928715,Fatty acid oxidation
RE3192M,-0.3443784317481177,0,8.395541218470107,4.094306907928715,Fatty acid oxidation
RE3193M,-0.3443784317481177,0,8.395541218470107,4.094306907928715,Fatty acid oxidation
RE3194M,-0.3443784317481177,0,8.395541218470107,4.094306907928715,Fatty acid oxidation
RE3195M,0.3443784317481177,0,-8.395541218470107,-4.094306907928715,Fatty acid oxidation
RE3237C,1,-3.899856938483548,NA,3.299858184055186,Fatty acid synthesis
RE3251M,-1,-3.9054441260744985,14.389005747623974,NA,Bile acid synthesis
RE3273R,0.6048499001712848,0,-208.30702873815744,-51.28987028140186,Phosphatidylinositol phosphate metabolism
RE3301C,-1,-3.9110473457675754,193.41719270572662,NA,Glycerophospholipid metabolism
RE3307C,0.3779764459300368,0,-7.969724546975755,-3.5975624999327334,Eicosanoid metabolism
RE3346C,1.0448801544169837,0,-20.723683775478694,944.2358260437012,Bile acid synthesis
RE3346M,-0.3780188019044799,0,742.7303188728332,335.2380192171097,Bile acid synthesis
RE3352C,1,-3.9166666666666665,-60.44348206590507,NA,Purine catabolism
RE3430C,-0.670335796405998,0,193.89566872520447,38.26803050509743,Eicosanoid metabolism
RE3430M,1,-3.9223021582733812,-4.933620412747168,NA,Eicosanoid metabolism
RE3430X,0.6631781258388589,0,-188.96204830379486,-38.26803050509743,Eicosanoid metabolism
RE3431C,-0.6434188769594033,0,-36.25172067655921,-167.07772294310183,Eicosanoid metabolism
RE3432C,-0.6434188769594033,0,-36.25172067655921,-167.07772294310183,Eicosanoid metabolism
RE3432M,1,-3.9279538904899134,-4.933620412747168,NA,Eicosanoid metabolism
RE3432X,0.6631781258388589,0,-188.96204830379486,-38.26803050509743,Eicosanoid metabolism
RE3470C,-0.5475179207562901,0,-3.546466718171773,-12.129145116442444,Arachidonic acid metabolism
RE3470M,1,-3.9336219336219336,-4.6033709366066935,NA,Arachidonic acid metabolism
RE3476M,-1,-3.939306358381503,4.6033709366066935,NA,Arachidonic acid metabolism
RE3485C,-0.3352309832407462,0,12.050896833839158,5.9997580492438605,Eicosanoid metabolism
RE3493C,-0.3352309832407462,0,12.050896833839158,5.9997580492438605,Eicosanoid metabolism
RE3526C,0.5475179207562901,0,1.7732333590858864,6.064572558221222,Arachidonic acid metabolism
RE3526M,-1,-3.9450072358900146,2.3016854683033467,NA,Arachidonic acid metabolism
RE3597C,2.746991686105402,0,-50.80907413155796,108.97657949024402,Eicosanoid metabolism
RE3597X,-2.120136661088978,0,41.27208278155662,-114.96323889715522,Eicosanoid metabolism
RE3626M,-0.3765095281896911,0,13.014825408970554,5.895069716981723,Fatty acid oxidation
EX_HC02187[e],-1,-3.9507246376811596,NA,-176.79286743709307,Exchange/demand reaction
EX_HC02180[e],-0.3651689893375653,0,-8.334772426896652,-17.92346728385556,Exchange/demand reaction
EX_HC02203[e],1.1539022568594157,0,-17.929559295852936,250.92886238249912,Exchange/demand reaction
EX_malcoa[e],0.3579820851504594,0,-380.8675041032791,-180.06405496228896,Exchange/demand reaction
EX_arachcoa[e],0.3579820851504594,0,-380.8675041032791,-180.06405496228896,Exchange/demand reaction
EX_coa[e],-0.3579820851504594,0,380.8675041032791,180.06405496228896,Exchange/demand reaction
EX_CE2250[e],-0.3579820851504594,0,380.8675041032791,180.06405496228896,Exchange/demand reaction
EX_23cump[e],-0.5415404855014114,0,858.2272153381348,255.23976578884125,Exchange/demand reaction
EX_3ump[e],0.5415404855014114,0,-858.2272153381348,-255.23976578884125,Exchange/demand reaction
EX_crm_hs[e],1.0534771027404117,0,-7.264756429002853,278.9607181293726,Exchange/demand reaction
EX_CE0074[e],-1.4538899554597933,0,60.44348206590507,-326.77888490457536,Exchange/demand reaction
HCO3_NAt,-0.6117425564950031,0,-18.25847431270089,-75.79496686731814,"Transport, extracellular"
2MB2COAc,0.6981400762587023,0,24.699521435961547,138.94937325553596,Fatty acid oxidation
3HBCOARc,-0.3678819180507555,0,422.79654698598387,195.38041903235913,Fatty acid oxidation
ADPACtx,0.759126974573231,0,0.9441618749118977,6.8953367425781265,Fatty acid oxidation
ADPCOACROT,-1.182319012105278,0,1.0167136084735684,-12.16984126897755,Fatty acid oxidation
ADPCOAPTE,0.759126974573414,0,0.9441618749118977,6.895336742584086,Fatty acid oxidation
BCRNe,-0.3678819180507555,0,422.79654698598387,195.38041903235913,Fatty acid oxidation
C10DCCACT,-2.142233574873853,0,2.2151743865109697,-6.093845851330433,Fatty acid oxidation
C10DCe,-1,-3.956458635703919,2.2151743865109697,NA,Fatty acid oxidation
C12DCACOT,0.3877948755895068,0,1.7559049329800565,3.9804238332022224,Fatty acid oxidation
C12DCTD,0.3877948755895068,0,1.7559049329800565,3.9804238332022224,Fatty acid oxidation
C12DCe,-1,-3.9622093023255816,2.4067753396172966,NA,Fatty acid oxidation
C142ACBP,0.5227537854841235,0,2.8046963789587003,8.948969941071994,Fatty acid oxidation
C142OHc,0.5227537854841235,0,2.8046963789587003,8.948969941071994,Fatty acid oxidation
C142OHe,0.5227537854841235,0,2.8046963789587003,8.948969941071994,Fatty acid oxidation
C14OHc,-0.38455481229940974,0,213.43682184712887,94.87429729543808,Fatty acid oxidation
C162ACBP,0.3961117932175342,0,3.0119907587492585,6.963334889013376,Fatty acid oxidation
C162OHc,0.3961117932175342,0,3.0119907587492585,6.963334889013376,Fatty acid oxidation
C162OHe,0.3961117932175342,0,3.0119907587492585,6.963334889013376,Fatty acid oxidation
C16txc,0.4537531421201686,0,4.107340530697436,10.93106370521675,"Transport, peroxisomal"
C2tcx,-2596.3211576493886,0,92.93450348338224,-93.00612044162224,"Transport, peroxisomal"
C30CPT1,-1,-3.967976710334789,NA,-71.06048702276871,Fatty acid oxidation
