Reaction,fc,pval,MCF10A_KO,MCF10A_P,subSystem
Htg,2.7461669810059677,0,323.47130548210146,-693.9642869674683,"Transport, golgi apparatus"
IDOAASE4ly,-0.8483427898264484,0,0.2843966878019065,3.4661231519927505,Chondroitin sulfate degradation
ILEtec,-5.59767375831296,0,-509.8395447250366,355.2882397040367,"Transport, extracellular"
KCC2t,-1.3153511694460096,0,-65.8903016474179,483.77555486001967,"Transport, extracellular"
LDH_Lm,0.9152637557042412,0,351.9164641084433,15.569698630582542,Pyruvate metabolism
LEUt5m,1.2508232131125736,0,86.14519807067961,-9.59969456882719,"Transport, mitochondrial"
LEUTAm,1.2508232131125736,0,86.14519807067961,-9.59969456882719,"Valine, leucine, and isoleucine metabolism"
LINKDEG3ly,-0.9095050656227944,0,0.7304811075115123,15.413651435127482,Chondroitin sulfate degradation
L_LACtm,0.9350104735529279,0,320.32348893167375,10.758428515024768,"Transport, mitochondrial"
LNLNCGCPT2,-1.5645972641519013,0,-9.616041360540514,2.1169759166564908,Fatty acid oxidation
LTA4H,-0.9320695992324816,0,12.05158312225394,342.7699102323532,Eicosanoid metabolism
MANt1r,0.906134346534014,0,213.30554505659808,10.504015318260564,"Transport, extracellular"
NACHEXA4ly,-0.8236634961501466,0,0.3779352974491838,3.9085883570175852,Chondroitin sulfate degradation
NACHEXA5ly,-0.8956899725588575,0,0.35254580959780946,6.407030776588698,Chondroitin sulfate degradation
NACHEXA6ly,-0.8821095951458325,0,0.35254580959780946,5.628361797495659,Chondroitin sulfate degradation
NDPK3m,-0.9963812295953355,0,0.008176641526956137,4.510839826838264,Nucleotide interconversion
OCDCEAtr,1.0095425536675262,0,458.32060355148315,-2.176390317458578,"Transport, extracellular"
ORNt3m,1.1160427939609463,0,23.27541159497462,-424.4276210601807,"Transport, mitochondrial"
ORNTArm,-1.2055256580558724,0,-38.737908892053646,415.70212113189694,Urea cycle
PGPP_hs,-0.9992980924677157,0,0.015290304140906392,43.55256853089537,Glycerophospholipid metabolism
PGPPT,-0.9989229426041027,0,0.02346694564694608,43.55256853089537,Glycerophospholipid metabolism
PHEtec,-3.5527485820442366,0,-160.8513260265721,286.87339271812436,"Transport, extracellular"
PIter,7.893678387490685,0,56.42743006708883,-43.73809555135993,"Transport, endoplasmic reticular"
PRISTANALtx,-0.994880252809995,0,1.9336143953826157,753.4218059494018,"Transport, peroxisomal"
PROSTGE2t,1.4134170789048497,0,53.64547381209247,-313.16776521911623,"Transport, extracellular"
S2TASE3ly,-0.8483427898264484,0,0.2843966878019065,3.4661231519927505,Chondroitin sulfate degradation
