Reaction,fc,pval,Ges1_A_D,Ges1_P_D,subSystem
EX_lysgluglu[e],-1.3817443678892425,0,-14.687554522370338,91.63724000735283,Exchange/demand reaction
EX_serglyglu[e],-1,-5.073825503355705,NA,758.6635491821289,Exchange/demand reaction
LYSGLUGLUt,1.3817443678891963,0,14.687554522368847,-91.63724000735283,"Transport, extracellular"
SERGLYGLUt,1,-5.08235294117647,NA,-758.6635491821289,"Transport, extracellular"
LYSGLUGLUr,1.3817443678891963,0,14.687554522368847,-91.63724000735283,Peptide metabolism
SERGLYGLUr,1,-5.090909090909091,NA,-758.6635491821289,Peptide metabolism
HOMOVALte,0.44789926974967476,0,178.79450830707037,68.1764130029209,"Transport, extracellular"
EX_homoval[e],0.44789926974967476,0,178.79450830707037,68.1764130029209,Exchange/demand reaction
GLYCLTtm,0.6938116018585705,0,23.113621485566114,4.178223085818573,"Transport, mitochondrial"
PCHOL2PALM_HSte,1,-5.099494097807757,NA,-4.731111481762923,"Transport, extracellular"
XOLEST183te,-0.6015727756515584,0,2.589422308629307,10.408797443366089,"Transport, extracellular"
XOLEST182_HSte,-0.4412825114236578,0,4.030071856864893,10.396080677339274,"Transport, extracellular"
XOLEST205_HSte,-0.4674584935285554,0,4.941854829674145,13.617655629588555,"Transport, extracellular"
XOLEST226_HSte,-0.6089287906343271,0,6.552187618466904,26.95673587960761,"Transport, extracellular"
PE224_HSte,1,-5.108108108108108,NA,-9.214992534558741,"Transport, extracellular"
PCHOLN261_HSte,1,-5.116751269035533,NA,-2.917985381287156,"Transport, extracellular"
PCHOLN281_HSte,1,-5.125423728813559,NA,-5.569516740256017,"Transport, extracellular"
PCHOLN28_HSte,1,-5.134125636672326,NA,-5.195821888706264,"Transport, extracellular"
LNELDCCRNtr,0.7880574699980473,0,354.869699363327,42.06351482884834,"Transport, extracellular"
ODECRNtr,1,-5.142857142857143,322.87213239631654,NA,"Transport, extracellular"
EX_sphmyln_hs[e],-1,-5.1516183986371376,NA,196.4105410704553,Exchange/demand reaction
XOLEST183tl,-0.6015727756515584,0,2.589422308629307,10.408797443366089,"Transport, lysosomal"
XOLEST182tl,-0.4412825114236578,0,4.030071856864893,10.396080677339274,"Transport, lysosomal"
XOLEST205tl,-0.4674584935285554,0,4.941854829674145,13.617655629588555,"Transport, lysosomal"
TMNDNCtl,-0.4674584935285554,0,4.941854829674145,13.617655629588555,"Transport, lysosomal"
XOLEST226tl,-0.6089287906343271,0,6.552187618466904,26.95673587960761,"Transport, lysosomal"
CRVNCtl,-0.6089287906343271,0,6.552187618466904,26.95673587960761,"Transport, lysosomal"
PA_HStm,0.9862793121143897,0,2.5683838725252173,0.0177417109821482,"Transport, mitochondrial"
MMALtm,1.2472345398050844,0,85.1809961853093,-774.2513522323609,"Transport, mitochondrial"
ARGtD,1.2842011895377858,0,334.9718539985657,-41.67732676268052,"Transport, extracellular"
DM_mi14p[c],1,-5.160409556313994,21.861722107612557,NA,Exchange/demand reaction
ETHAt,0.46484081537813515,0,488.74530230369567,178.55628729261906,"Transport, extracellular"
THMtrbc,-1,-5.1692307692307695,-537.2520071960449,NA,"Transport, extracellular"
UGT1A10c,-0.34782271146958144,0,205.01048031358718,423.6850720125198,Heme degradation
DDCAte,-0.4687589192353913,0,6.673554903998887,18.45083831647165,"Transport, extracellular"
EX_pa_hs[e],1,-5.178082191780822,358.6571476305008,NA,Exchange/demand reaction
DM_C02712[c],-1,-5.186963979416809,NA,367.78225171661376,Exchange/demand reaction
sink_25hvitd2[c],-0.6266056624428148,0,-20.372835774062796,-4.676672222198746,Exchange/demand reaction
sink_chol[c],1,-5.195876288659794,NA,-253.1503384975672,Exchange/demand reaction
sink_coa[c],1,-5.204819277108434,352.91415621795653,NA,Exchange/demand reaction
sink_crvnc[c],-1.5754647629683922,0,-370.45086543252467,82.77396085274256,Exchange/demand reaction
sink_dgchol[c],2.6092003526602716,0,10.12719033716668,-4.515315490871641,Exchange/demand reaction
sink_hdca[c],-0.7367517006703515,0,20.986261100040007,138.45454937038423,Exchange/demand reaction
sink_lnlc[c],1,-5.213793103448276,52.268007508435964,NA,Exchange/demand reaction
sink_lnlncacoa[c],0.5026259975872118,0,-31.308099332087558,-94.58549052267074,Exchange/demand reaction
sink_nad[c],-0.7936045168596335,0,-836.9352696899414,-96.30866655449381,Exchange/demand reaction
