Reaction,fc,pval,Ges1_A_D,Ges1_P_D,subSystem
HMR_2865,-0.7087799570553979,0,10.919305217788544,64.07076145056705,"Transport, endoplasmic reticular"
HMR_2866,0.7087799570553979,0,-10.919305217788544,-64.07076145056705,"Transport, endoplasmic reticular"
HMR_2888,-0.925329647792437,0,11.832905602010126,305.1042790283203,"Transport, endoplasmic reticular"
HMR_2890,0.925329647792437,0,-11.832905602010122,-305.1042790283203,"Transport, endoplasmic reticular"
HMR_2990,0.44328378323546097,0,5.742519239904026,2.2150554333605967,Fatty acid synthesis
HMR_3062,-0.6613088157167181,0,3.2755352107922935,16.066776386267936,Fatty acid oxidation
HMR_3063,-0.6613088157167181,0,3.2755352107922935,16.066776386267936,Fatty acid oxidation
HMR_3064,-0.6613088157167181,0,3.2755352107922935,16.066776386267936,Fatty acid oxidation
HMR_3065,-0.6613088157167181,0,3.2755352107922935,16.066776386267936,Fatty acid oxidation
HMR_3066,-0.5425159730571989,0,3.2755352107922935,11.044244356951308,Fatty acid oxidation
HMR_3067,-0.5425159730571989,0,3.2755352107922935,11.044244356951308,Fatty acid oxidation
HMR_3068,-0.5425159730571989,0,3.2755352107922935,11.044244356951308,Fatty acid oxidation
HMR_3069,-0.5425159730571989,0,3.2755352107922935,11.044244356951308,Fatty acid oxidation
HMR_3070,-0.7676048859449522,0,2.148139555502078,16.338820157370762,Fatty acid oxidation
HMR_3071,-0.7676048859449522,0,2.148139555502078,16.338820157370762,Fatty acid oxidation
HMR_3072,-0.7676048859449522,0,2.148139555502078,16.338820157370762,Fatty acid oxidation
HMR_3073,-0.7676048859449522,0,2.148139555502078,16.338820157370762,Fatty acid oxidation
HMR_3102,-0.35529290246806255,0,9.093982831826061,19.117224603735213,Fatty acid oxidation
HMR_3107,-0.7844703635450674,0,5.948546573303642,49.25079093912696,Fatty acid oxidation
HMR_3108,-0.7844703635450674,0,5.948546573303642,49.25079093912696,Fatty acid oxidation
HMR_3109,-0.7844703635450674,0,5.948546573303642,49.25079093912696,Fatty acid oxidation
HMR_3110,-0.7844703635450674,0,5.948546573303642,49.25079093912696,Fatty acid oxidation
HMR_3111,-0.4469451939217224,0,3.895202863011719,10.190934063028859,Fatty acid oxidation
HMR_3112,-0.4469451939217224,0,3.895202863011719,10.190934063028859,Fatty acid oxidation
HMR_3113,-0.4469451939217224,0,3.895202863011719,10.190934063028859,Fatty acid oxidation
HMR_3114,-0.4469451939217224,0,3.895202863011719,10.190934063028859,Fatty acid oxidation
