Reaction,fc,pval,Clus,Disp,subSystem
10FTHFtm,-0.9948706566656111,0,269.35201750148536,0.6925757171067876,"Transport, mitochondrial"
11DOCRTSLtm,-0.4950744338390046,0,2.3114567027949264,0.7806391159525606,"Transport, mitochondrial"
11DOCRTSTRNtm,0.3816459096339652,0,0.7572588410412427,1.6920136804455426,"Transport, mitochondrial"
13DAMPPOX,0.45678622763513976,0,0.7722050332541927,2.0708931079892734,Beta-Alanine metabolism
24_25DHVITD3t,0.4941098190845146,0,0.5576980355549218,1.6471205460023732,"Transport, extracellular"
24_25DHVITD3tm,0.494109819082495,0,0.5576980355579021,1.6471205460023732,"Transport, mitochondrial"
24_25VITD3Hm,0.494109819082495,0,0.5576980355579021,1.6471205460023732,Vitamin D metabolism
25VITD2Hm,0.34286067945723486,0,0.370269333957287,0.7566433994078768,Vitamin D metabolism
25VITD3Hm,-0.4118233519764988,0,0.9715735664403725,0.40476514488665943,Vitamin D metabolism
2AMACHYD,-0.5854010514068494,0,16.198772871647634,4.23614844655536,"Glycine, serine, alanine, and threonine metabolism"
2AMADPTm,0.6451958176708473,0,2.668596190160053,12.374046050648648,Lysine metabolism
2DR1PP,-1,0,0.4350735619967978,NA,Pyrimidine catabolism
2HBO,0.4398527973587389,0,-485.82185619630815,-188.99970485145747,Propanoate metabolism
2HBt2,-1.0922535505650646,0,95.49216500911265,-4.210527577241511,"Transport, extracellular"
2HCO3_NAt,0.49599110672442737,0,-330.70264787061365,-111.41581979154945,"Transport, extracellular"
2OXOADOXm,0.5102547525295076,0,3.4170064262660547,10.53721342135761,Lysine metabolism
2OXOADPTm,-3.1389654648073986,0,5.7079404617005975,-2.9497920740255585,Tryptophan metabolism
34DHPHAMT,-0.6343954421075528,0,115.25427384674549,25.781696858269584,Tyrosine metabolism
34HPLFM,0.4383244416515821,0,5.016146006067999,12.845218732030109,Ubiquinone synthesis
34HPPOR,0.4377703264453546,0,1.5711466539362648,4.017838516493587,Tyrosine metabolism
35CGMPtn,0.722998626316324,0,0.21168455965367902,1.3167162337330989,"Transport, nuclear"
3DPHBH2,-1,0,0.039419877445157,NA,Ubiquinone synthesis
3HAO,-0.5757392681958828,0,5.636130620423107,1.5175028951979177,Tryptophan metabolism
3HBCOAHLm,-0.984842530736799,0,192.90717852811812,1.4731569804207072,"Valine, leucine, and isoleucine metabolism"
3M4HDXPAC,-0.3920247116563936,0,2.716184249093039,1.1863100476655375,Tyrosine metabolism
3MLDAt,-0.4277792004646639,0,5.552417593295377,2.225280234895942,"Transport, extracellular"
3MOXTYROX,-0.39202471165638525,0,2.716184249093039,1.1863100476655608,Tyrosine metabolism
3SALATAim,0.3509445504194702,0,10.470171114272437,21.79262283049477,Methionine and cysteine metabolism
3SPYRSPm,0.3509445504194702,0,10.470171114272437,21.79262283049477,Methionine and cysteine metabolism
41R1H2MAE12BOOX,-0.6880003998416125,0,5.69647200057403,1.0529008089448988,Tyrosine metabolism
42A12BOOX,-0.8508837304025411,0,13.804127272654002,1.1121281851124338,Tyrosine metabolism
4ABUTtm,-0.439408893817851,0,-366.06579310035704,-939.9334960906982,"Transport, mitochondrial"
4MTOLBUTAMIDEte,-0.3320127641264063,2.434610248127481e-10,-2.294428187096998,-4.575248548855432,"Transport, extracellular"
5ADTSTSTERONEGLCte,-0.8021578520635116,0,3.7870279750904707,0.4157425766170147,"Transport, extracellular"
5ADTSTSTERONEGLCtr,0.8021578520635116,0,-3.7870279750904707,-0.4157425766170147,"Transport, endoplasmic reticular"
5AOPtm,-0.4068382588002993,0,-2.0275172975667184,-4.8087877327137525,Heme synthesis
5HLTDL,-0.4688940622421461,0,7.182209236143343,2.5968611825637637,Tryptophan metabolism
5HOXINDACTO2OX,-0.5206304184429768,0,6.467495497841706,2.0388390057965764,Tryptophan metabolism
5HTRPVESSEC,-0.4049680933509892,0,1.0713617257545542,0.45374298064379476,"Transport, extracellular"
5MTHFt,-2.979536322335343,0,170.14714310472013,-84.6361039669387,"Transport, extracellular"
5MTHFt2,0.434702321078258,0,-872.0048268157959,-343.58507501197306,"Transport, extracellular"
A4GALTc,0.8500585341234272,0,1.2325112751252252,15.207387693713606,Sphingolipid metabolism
A4GALTg,0.686230074496297,0,0.7498284250135301,4.029650830748864,Sphingolipid metabolism
AATAi,-1.079032245023425,0,77.59760381596088,-2.949792074025561,Lysine metabolism
ABO1g,0.49175579686581916,1.2002245966322372e-9,0.08440617245465655,0.24774192459849412,Blood group synthesis
ABO6g,0.905373396467597,0,0.03940130464337072,0.7933730563190526,Blood group synthesis
