Reaction,fc,pval,subSystem
GLYSNAT5tc,1.3965766531736186,0,"Transport, extracellular"
ILEATB0tc,-0.8339260749054175,0,"Transport, extracellular"
ORNLEUrBATtc,-0.947119489733207,0,"Transport, extracellular"
3HCO3_NAt,1.363474970586759,0,"Transport, extracellular"
EX_dchac[e],-0.8468901790819108,0,Exchange/demand reaction
SPRMTDe,12.121717408916467,0,"Transport, extracellular"
34HPPte,-15.211532875130967,0,"Transport, extracellular"
AICARte,0.9454925668340943,0,"Transport, extracellular"
EX_34hpp[e],15.211532875130967,0,Exchange/demand reaction
EX_aicar[e],-0.9454925668340943,0,Exchange/demand reaction
LKYNRtr,-1.0268955873056222,0,"Transport, extracellular"
LKYNRtr2,10.27665562321668,0,"Transport, extracellular"
L2AADPtr,-1.5313548020645982,0,"Transport, extracellular"
EX_L2aadp[e],1.5313548020645982,0,Exchange/demand reaction
BETBGTtc,-9.204650626072016,0,"Transport, extracellular"
BUTSMCT1,-4.457728436196664,0,"Transport, extracellular"
PPASMCT1,1.2156745395629014,0,"Transport, extracellular"
PYRSMCT1,1.2645058979621828,0,"Transport, extracellular"
CHSTEROLt,0.8839411266077402,0,"Transport, extracellular"
L_LACt4r,-1.9213641887927442,0,"Transport, extracellular"
AND19ONEc,-0.8717794628122553,0,Steroid metabolism
LCAT21e,-0.8393925583683284,0,Cholesterol metabolism
LCAT25e,0.9442431315677579,0,Cholesterol metabolism
LCAT43e,0.8329655259096843,0,Cholesterol metabolism
LCAT46e,0.8587648922632621,0,Cholesterol metabolism
LCAT6e,0.8259919789026748,0,Cholesterol metabolism
PCHOLN261_HSPLA2,0.9671396829078499,0,Glycerophospholipid metabolism
PCHOLN281_HSPLA2,0.8769918928471818,0,Glycerophospholipid metabolism
AND19ONEt,-0.8717794628122553,0,"Transport, extracellular"
C04483t1,-0.8468901790819108,0,"Transport, extracellular"
EX_and19one[e],-0.8717794628122553,0,Exchange/demand reaction
EX_hxcoa[e],-2.0962135839265086,0,Exchange/demand reaction
EX_mev_R[e],-1.7778933193437925,0,Exchange/demand reaction
EX_pcholn261_hs[e],0.9207329351260223,0,Exchange/demand reaction
EX_pe161_hs[e],-2.219955695690864,0,Exchange/demand reaction
EX_pe226_hs[e],2.43563232154297,0,Exchange/demand reaction
EX_peole_hs[e],59.19243630090821,0,Exchange/demand reaction
EX_pepalm_hs[e],-1.0527031069660204,0,Exchange/demand reaction
EX_sebacid[e],38.323407716904015,0,Exchange/demand reaction
EX_xolest181_hs[e],0.9442431315677579,0,Exchange/demand reaction
HXCOAte,-2.0962135839265086,0,"Transport, extracellular"
MEV_Rt,-1.7778933193437925,0,"Transport, extracellular"
SEBACIDtd,38.3234077761848,0,"Transport, extracellular"
EX_alalysthr[e],-1.3455477421253832,0,Exchange/demand reaction
EX_argalaphe[e],3.4464153474078745,0,Exchange/demand reaction
EX_argalathr[e],-1.015598203770964,0,Exchange/demand reaction
EX_argargmet[e],-1.2663518457063951,0,Exchange/demand reaction
EX_argcysser[e],6.209727934969505,0,Exchange/demand reaction
EX_argglupro[e],-1.3411797221473742,0,Exchange/demand reaction
