Reaction,fc,pval,Truncating,WT,subSystem,rxnNames,geneRules,kegg,source
G14T21g,0.3485667887444521,0,0.4211722940746675,0.20344978262171765,Keratan sulfate synthesis,"Beta-N-Acetylglucosaminylglycopeptide Beta-1, 4-Galactosyltransferase, Golgi",8703.1 or 2683.1 or 8704.2 or 8704.1 or 9334.1,NA,"PMID:10747980,PMID:12512857,PMID:3094506,PMID:3144273,PMID:9405390,PMID:9435216"
G5SADrm,-0.6175332525871251,0,0.7683778926283121,3.2496335963487626,Arginine and proline metabolism,"L-Glutamate 5-Semialdehyde Dehydratase, Reversible, Mitochondrial",NA,NA,NA
G6PDH1rer,2.191276073032667,0,269.26458902576564,-100.51416890314445,Pentose phosphate pathway,"Glucose-6-Phosphate Dehydrogenase, Endoplasmic Reticulum",9563.1,NA,"PMID:10349511,PMID:12831846,PMID:2156506"
G6PPer,-0.6911366109144164,0,56.628765188217166,310.0625759634256,Glycolysis/gluconeogenesis,"Glucose-6-Phosphate Phosphatase, Edoplasmic Reticular",57818.1 or 2538.1 or 92579.1,NA,"PMID:10078553,PMID:11297555,PMID:12370122,PMID:12965222,PMID:13129915,PMID:15044018,PMID:8211187,PMID:8407995,PMID:9497333"
G6Pter,0.8906136869128141,0,-35.94799661944478,-621.3188150115967,"Transport, endoplasmic reticular",Glucose 6-Phosphate Endoplasmic Reticular Transport via Diffusion,2542.1,NA,"PMID:11032333,PMID:11140953,PMID:11879177,PMID:9428641"
GAL3ST11,0.3883689249036992,0,4.381803689857583,1.9303567327210427,Sphingolipid metabolism,Galactosylceramide Sulfotransferase,9514.1,NA,PMID:9030544
GALFUCGALACGLCGAL14ACGLCGALGLUSIDEte,-0.35825576760783445,0,-0.5867335194973339,-0.27721792983932725,"Transport, extracellular",Blood Group Intracellular Transport,NA,NA,NA
GALFUCGALACGLCGAL14ACGLCGALGLUSIDEtg,0.35825576760783445,0,0.5867335194973339,0.27721792983932725,"Transport, golgi apparatus",Blood Group Intracellular Transport,NA,NA,NA
GALGALGALTHCRMte,0.4468221805406992,0,2.070596456592577,0.7916716015578228,"Transport, extracellular",Transport of Gal-Gal-Gal-Gal-Gal-Glc-Cer,NA,NA,PMID:8206147
GALGALGALTHCRMtg,-0.44682218053839534,0,-2.0705964565806565,-0.7916716015578228,"Transport, golgi apparatus",Transport of Gal-Gal-Gal-Gal-Gal-Glc-Cer,NA,NA,PMID:8206147
GALGLUSIDEtg,1.7708193223217095,0,6.88932085074663,-24.76464040032923,"Transport, golgi apparatus",Transport of Galactosyl Glucosyl Ceramide,NA,NA,NA
GALGT3,0.7694354908928389,0,5.006476054966068,0.6523638188061617,Sphingolipid metabolism,"Beta-1, 4 N-Acetylgalactosaminyltransferase",2583.1,NA,PMID:1601877
GALNACT2g,0.459798810595816,0,1.4242321459150566,0.5270396808290098,Chondroitin synthesis,"Uridine Diphosphoacetylgalactosamine-Chondroitin Acetylgalactosaminyltransferase Ii, Golgi",(79586.1 and 22856.1) or 337876.1 or 55454.1 or 55790.1,NA,"PMID:11514575,PMID:11788602,PMID:12163485,PMID:12446672,PMID:12512856,PMID:12716890,PMID:12761225,PMID:12907687"
GALSIDEtg,0.3883689249036993,0,4.381803689857584,1.9303567327210427,"Transport, golgi apparatus",Galactocerebroside Intracellular Transport,NA,NA,NA
GAMt1r,0.44001095777287186,0,25.536682956519584,9.930662369817023,"Transport, extracellular",Glucosamine Transport (Uniport),6513.1 or 6517.1 or 6514.1,NA,"PMID:11882499,PMID:12135767,PMID:12750891,PMID:1701966,PMID:2182619,PMID:2656669,PMID:3103217,PMID:3399500,PMID:3839598,PMID:7926364,PMID:9770484"
GAO1g,0.7539067285291147,0,256.77642056981324,36.02868290926926,Sphingolipid metabolism,Ganglioside O-Acetylation,9197.1,NA,NA
GAO2,0.5847565679299759,0,8.315280598872455,2.178798765927344,Sphingolipid metabolism,Ganglioside O-Acetylation,9197.1,NA,NA
GASNASE2ly,0.48661190348477246,0,3.691343690249539,1.2747724582847848,N-glycan degradation,"Glycosylasparaginase, Lysosomal",175.1,NA,NA
GBA,0.375166203711005,0,311.2306171065569,141.41374874053002,Sphingolipid metabolism,Glucosylceramidase,2629.2 or 2629.3 or 2629.4 or 2629.5 or 2629.1,NA,PMID:15982918
GBGT1,0.45346225032159165,0,1.7482290403372869,0.6573773521926539,Sphingolipid metabolism,"Globoside Alpha-1, 3-N-Acetylgalactosaminyltransferase 1",26301.1,NA,PMID:10506200
GBSIDEtl,3.9783563295295252,0,5.755215681536135,-3.443120965696449,"Transport, lysosomal",Globoside Intracellular Transport,NA,NA,NA
GCC2cm,0.3535285548678115,0,527.042237840128,251.7255775039673,"Glycine, serine, alanine, and threonine metabolism","Glycine-Cleavage Complex (Lipoamide), Mitochondrial",275.1 and 1738.1 and 2731.1 and 2653.1,NA,PMID:15355973
GCHOLAt,-1.132913550470084,0,-1.4155132487218827,0.0882083999998984,"Transport, extracellular",Glycocholate Transport via Bicarbonate Antiport,6579.1 or 28234.1 or 10599.1,NA,"PMID:12507753,PMID:9007731,PMID:9334206"
GCHOLAt2,0.5183756243207662,0,20.82810054779296,6.606613516601024,"Transport, extracellular",Glycocholate Transport via Sodium Symport,6554.1 or 6555.1,NA,"PMID:12851823,PMID:7592981,PMID:8132774,PMID:9109432"
GCHOLAtx,-0.38053487468669683,0,14.001204701560514,31.202969446190608,"Transport, peroxisomal",Bile Acid Intracellular Transport,NA,NA,NA
GD1Cte,0.33056743996056176,0,5.294092582109782,2.663553792081818,"Transport, extracellular",Transport of Gd1C,NA,NA,NA
GGH_10FTHF5GLUe,-0.35252124262643253,0,151.1843359519005,315.809628653717,Folate metabolism,"Gamma-Glutamyl Hydrolase (10Fthf5Glu), Extracellular",8836.1,NA,"PMID:11375437,PMID:2867095,PMID:9614206"
GGH_10FTHF5GLUl,0.6882472151076084,0,14.3112946904853,2.6427326135942186,Folate metabolism,"Gamma-Glutamyl Hydrolase (10Fthf5Glu), Lysosomal",8836.1,NA,"PMID:11375437,PMID:2867095,PMID:9614206"
GGH_10FTHF6GLUe,-0.35252124262643253,0,151.1843359519005,315.809628653717,Folate metabolism,"Gamma-Glutamyl Hydrolase (10Fthf6Glu), Extracellular",8836.1,NA,"PMID:11375437,PMID:2867095,PMID:9614206"
GGH_10FTHF6GLUl,0.6882472151076084,0,14.3112946904853,2.6427326135942186,Folate metabolism,"Gamma-Glutamyl Hydrolase (10Fthf6Glu), Lysosomal",8836.1,NA,"PMID:11375437,PMID:2867095,PMID:9614206"
GGH_10FTHF7GLUe,-0.35252124262643253,0,151.1843359519005,315.809628653717,Folate metabolism,"Gamma-Glutamyl Hydrolase (10Fthf7Glu), Extracellular",8836.1,NA,"PMID:11375437,PMID:2867095,PMID:9614206"
GGH_10FTHF7GLUl,0.6882472151076084,0,14.3112946904853,2.6427326135942186,Folate metabolism,"Gamma-Glutamyl Hydrolase (10Fthf7Glu), Lysosomal",8836.1,NA,"PMID:11375437,PMID:2867095,PMID:9614206"
GGH_5DHFl,0.4634246397512479,0,6.098473245819419,2.2360498723044278,Folate metabolism,"Gamma-Glutamyl Hydrolase (5Dhf), Lysosomal",8836.1,NA,"PMID:11375437,PMID:2867095,PMID:9614206"
GGH_5THFl,0.652754461771595,0,7.102960480434098,1.4923398436326754,Folate metabolism,"Gamma-Glutamyl Hydrolase (5Thf), Lysosomal",8836.1,NA,"PMID:11375437,PMID:2867095,PMID:9614206"
GGH_6DHFl,0.4634246397512479,0,6.098473245819419,2.2360498723044278,Folate metabolism,"Gamma-Glutamyl Hydrolase (6Dhf), Lysosomal",8836.1,NA,"PMID:11375437,PMID:2867095,PMID:9614206"
GGH_6THFl,0.652754461771595,0,7.102960480434098,1.4923398436326754,Folate metabolism,"Gamma-Glutamyl Hydrolase (6Thf), Lysosomal",8836.1,NA,"PMID:11375437,PMID:2867095,PMID:9614206"
GGH_7DHFl,0.4634246397512479,0,6.098473245819419,2.2360498723044278,Folate metabolism,"Gamma-Glutamyl Hydrolase (7Dhf), Lysosomal",8836.1,NA,"PMID:11375437,PMID:2867095,PMID:9614206"
GGH_7THFl,0.652754461771595,0,7.102960480434098,1.4923398436326754,Folate metabolism,"Gamma-Glutamyl Hydrolase (7Thf), Lysosomal",8836.1,NA,"PMID:11375437,PMID:2867095,PMID:9614206"
GGNG,0.8213096157797908,0,5.849621838226803,0.573911851537742,Starch and sucrose metabolism,Glycogenin Self-Glucosylation,(8908.1 and 2998.1) or (2998.1 and 2992.1) or (2997.1 and 2992.1) or (8908.1 and 2997.1),NA,"PMID:15238248,PMID:8602861,PMID:9857012"
GGT_L,0.4917540092492774,0,0.6386069553639596,0.21757570129983905,N-glycan synthesis,Geranylgeranyltransferase (Liver),NA,NA,NA
GGT5r,0.9175060890337194,0,95.08136770105902,4.09053923037916,Eicosanoid metabolism,Gamma-Glutamyltransferase 5,2687.1,NA,"PMID:18357468,PMID:18357469,PMID:6120203"
GGT6,-1,0,NA,133.8120469276726,Eicosanoid metabolism,Gamma-Glutamyltransferase,NA,NA,PMID:12729612
GLACO,0.75873602320486,0,37.190471045789494,5.101800853001875,Vitamin C metabolism,D-Glucuronolactone:NAD+ Oxidoreductase,223.1 or 220.1 or 224.1 or 8854.2 or 218.1 or 8854.1 or 216.1 or 221.1 or 8854.3 or 222.1,NA,PMID:3779687
GLACter,-0.75873602320486,0,-37.190471045789494,-5.101800853001875,"Transport, endoplasmic reticular","D-Glucurono-6, 3-Lactone Transport, Endoplasmic Reticulum",NA,NA,PMID:3779687
GLBRAN,0.8213096157797908,0,5.849621838226803,0.573911851537742,Starch and sucrose metabolism,"1, 4-Alpha-Glucan Branching Enzyme (Glygn1 -> Glygn2)",2632.1,NA,PMID:8463281
GLCAASE1ly,0.3470063979177583,0,0.15051904106039493,0.0729677089551531,Heparan sulfate degradation,"Beta-Glucuronidase, Lysosomal",2990.1,NA,"PMID:3468507,PMID:3924735,PMID:3987656"
GLCAASE6ly,-0.3664119756810076,0,3.5687418932516506,7.696439127451787,Chondroitin sulfate degradation,"Beta-Glucuronidase, Lysosomal",2990.1,NA,"PMID:3468507,PMID:3924735,PMID:3987656"
GLCAASE7ly,0.8700972872708984,0,12.422012399122027,0.8628712095269373,Chondroitin sulfate degradation,"Beta-Glucuronidase, Lysosomal",2990.1,NA,"PMID:3468507,PMID:3924735,PMID:3987656"
GLCAASE8ly,0.49281544366171987,0,2.81264373108164,0.9555966673195445,Hyaluronan metabolism,"Beta-Glucuronidase, Lysosomal",2990.1 or 8372.1,NA,"PMID:3468507,PMID:3924735,PMID:3987656"
GLCAASE9ly,0.49281544366171987,0,2.81264373108164,0.9555966673195445,Hyaluronan metabolism,"Beta-Glucuronidase, Lysosomal",2990.1,NA,"PMID:3468507,PMID:3924735,PMID:3987656"
GLCAE1g,0.5387773546815865,0,0.710114097350965,0.2128447637090956,Chondroitin synthesis,Chondroitin-Glucuronate 5-Epimerase,NA,NA,PMID:12512856
GLCAE2g,0.3470063979177587,0,0.15051904106039493,0.07296770895515302,Chondroitin synthesis,Heparosan-N-Sulfate-Glucuronate 5-Epimerase,26035.1,NA,"PMID:11274177,PMID:11279150,PMID:12512855,PMID:14718527"
GLCAT2g,0.459798810595816,0,1.4242321459150566,0.5270396808290098,Chondroitin synthesis,"Chondroitin Glucuronyltransferase Ii, Golgi Apparatus",54480.1 or (79586.1 and 22856.1) or 337876.1,NA,"PMID:11514575,PMID:12145278,PMID:12512856,PMID:12716890,PMID:12761225,PMID:12907687"
GLCAT6g,0.3470063979177587,0,0.15051904106039493,0.07296770895515302,Chondroitin synthesis,Heparan Glucuronyltransferase Ii,(2131.1 and 2132.1) or (2131.1 and 2132.2),NA,"PMID:10639137,PMID:10679296,PMID:7550340,PMID:8782816,PMID:9620772,PMID:9756849"
GLCAT7g,0.3470063979177587,0,0.15051904106039493,0.07296770895515302,Chondroitin synthesis,Heparan Glucuronyltransferase Ii,(2131.1 and 2132.1) or (2131.1 and 2132.2),NA,"PMID:10639137,PMID:10679296,PMID:7550340,PMID:8782816,PMID:9620772,PMID:9756849"
GLCAT8g,0.3470063979177587,0,0.15051904106039493,0.07296770895515302,Chondroitin synthesis,Heparan Glucuronyltransferase Ii,(2131.1 and 2132.1) or (2131.1 and 2132.2),NA,"PMID:10639137,PMID:10679296,PMID:7550340,PMID:8782816,PMID:9620772,PMID:9756849"
GLCAT9g,0.3470063979177587,0,0.15051904106039493,0.07296770895515302,Chondroitin synthesis,Heparan Glucuronyltransferase Ii,(2131.1 and 2132.1) or (2131.1 and 2132.2),NA,"PMID:10639137,PMID:10679296,PMID:7550340,PMID:8782816,PMID:9620772,PMID:9756849"
GLCMter,1,0,49.20920144816339,NA,"Transport, extracellular",Glucose Transport via Membrane Vesicle,NA,NA,PMID:11882499
GLCNACASE1ly,0.3470063979177583,0,0.15051904106039493,0.0729677089551531,Heparan sulfate degradation,"Alpha-N-Acetylglucosaminidase, Lysosomal",4669.1,NA,"PMID:1783617,PMID:8776591,PMID:8993162"
GLCNACASE2ly,0.3470063979177583,0,0.15051904106039493,0.0729677089551531,Heparan sulfate degradation,"Alpha-N-Acetylglucosaminidase, Lysosomal",4669.1,NA,"PMID:1783617,PMID:8776591,PMID:8993162"
GLCNACASE3ly,0.3470063979177583,0,0.15051904106039493,0.0729677089551531,Heparan sulfate degradation,"Alpha-N-Acetylglucosaminidase, Lysosomal",4669.1,NA,"PMID:1783617,PMID:8776591,PMID:8993162"
GLCNACASE4ly,0.3470063979177587,0,0.15051904106039493,0.07296770895515302,Heparan sulfate degradation,"Alpha-N-Acetylglucosaminidase, Lysosomal",4669.1,NA,"PMID:1783617,PMID:8776591,PMID:8993162"
GLCNACASE5ly,0.3470063979177587,0,0.15051904106039493,0.07296770895515302,Heparan sulfate degradation,"Alpha-N-Acetylglucosaminidase, Lysosomal",4669.1,NA,"PMID:1783617,PMID:8776591,PMID:8993162"
GLCNACDASg,0.3470063979177587,0,0.15051904106039493,0.07296770895515302,Chondroitin synthesis,GlcNac N-Deacetylase / N-Sulfotransferase,64579.1 or 3340.1 or 9348.1 or 8509.1,NA,"PMID:11087757,PMID:12634318,PMID:7601448,PMID:9230113,PMID:9601056,PMID:9915799"
GLCNACT1g,0.3470063979177587,0,0.15051904106039493,0.07296770895515302,Chondroitin synthesis,"Alpha-N-Acetylglucosaminyltransferase I, Golgi Apparatus",2137.1 or 2135.1,NA,"PMID:10318803,PMID:11390981,PMID:12512855,PMID:9450183,PMID:9473480,PMID:9479495"
GLCNACT2g,0.3470063979177587,0,0.15051904106039493,0.07296770895515302,Chondroitin synthesis,Alpha-N-Acetylglucosaminyltransferase Ii,(2131.1 and 2132.2) or 2137.1 or (2131.1 and 2132.1) or 2134.1,NA,"PMID:10639137,PMID:10679296,PMID:11390981,PMID:12512855,PMID:7550340,PMID:8782816,PMID:9037597,PMID:9473480,PMID:9479495,PMID:9620772,PMID:9756849"
GLCNACT3g,0.3470063979177587,0,0.15051904106039493,0.07296770895515302,Chondroitin synthesis,Alpha-N-Acetylglucosaminyltransferase Ii,(2131.1 and 2132.2) or 2137.1 or (2131.1 and 2132.1) or 2134.1,NA,"PMID:10639137,PMID:10679296,PMID:11390981,PMID:12512855,PMID:7550340,PMID:8782816,PMID:9037597,PMID:9473480,PMID:9479495,PMID:9620772,PMID:9756849"
GLCNACT4g,0.3470063979177587,0,0.15051904106039493,0.07296770895515302,Chondroitin synthesis,Alpha-N-Acetylglucosaminyltransferase Ii,(2131.1 and 2132.2) or 2137.1 or (2131.1 and 2132.1) or 2134.1,NA,"PMID:10639137,PMID:10679296,PMID:11390981,PMID:12512855,PMID:7550340,PMID:8782816,PMID:9037597,PMID:9473480,PMID:9479495,PMID:9620772,PMID:9756849"
GLCNACT5g,0.3470063979177587,0,0.15051904106039493,0.07296770895515302,Chondroitin synthesis,Alpha-N-Acetylglucosaminyltransferase Ii,(2131.1 and 2132.2) or 2137.1 or (2131.1 and 2132.1) or 2134.1,NA,"PMID:10639137,PMID:10679296,PMID:11390981,PMID:12512855,PMID:7550340,PMID:8782816,PMID:9037597,PMID:9473480,PMID:9479495,PMID:9620772,PMID:9756849"
GLCt2_2,-0.3531920543582814,0,-498.0430077536106,-238.05798567085267,"Transport, extracellular",Transport of D-Glucose  via Proton Symport,6523.1,NA,"PMID:11024018,PMID:11034615,PMID:12748858,PMID:2490366,PMID:8063771"
GLCtg,0.4482044116979788,0,4.42340810541936,1.6854092268425114,"Transport, golgi apparatus","Glucose Transport, Golgi Apparatus",6513.1,NA,PMID:15384581
