GeneID	GES_W1	GES1_ARID1A_KO	GES1_WT_Volasertib	GES1_ARID1A_KO_Volasertib	OVCAR3_WT	OVCAR3_ARID1A_KO
83858	21.82	50.47	19.29	45.925	15.344999999999999	31.265
55210	71.495	110.32	70.35	97.505	53.33	84.66499999999999
339453	1.4095	3.1935000000000002	1.33995	3.5854999999999997	2.2895000000000003	5.489
29101.1	119.05	240.8	116.2	231.1	130.35	214.95
643988	7.3535	11.095	7.157	9.7085	18.735	22.869999999999997
105378586	5.7165	6.5385	3.4290000000000003	5.0205	10.665	10.42
142678.1	13.879999999999999	15.67	12.965	15.765	16.32	20.735
8510	3.0375	4.5605	2.7670000000000003	3.9055	3.409	4.656499999999999
984.1	52.705	66.015	49.195	63.485	41.165000000000006	48.9
728661	18.11	22.34	18.18	23.58	33.4	38.505
8511	2.2685	2.6465	1.5514999999999999	3.0404999999999998	2.5279999999999996	3.9695
728642.1	40.695	51.26	38.955	51.425	32.24	41.235
9906	5.4185	6.4455	4.970000000000001	7.1370000000000005	9.955	10.855
112268218	6.404	9.593499999999999	6.337999999999999	9.1125	8.643	13.45
65220.1	31.275	50.825	31.784999999999997	48.135000000000005	37.215	58.08
2782	267.1	382.65	278.6	379.95	272.75	396.4
105378949	2.7995	3	2.887	3.0265000000000004	2.7015000000000002	3.2465
163688	0.4075	0.6954	0.42185000000000006	0.60045	0.39960000000000007	2.4795
339456	4.753	11.344999999999999	5.1865000000000006	9.6965	5.873	15.15
85452	0.17559999999999998	0.188285	0.130695	0.121415	0.06554	0.93945
107984872	0.10139000000000001	0.09966	0.083695	0.080185	0.03992	0.12017
105378589	0.01173	0	0.026775	0.03549	0	0
2563	0.1764	0.13045	0.2409	0.120295	0.099555	0.273225
105378590	0	0	0.02857	0.02514	0	0
105378591	0.1031	0.31045	0	0	0.32289999999999996	0.20735
5590.1	11.085	11.23	10.754999999999999	10.725	13.21	13.19
100506504	3.6420000000000003	4.2780000000000005	2.9059999999999997	4.043	5.4830000000000005	6.1005
199990	14.425	15.285	14.135	13.585	12.379999999999999	16.515
112268219	7.3835	6.852	6.5995	5.596	6.5555	9.02
105378593	0.38580000000000003	0.59545	0.16555	0.43674999999999997	0.7254999999999999	1.0893
6497	18.465	21.075000000000003	19	19.795	20.955	30.65
79906	4.339499999999999	5.726	4.5915	5.758	5.1385	8.093
100129534	3.653	5.2435	3.515	4.6915	6.9875	11.809999999999999
11079	68.48	105.55	67.755	106.35	73.93	102.88
5192	23.86	31.985	23.064999999999998	30	32.405	41.8
9651.1	0.3795	0.5344	0.45489999999999997	0.50275	0.42500000000000004	1.2374999999999998
55229.1	12.555	17.115000000000002	12.350000000000001	15.295000000000002	11.395	17.725
388585	0.032545	0.03253	0	0.0331	0.05835	0.2945
115110	0.07406	0.12072	0.03912	0.10974	0.053875	0.5718
8764	0.24825	0.9954	0.11377999999999999	0.88515	0.20645000000000002	4.848
100996583	0	0.0802	0.09105	0.4027	0.1067	0.32155
127281	39.84	29.450000000000003	39.96	24.04	30.424999999999997	30.355
79258	4.929	3.5614999999999997	5.195	3.2835	3.753	4.8004999999999995
105378597	0.05555	0	0.06055	0	0.27245	0
100287898	0.08801500000000001	0.04717	0.033084999999999996	0.0477	0.3749	0.47614999999999996
105378603	0	0	0	0	0	0
105378602	0	0	0	0	0	0
105378601	0	0	0	0	0	0
112268220	0	0	0	0	0	0
107985732	0	0	0	0	0	0
105378600	0	0	0	0	0	0
105378598	0	0	0	0.011925	0	0
107984904	0	0	0	0	0	0
105378599	0	0	0	0	0	0
140625	0	0	0	0	0	0.3117
440556	0.02894	0	0	0.01472	0	0.04365
63976	0.072255	0.025675	0.074645	0.01937	0.018585	0.541085
100422968	0	0	0	0	0	0.918
105378606	0	0	0	0	0	0
107984909	0	0	0	0.02303	0	0
105378605	0	0	0	0	0	0.01701
105378604	0.4763	0.157	0.37755	0.21284999999999998	0.042385	0.10821
27237	6.7895	6.2585	5.1015	5.742	8.4055	11.34
1953	41.515	32.635000000000005	36.7	30.52	93.765	96.16
105378608	0.45804999999999996	0.481	0.269185	0.28045	0.98865	1.4700000000000002
693135	0.58	0	0	0	0	0.583
105378607	0.17145	0.1697	0.0541	0.0565	0	0.05705
127262	18.84	36.120000000000005	20.525	36.275	15.855	33.83
49856	23.244999999999997	42.735	22.674999999999997	47.510000000000005	28.58	50.155
7161	7.887499999999999	26.759999999999998	7.396	24.34	15.95	35.995000000000005
105378610	0	0.051595	0	0.02585	0.023075	0.025875
105378609	0	0	0	0	0	0.07895
57212	19.060000000000002	21.155	18.25	19.775	24.009999999999998	28.145
148870	0.07935	0.25805	0.14475	0.21489999999999998	0.4605	1.48065
388588	4.6	8.3875	5.204	10.3275	6.9945	11.2715
57470	27.915	41.010000000000005	29.174999999999997	40.965	23.744999999999997	37.82
9731	9.438500000000001	15.135000000000002	9.936499999999999	16.45	12.68	20.759999999999998
1677	2.2824999999999998	2.0255	2.0065	2.0335	2.0125	2.7925
107984910	0.25105	0.46775	0.16948999999999997	0.32175	0.27949999999999997	0.14855000000000002
339448	11.97	22.11	12.59	22.425	14.36	22.025
100133612	0.41165	0.4286	0.2177	0.6057	0.61225	0.49
728716	0	0	0	0	0	0
105376672	0	0	0	0	0	0
105376673	0	0	0.02098	0	0	0
284661	0	0	0	0	0	0
105376674	0	0	0	0	0	0
105376679	0	0	0	0	0	0
107985376	0	0	0	0	0	0
55966	0	0	0	0	0.007645	0.154322
105376680	0	0	0	0	0.02537	0
102724429	0	0	0	0	0	0
105376681	0	0	0	0	0	0
105376682	0	0	0	0	0	0
107984911	0	0	0	0	0	0.01885
105376686	0	0	0	0	0	0
100616421	0.8335	0.8	0	1.598	0.7135	0
261734	6.402	8.7315	6.6175	8.711	6.691	10.98
8514	5.1665	9.6775	4.8165	9.9505	8.249500000000001	14.18
26038	0.81735	0.14165	0.8705	0.148195	0.31995	0.483405
105376687	0	0	0	0	0	0.1739
6146	468.25	687.3	480.4	709.2	518.25	658.7
107985733	17.52	21.145	12.0015	20.115000000000002	12.735	24.085
102724450	5.402	5.167	5.4455	6.725	4.480499999999999	5.2125
388591	16.21	19.18	14.39	17.23	13.445	20.810000000000002
23463.1	54.290000000000006	58.765	56.185	57.125	74.13499999999999	76.655
148645	0.8672500000000001	0.6789	0.65025	0.755	0.36445	0.47855000000000003
390992	0.0822	0	0	0	0	0.47315
387509	8.231	5.043	7.447	4.3215	14.7	9.037500000000001
11332.1	69.86	140.9	77.09	132.2	50.769999999999996	94.34
54626	0.35714999999999997	0.209125	0.245	0.13225	0.23670000000000002	0.26439999999999997
83715	0.16870000000000002	0.22935	0.13875	0.19940000000000002	0.20900000000000002	0.42285
100422975	0	0	0	0	0	0
8718	5.990500000000001	3.9595000000000002	5.2945	4.1705	7.939500000000001	8.622
57449	6.586	3.8914999999999997	6.682	4.253	7.132	7.016
79707.1	9.845	18.67	9.6235	18.485	8.094	14
80835	0.026165	0.03931	0.042455	0.039760000000000004	0.16665000000000002	0.30278
107984912	0	0	0	0	0.167	0.3766
3104	10.365	13.69	9.8035	13.325	12.935	18.315
9903	13.99	39.400000000000006	14.105	38.370000000000005	15.455	30.93
107984913	0.46685	0.6234999999999999	0.17320000000000002	0.8283	1.099	1.1695
