Reaction,fc,pval,Clus,Disp,subSystem,rxnNames,geneRules,kegg,source
UCHOLt,1.0035601302265578,0,-39.41173141844636,0.07003078878792003,"Transport, extracellular",Ursocholic acid transport via bicarbonate countertransport,(28234.1) or (10599.1) or (123264.1) or (200931.1),NA,"PMID:25210150, PMID:26579438"
UCHOLt2,-0.9266366400991682,0,49.964037382980436,1.9025536940050791,"Transport, extracellular",Ursocholic acid transport via sodium cotransport,(6554.1) or (6555.1),NA,"PMID:25210150, PMID:26579438"
UDCASULT,0.401452851083827,0,2.568149519539759,6.013127742210026,Bile acid synthesis,Ursodeoxycholic acid sulfotransferase,-6822.1,NA,"PMID:16949895, PMID:19131563, PMID:25210150"
UDCHOLt,1,0,-269.0817735959232,0,"Transport, extracellular",Ursodeoxycholic acid transport via bicarbonate countertransport,(28234.1) or (10599.1) or (123264.1) or (200931.1),NA,"PMID:25210150, PMID:26579438"
UDCHOLt2,-0.9452320251141763,0,55.653182319562326,1.5669144103336767,"Transport, extracellular",Ursodeoxycholic acid transport via sodium cotransport,(6554.1) or (6555.1),NA,"PMID:25210150, PMID:26579438"
2HATVLACthc,-1,0,5.8168994547397075,NA,Drug metabolism,uptake of 2-hydroxy-atorvastatin-lactone into hepatocytes,(10599.1 or 11309.1),NA,"Russel, F. G. M. (2010). Transporters: Importance in Drug Absorption, Distribution, ; Removal, Enzyme- ; Transporter-Based Drug-Drug Interactions. K. S. Pang, A. D. Rodrigues ; R. M. Peter, Springer New York: 27-49, PMID: 21942630."
35DHPVStep,-1,0,2.0438038414638933,NA,Drug metabolism,3-alpha-5-beta-dihydroxy pravastatin exit into portal blood,NA,NA,PMID: 11192473
3HPVSTETCOAhcm,-0.5131304630034146,0,60.16823321396504,19.35991678380454,Drug metabolism,"beta oxidation of 3-S-hydroxy-pravastatin-CoA to tatranor-CoA derivative in hepatocytes, mitochondria",(37.1 or 3030.1 or 3032.1),NA,PMID: 1680649
3HPVSTETCOAhcx,-0.4763098388325295,0,7.237753621122427,2.5674423218187457,Drug metabolism,"beta oxidation of 3-S-hydroxy-pravastatin-CoA to tetranor-CoA in hepatocytes, peroxisomes",(51.1 or 1962.1 or 3295.1 or 30.1),NA,PMID: 1680649
3HPVSTETteb,-0.3720791669321266,0,3.2137778455449517,1.4707592030434835,Drug metabolism,efflux of 3-S-hydroxy-pravastatin-tetranor into bile,(1244.1 or 9429.1 or 8647.1),NA,"PMID: 16714062, PMID: 17177112"
3HPVSTETtev,-0.51667128753415,0,64.19220899890996,20.456599911128272,Drug metabolism,exit of 3-S-hydroxy-pravastatin-tetranor into hepatic vein,NA,NA,"PMID: 1680649, PMID: 11192473, PMID: 9804052, PMID: 16714062, PMID: 18563955"
3HPVSthc,-1,0,68.8445105273407,NA,Drug metabolism,uptake of 3-hydroxy pravastatin by hepatocytes,(10599.1 or 11309.1),NA,PMID: 17177112
