Reaction,fc,pval,Clus,Disp,subSystem,rxnNames,geneRules,kegg,source
HMR_6647,0.46150283562326555,0,4.5780747014345895,12.425077791423304,Vitamin A metabolism,Retinal:NAD+ Oxidoreductase,8854.1 or 216.1,R02123,NA
HMR_6728,0.06783965681099698,0,2.0400908538885134,2.3370334655374387,Phenylalanine metabolism,"L-Tyrosine, Tetrahydrobiopterin:Oxygen Oxidoreductase (3-Hydroxylating)",7054.1,R01815,NA
HMR_6729,0.06656621536088542,0,9.84682972113091,11.251248971055926,Phenylalanine metabolism,L-Tyrosine:Oxygen Oxidoreductase,7299.1,R00731,NA
HMR_6747,-0.27458139548240823,0,6.398495364991717,3.6416564647311565,Phenylalanine metabolism,L-Metanephrine:Oxygen Oxidoreductase (Deaminating) (Flavin-Containing),4129.1 or 4128.1,R04894,NA
HMR_6755,-0.2193304393539606,0,129.31129236100315,82.79083875534349,Phenylalanine metabolism,Catechol O-Methyltransferase,1312.1 or 220074.1,R04887,NA
HMR_6770,0.07346520221569652,0,7.520906752601003,8.713576335538475,Phenylalanine metabolism,L-Tyrosine:Oxygen Oxidoreductase (Deaminating),259307.1,R00729,PMID:15865;PMID:3207426;PMID:4396841;PMID:7719646;PMID:7999802
HMR_6790,-0.06456642256119594,0,5.781905545043945,5.080555307579041,Phenylalanine metabolism,Aldehyde Dehydrogenase [NAD (P)+],221.1 or 218.1 or 222.1 or 220.1,NA,NA
HMR_6826,1.8523918195058422,0,-4.21711107419795,1.2602164110176746,Phenylalanine metabolism,Thyroxine 5'-Deiodinase,1735.1 or 1734.1 or 1733.1,NA,NA
HMR_6834,-1.852391819504124,0,4.217111074203911,-1.2602164110176746,Phenylalanine metabolism,Thyroxine 5'-Deiodinase,1734.1 or 1733.1,NA,NA
HMR_6838,-0.6206388570987084,0,4.298688995145579,1.0062424228770093,Phenylalanine metabolism,HMR_6838,27284.1 or 6819.1 or 6818.1,NA,PMID:10199779;PMID:9463486;PMID:8767510;PMID:11397879;PMID:12039030
HMR_6839,-0.2127849628424708,0,3.491710732169994,2.266458834817841,Phenylalanine metabolism,Steryl-Sulfatase,412.1,NA,PMID:3988241;PMID:8767510;PMID:2765556;PMID:7263841;PMID:11861502
HMR_6844,-0.24355874505118466,0,1.2391519549312444,0.75376065955122,Phenylalanine metabolism,HMR_6844,27284.1 or 6819.1 or 6818.1,NA,PMID:10199779;PMID:9463486;PMID:8767510;PMID:11397879;PMID:12039030
