Reaction,fc,pval,MCF10A_KO,MCF10A_P,rxnNames,subSystem,geneRules,kegg,source
NACHEX27ly,-0.7771048600274286,0,3.41110053937846,27.196121671013533,"Beta-N-Acetylhexosaminidase, Lysosomal",Hyaluronan metabolism,(3073.1 and 3074.1) or 3073.1 or 3074.1,NA,"PMID:10336991,PMID:11707436,PMID:12562784"
NACHEX2ly,-0.901328512244318,0,0.7173939670308406,13.823665124064684,"Beta-N-Acetylhexosaminidase, Lysosomal",Chondroitin sulfate degradation,(3073.1 and 3074.1) or 3073.1 or 3074.1,NA,"PMID:10336991,PMID:11707436,PMID:12706724,PMID:8993162"
NACHEX3ly,-1,0,NA,4.659723106015147,"Beta-N-Acetylhexosaminidase, Lysosomal",Chondroitin sulfate degradation,3073.1 or (3073.1 and 3074.1),NA,"PMID:10336991,PMID:11707436,PMID:12706724,PMID:8993162"
NACHEX4ly,-1,0,NA,3.069698995700599,"Beta-N-Acetylhexosaminidase, Lysosomal",Chondroitin sulfate degradation,3073.1 or (3073.1 and 3074.1),NA,"PMID:10336991,PMID:11707436,PMID:12706724,PMID:8993162"
NACHEX5ly,-1,0,NA,3.0592829722330164,"Beta-N-Acetylhexosaminidase, Lysosomal",Chondroitin sulfate degradation,3073.1 or (3073.1 and 3074.1),NA,"PMID:10336991,PMID:11707436,PMID:12706724,PMID:8993162"
NACHEX6ly,-1,0,NA,5.921515063949488,"Beta-N-Acetylhexosaminidase, Lysosomal",Chondroitin sulfate degradation,(3073.1 and 3074.1) or 3073.1 or 3074.1,NA,"PMID:10336991,PMID:11707436,PMID:12706724,PMID:8993162"
NACHEX7ly,-1,0,NA,5.8538915887368494,"Beta-N-Acetylhexosaminidase, Lysosomal",Chondroitin sulfate degradation,(3073.1 and 3074.1) or 3073.1 or 3074.1,NA,"PMID:10336991,PMID:11707436,PMID:12706724,PMID:8993162"
NACHEX8ly,-1,0,NA,0.05287914432686263,"Beta-N-Acetylhexosaminidase, Lysosomal",Chondroitin sulfate degradation,(3073.1 and 3074.1) or 3073.1 or 3074.1,NA,"PMID:10336991,PMID:11707436,PMID:12706724,PMID:8993162"
NACHEX9ly,-1,0,NA,0.039845213275376046,"Beta-N-Acetylhexosaminidase, Lysosomal",Chondroitin sulfate degradation,(3073.1 and 3074.1) or 3073.1 or 3074.1,NA,"PMID:10336991,PMID:11707436,PMID:12706724,PMID:8993162"
NACHEXA10ly,-1,0,NA,0.7859152443503911,"Beta-N-Acetylhexosaminidase A, Lysosomal",Keratan sulfate degradation,3073.1 or (3073.1 and 3074.1),NA,"PMID:10336991,PMID:11707436,PMID:12706724,PMID:8993162"
NACHEXA11ly,-1,0,NA,0.7705919721876824,"Beta-N-Acetylhexosaminidase A, Lysosomal",Keratan sulfate degradation,3073.1 or (3073.1 and 3074.1),NA,"PMID:10336991,PMID:11707436,PMID:12706724,PMID:8993162"
NACHEXA12ly,-1,0,NA,0.7263179138338776,"Beta-N-Acetylhexosaminidase A, Lysosomal",Keratan sulfate degradation,3073.1 or (3073.1 and 3074.1),NA,"PMID:10336991,PMID:11707436,PMID:12706724,PMID:8993162"
NACHEXA13ly,-1,0,NA,1.1990422595157828,"Beta-N-Acetylhexosaminidase A, Lysosomal",Keratan sulfate degradation,3073.1 or (3073.1 and 3074.1),NA,"PMID:10336991,PMID:11707436,PMID:12706724,PMID:8993162"
NACHEXA14ly,-1,0,NA,1.2734109225254893,"Beta-N-Acetylhexosaminidase A, Lysosomal",Keratan sulfate degradation,3073.1 or (3073.1 and 3074.1),NA,"PMID:10336991,PMID:11707436,PMID:12706724,PMID:8993162"
NACHEXA15ly,-1,0,NA,1.2589968896062085,"Beta-N-Acetylhexosaminidase A, Lysosomal",Keratan sulfate degradation,3073.1 or (3073.1 and 3074.1),NA,"PMID:10336991,PMID:11707436,PMID:12706724,PMID:8993162"
NACHEXA16ly,-1,0,NA,1.3109683631906142,"Beta-N-Acetylhexosaminidase A, Lysosomal",Keratan sulfate degradation,3073.1 or (3073.1 and 3074.1),NA,"PMID:10336991,PMID:11707436,PMID:12706724,PMID:8993162"
NACHEXA17ly,-1,0,NA,1.3317897880273435,"Beta-N-Acetylhexosaminidase A, Lysosomal",Keratan sulfate degradation,3073.1 or (3073.1 and 3074.1),NA,"PMID:10336991,PMID:11707436,PMID:12706724,PMID:8993162"
NACHEXA18ly,-1,0,NA,1.1699514760020981,"Beta-N-Acetylhexosaminidase A, Lysosomal",Keratan sulfate degradation,3073.1 or (3073.1 and 3074.1),NA,"PMID:10336991,PMID:11707436,PMID:12706724,PMID:8993162"
NACHEXA19ly,-1,0,NA,1.1946216691335314,"Beta-N-Acetylhexosaminidase A, Lysosomal",Keratan sulfate degradation,3073.1 or (3073.1 and 3074.1),NA,"PMID:10336991,PMID:11707436,PMID:12706724,PMID:8993162"
NACHEXA1ly,-0.8263424926900951,0,0.5915122102879858,6.220887892085795,"Beta-N-Acetylhexosaminidase A, Lysosomal",Chondroitin sulfate degradation,3073.1 or (3073.1 and 3074.1),NA,"PMID:10336991,PMID:11707436,PMID:12706724,PMID:8993162"
NACHEXA20ly,-1,0,NA,0.2620386134024193,"Beta-N-Acetylhexosaminidase A, Lysosomal",Keratan sulfate degradation,3073.1 or (3073.1 and 3074.1),NA,"PMID:10336991,PMID:11707436,PMID:12706724,PMID:8993162"
