Reaction,fc,pval,Ges1_A_D,Ges1_P_D,rxnNames,subSystem,geneRules,kegg,source
r0782,-1,0,NA,0.9814505878381268,"GDP-L-Fucose:NADP+ 4-Oxidoreductase (3, 5-Epimerizing)",Aminosugar metabolism,7264.1,NA,"PMID:10410995,PMID:2428310,PMID:9603974"
r0783,-0.8971077948465039,0,10.115173618888855,186.50173441216947,Lanosterol D24-Reductase,Cholesterol metabolism,1718.1,NA,PMID:7946524
r0784,1,0,NA,-303.7700578508571,Xylitol:NAD Oxidoreductase Pentose And Glucuronate Interconversions,Pentose phosphate pathway,NA,NA,PMID:13373783
r0788,-0.9777435349310731,0,-283.0921967688039,-3.185767758755572,S-Adenosyl-L-Methionine:Methylethanolamine Phosphate N-Methyltransferase,Sphingolipid metabolism,NA,NA,PMID:2403362
r0789,-0.9777435349310731,0,-283.0921967688039,-3.185767758755572,S-Adenosyl-L-Methionine:Phosphodimethylethanolamine N-Methyltransferase,Sphingolipid metabolism,NA,NA,PMID:2403362
r0791,1.3661708608322036,0,8.808983111680671,-56.92304162338376,Trans-Hex-2-Enoyl Coenzyme A Reductase,Fatty acid oxidation,55825.1 or 51102.1,NA,PMID:12654921
r0797,1,0,NA,-184.75704282004833,Glycine N-Choloyltransferase,Bile acid synthesis,570.1,NA,"PMID:12810727,PMID:6884990"
r0819,1.3298686016114403,0,18.913632597399502,-133.5873693823166,Mitochondrial Carrier (Mc) Tcdb:2.A.29.2.2,"Transport, mitochondrial",1468.1,NA,"PMID:10585886,PMID:14598172,PMID:17173541,PMID:18406340,PMID:4424886,PMID:4441366,PMID:5099217,PMID:8329439"
r0821,-11.429020039908401,0,-40.602967020802204,34.069392066311835,Mitochondrial Carrier (Mc) Tcdb:2.A.29.2.2,"Transport, mitochondrial",1468.1,NA,"PMID:10585886,PMID:14598172,PMID:17173541,PMID:18406340,PMID:4424886,PMID:4441366,PMID:5099217,PMID:8329439"
r0822,-1.1324992843333772,0,-3.559963272375986,57.29554818948209,Mitochondrial Carrier (Mc) Tcdb:2.A.29.2.2,"Transport, mitochondrial",1468.1,NA,"PMID:10585886,PMID:14598172,PMID:17173541,PMID:18406340,PMID:4424886,PMID:4441366,PMID:5099217,PMID:8329439"
r0826,1,0,2.459663586819239,NA,Transport Reaction,"Transport, endoplasmic reticular",NA,NA,"PMID:10785372,PMID:1313850,PMID:1992775,PMID:3085711,PMID:7822436,PMID:8240303"
r0829,-1.696174781766355,0,-3.2880691473543644,12.734171572988853,Mitochondrial Carrier (Mc) Tcdb:2.A.29.2.2,"Transport, mitochondrial",1468.1,NA,"PMID:10585886,PMID:14598172,PMID:4424886,PMID:4441366,PMID:5099217,PMID:8329439"
r0830,-0.9260847835991844,0,0.5271102926790714,13.735454801380634,Mitochondrial Carrier (Mc) Tcdb:2.A.29.2.2,"Transport, mitochondrial",1468.1,NA,"PMID:10585886,PMID:14598172,PMID:4424886,PMID:4441366,PMID:5099217,PMID:8329439"
r0834,0.965011426988854,0,-4.508289124452241,-253.19236777379214,Mitochondrial Carrier (Mc) Tcdb:2.A.29.2.2,"Transport, mitochondrial",1468.1,NA,"PMID:10585886,PMID:14598172,PMID:4424886,PMID:4441366,PMID:5099217,PMID:8329439"
r0835,-0.9966681917747162,0,0.20525183521050677,123.00222070353031,Mitochondrial Carrier (Mc) Tcdb:2.A.29.2.2,"Transport, mitochondrial",1468.1,NA,"PMID:10585886,PMID:14598172,PMID:4424886,PMID:4441366,PMID:5099217,PMID:8329439"
r0836,-0.9360110745045168,0,4.303037170341093,130.19014698680937,Mitochondrial Carrier (Mc) Tcdb:2.A.29.2.2,"Transport, mitochondrial",1468.1,NA,"PMID:10585886,PMID:14598172,PMID:4424886,PMID:4441366,PMID:5099217,PMID:8329439"
r0838,1,0,289.2738825418949,NA,Free Diffusion,"Transport, mitochondrial",NA,NA,PMID:3888072
r0842,-1,0,NA,1.0438138813012745,Postulated Transport Reaction,"Transport, endoplasmic reticular",NA,NA,PMID:7050120
r0853,-1,0,NA,1.2353406955205952,Facilitated Diffusion,Purine catabolism,NA,NA,PMID:8132483
r0859,-1,0,NA,0.44316537529434935,Postulated Transport Reaction,Purine catabolism,NA,NA,"PMID:1459,PMID:14598172,PMID:18406340,PMID:8132483"
r0870,-1,0,-0.8700773694955096,NA,Facilitated Diffusion,"Transport, extracellular",NA,NA,"PMID:14977409,PMID:17466261"
r0885,-0.4005261407686795,0,-775.1176331062317,-331.7772838009357,Mitochondrial Carrier (Mc) Tcdb:2.A.29.2.7,"Transport, mitochondrial",1468.1,NA,"PMID:15845418,PMID:16600197,PMID:9639574"
r0899,-0.4069209354700388,0,18.772684740846604,44.53315713952631,Amino Acid Transporter Atb0+ Facilitated Diffusion,"Transport, extracellular",NA,NA,"PMID:10721894,PMID:11787643,PMID:12269802,PMID:12504794,PMID:16955229,PMID:17401668,PMID:18599538,PMID:3132542,PMID:487087,PMID:551321,PMID:6418146,PMID:7731061,PMID:8010975,PMID:8382624,PMID:8654117,PMID:8899554,PMID:911815,PMID:917262"
r0913,-0.48965117082115445,0,98.38831043677986,287.184477474137,Mitochondrial Carrier (Mc) Tcdb:2.A.29.7.2,"Transport, mitochondrial",6576.1,NA,"PMID:14598172,PMID:16919238,PMID:17173541,PMID:18406340,PMID:8132483"
r0915,0.4208549478189226,0,-32.69927777958214,-80.22330579921454,Mitochondrial Carrier (Mc) Tcdb:2.A.29.7.2,"Transport, mitochondrial",6576.1,NA,"PMID:14598172,PMID:16919238,PMID:17173541,PMID:18406340,PMID:8132483"
r0917,-1.4578020024675202,0,-5.755247589102386,30.89820265737213,Mitochondrial Carrier (Mc) Tcdb:2.A.29.7.2,"Transport, mitochondrial",6576.1,NA,PMID:14598172
r0927,1,0,3.3242727762861075,NA,Free Diffusion,"Transport, mitochondrial",NA,NA,PMID:4358819
r0954,-1.0060819090969564,0,-324.8718611316681,0.9849254502530482,Mct 1 Transport Reaction,"Transport, peroxisomal",6566.1,NA,PMID:17180682
r0970,-0.7217103395249709,0,1.04554956390672,6.468560461755097,Active Transport,"Transport, endoplasmic reticular",NA,NA,PMID:15975683
r0973,-0.3509907952055552,0,-0.3170171056512923,-0.1522934281825932,Facilitated Diffusion,"Transport, mitochondrial",NA,NA,PMID:15975683
r0987,-0.6787307960060615,0,0.7056099853110103,3.687030059480356,Vesicular Transport,"Transport, lysosomal",NA,NA,"PMID:11023036,PMID:12739169,PMID:12856180,PMID:12883891,PMID:1554704,PMID:18021224,PMID:4553030,PMID:793184,PMID:8725559,PMID:8781017"
r0990,1.0300053064202488,0,6.546875574455882,-442.92805980644226,Postulated Transport Reaction,"Transport, peroxisomal",NA,NA,"PMID:10884298,PMID:6469982"
r0995,0.376883801221036,0,-337.5934136311054,-745.9714633296967,Mitochondrial Carrier (Mc) Tcdb:2.A.29.8.3,"Transport, endoplasmic reticular",788.1,NA,"PMID:14598172,PMID:1735445,PMID:18406340,PMID:1988962,PMID:2351134,PMID:2355017,PMID:6361812,PMID:7892212,PMID:8132483"
r1019,0.9983983217131843,0,-0.07638574418415837,-95.3057453778267,Postulated Transport Reaction,"Transport, peroxisomal",NA,NA,"PMID:10884298,PMID:6469982"
r1020,1,0,2.414786611241632,NA,Postulated Transport Reaction,"Transport, mitochondrial",NA,NA,"PMID:10884298,PMID:6469982"
r1050,-0.5722315430738638,0,176.3807732672453,648.2745766605377,Vesicular Transport,"Transport, extracellular",NA,NA,"PMID:10772724,PMID:12856181"
r1078,-0.9990794037540913,0,0.1042962877610114,226.47991633424758,Vesicular Transport,"Transport, mitochondrial",NA,NA,"PMID:10049700,PMID:10574970,PMID:11389679,PMID:11557028,PMID:11564694,PMID:12824232,PMID:12930836,PMID:14574404,PMID:16288981,PMID:911815"
r1106,1,0,0.8700773694955096,NA,Postulated Transport Reaction,"Transport, extracellular",NA,NA,"PMID:10049700,PMID:10574970,PMID:11389679,PMID:11557028,PMID:11564694,PMID:12824232,PMID:12930836,PMID:14574404,PMID:16288981,PMID:911815"
r1135,1,0,0.21406140699580647,NA,Hydroxysteroid (17-Beta) Dehydrogenase 7,Miscellaneous,51478.1,NA,"PMID:10544267,PMID:12732193,PMID:12829805"
r1146,1,0,0.21406140699580647,NA,Biosynthesis of Steroids Enzyme Catalyzed,"Transport, mitochondrial",NA,NA,PMID:11108725
r1154,0.991652584090461,0,124.81963185914755,0.5231441412658194,Ec:1.2.7.2,Propanoate metabolism,593.1 and 594.1 and 1738.1 and 1629.1,NA,"PMID:2649080,PMID:283398,PMID:3718468,PMID:9381974"
r1155,0.4557003375194981,0,160.3148840551138,59.94320055629611,Tcdb:2.A.1.13.5 Tcdb:2.A.1.13.1,"Transport, mitochondrial",9194.1 or 6566.1,NA,"PMID:12107270,PMID:12739169,PMID:12829793,PMID:17245649,PMID:18375207,PMID:8476015,PMID:8557697,PMID:9786900"
r1165,0.603445214354676,0,0.8122949209493989,0.20089207624565752,Sterol O-Acyltransferase,Miscellaneous,6646.1 or 8435.1,NA,"PMID:2760547,PMID:7822296,PMID:9242919"
r1166,0.39233163419397615,0,0.5660370628124095,0.24704086906994635,Sterol O-Acyltransferase,Miscellaneous,6646.1 or 8435.1,NA,"PMID:2760547,PMID:7822296,PMID:9242919"
