Reaction,fc,pval,OVCAR3_A1AKO,OVCAR3_P,rxnNames,subSystem,geneRules,kegg,source
RE3081X,-0.6484265862405673,0,0.294812117290841,1.3822891978419858,Enoyl Coenzyme A Hydratase,Fatty acid oxidation,1962.1,NA,PMID:11060359
RE3082X,-0.6484265862405673,0,0.294812117290841,1.3822891978419858,3-Hydroxyacyl Coenzyme A Dehydrogenase,Fatty acid oxidation,3295.1 or 1962.1,NA,PMID:11060359
RE3086X,-0.6484265862405673,0,0.294812117290841,1.3822891978419858,Acyl Coenzyme A Oxidase,Fatty acid oxidation,8310.1 or 8309.1 or 51.1,NA,"PMID:11356164,PMID:9271077"
RE3106C,-0.3707877142989334,0,2.307347661746867,5.026735649026465,RE3106C,Fatty acid oxidation,NA,NA,PMID:10970790
RE3110C,-0.3707877142989334,0,2.307347661746867,5.026735649026465,RE3110C,Fatty acid oxidation,6785.1 or 79071.1 or 60481.1 or 54898.1,NA,PMID:10970790
RE3112C,-0.3707877142989334,0,2.307347661746867,5.026735649026465,RE3112C,Fatty acid oxidation,NA,NA,PMID:10970790
RE3113C,-0.3707877142989334,0,2.307347661746867,5.026735649026465,RE3113C,Fatty acid oxidation,NA,NA,PMID:10970790
RE3119C,-0.7603310547147838,0,0.8419624512130169,6.184082998363656,RE3119C,Fatty acid oxidation,NA,NA,PMID:10970790
RE3120C,-0.7603310547147838,0,0.8419624512130169,6.184082998363656,RE3120C,Fatty acid oxidation,6785.1 or 79071.1 or 60481.1 or 54898.1,NA,PMID:10970790
RE3121C,-0.7603310547147838,0,0.8419624512130169,6.184082998363656,RE3121C,Fatty acid oxidation,NA,NA,PMID:10970790
RE3122C,-0.7603310547147838,0,0.8419624512130169,6.184082998363656,RE3122C,Fatty acid oxidation,NA,NA,PMID:10970790
RE3136C,-0.6737656285540548,0,0.14986182867492903,0.768875384762804,Cholestenol Delta-Isomerase,Cholesterol metabolism,10682.1,NA,PMID:11111101
RE3146R,-0.4465245807042044,0,0.26338026691530686,0.6883522138167697,Long-Chain-Fatty-Acid- Coenzyme A Ligase,Fatty acid oxidation,11001.1 or 2182.1 or 2181.1 or 2180.1 or 51703.1 or 23305.1,NA,PMID:9784915
RE3154C,0.4152880459603606,0,0.9208680622956905,0.38044733413419235,RE3154C,Fatty acid oxidation,NA,NA,PMID:10970790
RE3156X,-0.7875838256761076,0,0.6325615918279919,5.323308707045401,3-Hydroxyacyl Coenzyme A Dehydrogenase,Fatty acid oxidation,3295.1 or 1962.1,NA,PMID:11734209
RE3157X,-0.7875838256761076,0,0.6325615918279919,5.323308707045401,Acyl Coenzyme A Oxidase,Fatty acid oxidation,8310.1 or 8309.1 or 51.1,NA,PMID:11734209
RE3158X,-0.7875838256761076,0,0.6325615918279919,5.323308707045401,Acetyl Coenzyme A C-Acyltransferase,Fatty acid oxidation,30.1,NA,PMID:11734209
RE3159X,-0.7875838256761076,0,0.6325615918279919,5.323308707045401,Enoyl Coenzyme A Hydratase,Fatty acid oxidation,1962.1,NA,PMID:11734209
RE3160R,-0.3966326539317492,0,0.2681370868912494,0.6206650288961656,Long-Chain-Fatty-Acid- Coenzyme A Ligase,Fatty acid oxidation,11001.1 or 2182.1 or 2181.1 or 2180.1 or 51703.1 or 23305.1,NA,"PMID:10479480,PMID:9784915"
RE3165C,-0.42630132257847725,0,0.1533355043277079,0.38121515915602633,RE3165C,Fatty acid oxidation,6785.1 or 79071.1 or 60481.1 or 54898.1,NA,PMID:10970790
RE3166C,-0.42630132257847725,0,0.1533355043277079,0.38121515915602633,RE3166C,Fatty acid oxidation,NA,NA,PMID:10970790
RE3167C,-0.42630132257847725,0,0.1533355043277079,0.38121515915602633,RE3167C,Fatty acid oxidation,NA,NA,PMID:10970790
RE3168C,-0.42630132257847725,0,0.1533355043277079,0.38121515915602633,RE3168C,Fatty acid oxidation,NA,NA,PMID:10970790
RE3169C,-0.5670389772396455,0,0.18274934283647962,0.6614344669270704,RE3169C,Fatty acid oxidation,NA,NA,PMID:10970790
RE3170C,-0.5670389772396455,0,0.18274934283647962,0.6614344669270704,RE3170C,Fatty acid oxidation,6785.1 or 79071.1 or 60481.1 or 54898.1,NA,PMID:10970790
RE3171C,-0.5670389772396455,0,0.18274934283647962,0.6614344669270704,RE3171C,Fatty acid oxidation,NA,NA,PMID:10970790
RE3172C,-0.5670389772396455,0,0.18274934283647962,0.6614344669270704,RE3172C,Fatty acid oxidation,NA,NA,PMID:10970790
RE3224C,0.41704368091664223,0,4.1194798091483715,1.6947090752529985,RE3224C,Fatty acid synthesis,6785.1 or 79071.1 or 60481.1 or 54898.1,NA,PMID:10970790
RE3227C,0.41704368091664223,0,4.1194798091483715,1.6947090752529985,RE3227C,Fatty acid synthesis,NA,NA,PMID:10970790
RE3228C,0.41704368091664223,0,4.1194798091483715,1.6947090752529985,RE3228C,Fatty acid synthesis,NA,NA,PMID:10970790
RE3229C,0.41704368091664223,0,4.1194798091483715,1.6947090752529985,RE3229C,Fatty acid synthesis,NA,NA,PMID:10970790
