Reaction,fc,pval,MCF10A_KO,MCF10A_P,subSystem,rxnNames,geneRules,kegg,source
MDHm,0.4976486731660515,0,-40.29456364060249,-120.1292731771782,Citric acid cycle,"Malate Dehydrogenase, Mitochondrial",4191.1 or 4190.1,NA,"PMID:15565635,PMID:9933076"
MDRPD,-0.6722522632910813,0,4.560001225009025,23.266285362342035,Arginine and proline metabolism,5-Methylthio-5-Deoxy-D-Ribulose 1-Phosphate Dehydratase,NA,NA,PMID:2543672
MECOALm,-0.37437550554456284,0,91.96861157637238,202.03717749179603,C5-branched dibasic acid metabolism,"Mesaconate- Coenzyme A Ligase (ADP-Forming), Mitochondrial",8802.1 and 8803.1,NA,PMID:13783048
MECOAS1m,0.37437550554456284,0,-91.96861157637238,-202.03717749179603,C5-branched dibasic acid metabolism,Mesaconate- Coenzyme A Ligase (GDP-Forming),8802.1 and 8801.1,NA,PMID:13783048
METS,-0.4123731125810946,0,288.45058537435534,693.2968177825928,Methionine and cysteine metabolism,Methionine Synthase,4548.1,NA,"PMID:8968736,PMID:9013615"
MGCHrm,0.48289910698470656,0,30.644037557399134,10.68586467675896,"Valine, leucine, and isoleucine metabolism","Methylglutaconyl Coenzyme A Hydratase (Reversible), Mitochondrial",549.1,NA,"PMID:12434311,PMID:3082934"
MI145PP,0.4160911228592957,0,38.491532086125574,15.871540268152765,Inositol phosphate metabolism,"Inositol-1, 4, 5-Trisphosphate 5-Phosphatase",3635.1 or 8867.2 or 3636.1 or 27124.2 or 8867.1 or 27124.1 or 3633.1 or 56623.1 or 3632.1,NA,"PMID:10593988,PMID:10764818,PMID:15261714,PMID:2906139,PMID:7721860,PMID:8006039,PMID:8013665,PMID:8530088,PMID:8769125,PMID:9428629,PMID:9824312"
MLTG1,1,0,257.9135277021408,NA,Starch and sucrose metabolism,Maltodextrin Glucosidase (Maltotriose),2595.1,NA,PMID:12370436
MLTG1ly,-1,0,NA,62.628127464142445,Starch and sucrose metabolism,"Maltodextrin Glucosidase (Maltotriose), Lysosomal",2548.1,NA,PMID:3049072
MMMm,-0.5618587118406937,0,257.63632201995847,918.4058770721435,"Valine, leucine, and isoleucine metabolism",Methylmalonyl Coenzyme A Mutase,4594.1,NA,PMID:8990001
MMSAD1m,0.43077408353893554,0,120.00985427524746,47.745287023384606,"Valine, leucine, and isoleucine metabolism",Methylmalonate-Semialdehyde Dehydrogenase,4329.1,NA,"PMID:10947204,PMID:1527093"
MMTSADm,1,0,257.63632201995847,NA,"Valine, leucine, and isoleucine metabolism","Malonate-Semialdehyde Dehydrogenase (Acetylating), Mitochondrial",NA,NA,PMID:1527093
MTAP,-0.6722522632910813,0,4.560001225009025,23.266285362342035,Arginine and proline metabolism,5'-Methylthioadenosine Phosphorylase,4507.1,NA,"PMID:16000004,PMID:2543672,PMID:3091600"
MTHFCm,1,0,NA,-8.517051025037214,Folate metabolism,"Methenyltetrahydrifikate Cyclohydrolase, Mitochondrial",25902.1 or 10797.1,NA,PMID:12937168
MTHFD2m,-1,0,NA,5.3804960420608525,Folate metabolism,"Methylenetetrahydrofolate Dehydrogenase (NAD), Mitochondrial",10797.1,NA,PMID:8218174
MTHFDm,1,0,NA,-13.8975469997406,Folate metabolism,"Methylenetetrahydrofolate Dehydrogenase (NADP), Mitochondrial",25902.1 or 10797.1 or 4522.1,NA,"PMID:12937168,PMID:8218174"
N2M2NMASNtly,-1,0,NA,14.07618186791425,"Transport, lysosomal","N2M2Nmasn Transport, Extracellular to Lysosome",NA,NA,NA
NACHEX19ly,-0.3704226484479774,0,0.931541501821691,2.0277183874525084,Keratan sulfate degradation,"Beta-N-Acetylhexosaminidase, Lysosomal",(3073.1 and 3074.1) or 3073.1 or 3074.1,NA,"PMID:10336991,PMID:11707436,PMID:12706724,PMID:8993162"
NACHEX1ly,-1,0,NA,1.5448424289496547,Chondroitin sulfate degradation,"Beta-N-Acetylhexosaminidase, Lysosomal",(3073.1 and 3074.1) or 3073.1 or 3074.1,NA,"PMID:10336991,PMID:11707436,PMID:12706724,PMID:8993162"
NACHEX21ly,-0.5976852378904792,0,0.931541501821691,3.699367376277596,Keratan sulfate degradation,"Beta-N-Acetylhexosaminidase, Lysosomal",3073.1 or 3074.1 or (3073.1 and 3074.1),NA,"PMID:10336991,PMID:11707436,PMID:12706724,PMID:8993162"
NACHEX22ly,-0.5976852378904792,0,0.931541501821691,3.699367376277596,Keratan sulfate degradation,"Beta-N-Acetylhexosaminidase, Lysosomal",(3073.1 and 3074.1) or 3073.1 or 3074.1,NA,"PMID:10336991,PMID:11707436,PMID:12706724,PMID:8993162"
NACHEX23ly,-0.7691485594912761,0,0.22781777359025263,1.7458998093558538,Keratan sulfate degradation,"Beta-N-Acetylhexosaminidase, Lysosomal",(3073.1 and 3074.1) or 3073.1 or 3074.1,NA,"PMID:10336991,PMID:11707436,PMID:12706724,PMID:8993162"
NACHEX24ly,-0.9162518002583233,0,0.18890000252091746,4.322241803597509,Keratan sulfate degradation,"Beta-N-Acetylhexosaminidase, Lysosomal",3073.1 or 3074.1 or (3073.1 and 3074.1),NA,"PMID:10336991,PMID:11707436,PMID:12706724,PMID:8993162"
NACHEX25ly,-0.8269473450062341,0,0.6192021455267075,6.537026061997921,Keratan sulfate degradation,"Beta-N-Acetylhexosaminidase, Lysosomal",(3073.1 and 3074.1) or 3073.1 or 3074.1,NA,"PMID:10336991,PMID:11707436,PMID:12706724,PMID:8993162"
NACHEX26ly,-0.5779755926845173,0,0.3913843718191151,1.4634105880682988,Keratan sulfate degradation,"Beta-N-Acetylhexosaminidase, Lysosomal",(3073.1 and 3074.1) or 3073.1 or 3074.1,NA,"PMID:10336991,PMID:11707436,PMID:12706724,PMID:8993162"
NACHEX27ly,-0.898850766811179,0,5.582826023886361,104.80508000135421,Hyaluronan metabolism,"Beta-N-Acetylhexosaminidase, Lysosomal",(3073.1 and 3074.1) or 3073.1 or 3074.1,NA,"PMID:10336991,PMID:11707436,PMID:12562784"
NACHEX2ly,-0.3531793870347628,0,7.229021105720592,15.123454869280872,Chondroitin sulfate degradation,"Beta-N-Acetylhexosaminidase, Lysosomal",(3073.1 and 3074.1) or 3073.1 or 3074.1,NA,"PMID:10336991,PMID:11707436,PMID:12706724,PMID:8993162"
NACHEX3ly,-1,0,NA,4.629672501939177,Chondroitin sulfate degradation,"Beta-N-Acetylhexosaminidase, Lysosomal",3073.1 or (3073.1 and 3074.1),NA,"PMID:10336991,PMID:11707436,PMID:12706724,PMID:8993162"
NACHEX4ly,-1,0,NA,7.085161071949778,Chondroitin sulfate degradation,"Beta-N-Acetylhexosaminidase, Lysosomal",3073.1 or (3073.1 and 3074.1),NA,"PMID:10336991,PMID:11707436,PMID:12706724,PMID:8993162"
NACHEX5ly,-1,0,NA,6.1489905334596395,Chondroitin sulfate degradation,"Beta-N-Acetylhexosaminidase, Lysosomal",3073.1 or (3073.1 and 3074.1),NA,"PMID:10336991,PMID:11707436,PMID:12706724,PMID:8993162"
NACHEX6ly,-1,0,NA,2.1463526123606536,Chondroitin sulfate degradation,"Beta-N-Acetylhexosaminidase, Lysosomal",(3073.1 and 3074.1) or 3073.1 or 3074.1,NA,"PMID:10336991,PMID:11707436,PMID:12706724,PMID:8993162"
NACHEX7ly,-1,0,NA,2.4072669748980813,Chondroitin sulfate degradation,"Beta-N-Acetylhexosaminidase, Lysosomal",(3073.1 and 3074.1) or 3073.1 or 3074.1,NA,"PMID:10336991,PMID:11707436,PMID:12706724,PMID:8993162"
NACHEX8ly,-1,0,NA,0.8188788556794855,Chondroitin sulfate degradation,"Beta-N-Acetylhexosaminidase, Lysosomal",(3073.1 and 3074.1) or 3073.1 or 3074.1,NA,"PMID:10336991,PMID:11707436,PMID:12706724,PMID:8993162"
NACHEX9ly,-1,0,NA,0.6750255979954359,Chondroitin sulfate degradation,"Beta-N-Acetylhexosaminidase, Lysosomal",(3073.1 and 3074.1) or 3073.1 or 3074.1,NA,"PMID:10336991,PMID:11707436,PMID:12706724,PMID:8993162"
NACHEXA10ly,-1,0,NA,2.435463011418539,Keratan sulfate degradation,"Beta-N-Acetylhexosaminidase A, Lysosomal",3073.1 or (3073.1 and 3074.1),NA,"PMID:10336991,PMID:11707436,PMID:12706724,PMID:8993162"
NACHEXA11ly,-1,0,NA,2.2890272744923363,Keratan sulfate degradation,"Beta-N-Acetylhexosaminidase A, Lysosomal",3073.1 or (3073.1 and 3074.1),NA,"PMID:10336991,PMID:11707436,PMID:12706724,PMID:8993162"
NACHEXA12ly,-1,0,NA,1.8933899902518956,Keratan sulfate degradation,"Beta-N-Acetylhexosaminidase A, Lysosomal",3073.1 or (3073.1 and 3074.1),NA,"PMID:10336991,PMID:11707436,PMID:12706724,PMID:8993162"
NACHEXA13ly,-1,0,NA,2.0113829452045784,Keratan sulfate degradation,"Beta-N-Acetylhexosaminidase A, Lysosomal",3073.1 or (3073.1 and 3074.1),NA,"PMID:10336991,PMID:11707436,PMID:12706724,PMID:8993162"
NACHEXA14ly,-1,0,NA,2.0156789523454237,Keratan sulfate degradation,"Beta-N-Acetylhexosaminidase A, Lysosomal",3073.1 or (3073.1 and 3074.1),NA,"PMID:10336991,PMID:11707436,PMID:12706724,PMID:8993162"
NACHEXA15ly,-1,0,NA,1.8542057852771656,Keratan sulfate degradation,"Beta-N-Acetylhexosaminidase A, Lysosomal",3073.1 or (3073.1 and 3074.1),NA,"PMID:10336991,PMID:11707436,PMID:12706724,PMID:8993162"
NACHEXA16ly,-1,0,NA,1.852220643414816,Keratan sulfate degradation,"Beta-N-Acetylhexosaminidase A, Lysosomal",3073.1 or (3073.1 and 3074.1),NA,"PMID:10336991,PMID:11707436,PMID:12706724,PMID:8993162"
NACHEXA17ly,-1,0,NA,2.0926372858343925,Keratan sulfate degradation,"Beta-N-Acetylhexosaminidase A, Lysosomal",3073.1 or (3073.1 and 3074.1),NA,"PMID:10336991,PMID:11707436,PMID:12706724,PMID:8993162"
NACHEXA18ly,-1,0,NA,1.6716489896955609,Keratan sulfate degradation,"Beta-N-Acetylhexosaminidase A, Lysosomal",3073.1 or (3073.1 and 3074.1),NA,"PMID:10336991,PMID:11707436,PMID:12706724,PMID:8993162"
NACHEXA19ly,-1,0,NA,2.229163966969322,Keratan sulfate degradation,"Beta-N-Acetylhexosaminidase A, Lysosomal",3073.1 or (3073.1 and 3074.1),NA,"PMID:10336991,PMID:11707436,PMID:12706724,PMID:8993162"
NACHEXA20ly,-1,0,NA,1.5828693927564979,Keratan sulfate degradation,"Beta-N-Acetylhexosaminidase A, Lysosomal",3073.1 or (3073.1 and 3074.1),NA,"PMID:10336991,PMID:11707436,PMID:12706724,PMID:8993162"
NACHEXA21ly,-0.6746403875858967,0,0.4303021430106508,2.2147842573442977,Keratan sulfate degradation,"Beta-N-Acetylhexosaminidase A, Lysosomal",3073.1 or (3073.1 and 3074.1),NA,"PMID:10336991,PMID:11707436,PMID:12706724,PMID:8993162"
NACHEXA22ly,-1,0,NA,1.7448462688081774,Keratan sulfate degradation,"Beta-N-Acetylhexosaminidase A, Lysosomal",3073.1 or (3073.1 and 3074.1),NA,"PMID:10336991,PMID:11707436,PMID:12706724,PMID:8993162"
NACHEXA2ly,-0.8127308547006066,0,0.3740204734096859,3.620449334328551,Chondroitin sulfate degradation,"Beta-N-Acetylhexosaminidase A, Lysosomal",3073.1 or (3073.1 and 3074.1),NA,"PMID:10336991,PMID:11707436,PMID:12706724,PMID:8993162"
NACHEXA3ly,-0.7290945594809203,0,0.6120154162752418,3.9062800827192716,Chondroitin sulfate degradation,"Beta-N-Acetylhexosaminidase A, Lysosomal",3073.1 or (3073.1 and 3074.1),NA,"PMID:10336991,PMID:11707436,PMID:12706724,PMID:8993162"
NACHEXA4ly,-0.7755910801056102,0,0.6120154162752418,4.8424506233391,Chondroitin sulfate degradation,"Beta-N-Acetylhexosaminidase A, Lysosomal",3073.1 or (3073.1 and 3074.1),NA,"PMID:10336991,PMID:11707436,PMID:12706724,PMID:8993162"
NACHEXA5ly,-0.8813766286884419,0,0.2947544956989832,4.674831049544476,Chondroitin sulfate degradation,"Beta-N-Acetylhexosaminidase A, Lysosomal",3073.1 or (3073.1 and 3074.1),NA,"PMID:10336991,PMID:11707436,PMID:12706724,PMID:8993162"
NACHEXA6ly,-0.8748035339583339,0,0.2947544956989832,4.413916683579947,Chondroitin sulfate degradation,"Beta-N-Acetylhexosaminidase A, Lysosomal",3073.1 or (3073.1 and 3074.1),NA,"PMID:10336991,PMID:11707436,PMID:12706724,PMID:8993162"
NACHEXA7ly,-0.3755527978303317,0,0.2892944005974383,0.6372672033052539,Chondroitin sulfate degradation,"Beta-N-Acetylhexosaminidase A, Lysosomal",3073.1 or (3073.1 and 3074.1),NA,"PMID:10336991,PMID:11707436,PMID:12706724,PMID:8993162"
NACHEXA8ly,-0.4594723762603676,0,0.2892944005974383,0.7811204603340317,Chondroitin sulfate degradation,"Beta-N-Acetylhexosaminidase A, Lysosomal",3073.1 or (3073.1 and 3074.1),NA,"PMID:10336991,PMID:11707436,PMID:12706724,PMID:8993162"
NACHEXA9ly,-1,0,NA,2.1046060895957286,Keratan sulfate degradation,"Beta-N-Acetylhexosaminidase A, Lysosomal",3073.1 or (3073.1 and 3074.1),NA,"PMID:10336991,PMID:11707436,PMID:12706724,PMID:8993162"
NADPHtru,1,0,530.1832977508545,NA,"Transport, endoplasmic reticular","Transport of NADPH, Endoplasmic Reticulum",NA,NA,NA
NADPtru,1,0,530.1832977508545,NA,"Transport, endoplasmic reticular","Transport of NADP, Endoplasmic Reticulum",NA,NA,NA
NADtn,0.8890734770677283,0,317.8303107872009,18.663017445373534,"Transport, nuclear","Transport of NAD, Nuclear Through Pores",NA,NA,NA
NAGA2ly,-0.39392919494579753,0,3.556942269390257,8.180769693396503,Keratan sulfate degradation,"N-Acetylgalactosaminidase, Alpha-",4668.1,NA,"PMID:2174888,PMID:2551294"
NAGLCAly,-0.39392919494579753,0,3.556942269390257,8.180769693396503,Keratan sulfate degradation,"N-Acetylglucosaminidase, Lysosomal",NA,NA,NA
NAt3_1g,-1,0,NA,841.4241657897949,"Transport, golgi apparatus",Sodium Proton Antiporter (H:Na Is 1:1),84679.1 or 23315.1,NA,"PMID:11279194,PMID:15522866"
NAt5,1,0,83.32931003229879,NA,"Transport, extracellular",Sodium/Ammonium Proton Antiporter,6548.1 or 6550.1 or 6549.1,NA,"PMID:10444453,PMID:12845533,PMID:2536298,PMID:2581505,PMID:7631746,PMID:8199403,PMID:8595899"
NCNt,1,0,301.9813582687378,NA,"Transport, extracellular",Na+/Ca2+-NH4+ Antiport,9187.1 or 25769.1,NA,"PMID:10484410,PMID:10662833,PMID:11294880,PMID:12379639,PMID:14770312,PMID:9478004"
NDP10ex,-1,0,NA,74.10315202361727,Nucleotide interconversion,"Nucleoside-Diphosphatase (IDP), Extracellular",124583.1 or 953.1 or 377841.1 or 956.1,NA,"PMID:12234496,PMID:12600208"
NDP3ex,-1,0,NA,83.47212431674599,Nucleotide interconversion,"Nucleoside-Diphosphatase (GDP), Extracellular",124583.1 or 953.1 or 377841.1 or 956.1,NA,"PMID:12234496,PMID:12600208"
NDP6,-0.42245508276500704,0,6.437604673126238,15.855396203572287,Nucleotide interconversion,Nucleoside-Diphosphatase (dCDP),79077.1,NA,NA
NDP7ex,-1,0,NA,130.95415534734727,Nucleotide interconversion,"Nucleoside-Diphosphatase (UDP), Extracellular",124583.1 or 953.1 or 377841.1 or 956.1,NA,PMID:12600208
NDP8,-0.6820779565890353,0,7.390001627747639,39.09939274365734,Nucleotide interconversion,Nucleoside-Diphosphatase (dUDP),1841.1,NA,NA
NDP8ex,-1,0,NA,130.95415534734727,Nucleotide interconversion,"Nucleoside-Diphosphatase (UTP), Extracellular",124583.1 or 953.1 or 377841.1 or 956.1,NA,"PMID:12234496,PMID:12600208"
NDPK1m,0.9999993610656367,0,259.1657625152588,8.27949821949005e-5,Nucleotide interconversion,"Nucleoside-Diphosphate Kinase (ATP:GDP), Mitochondrial",4833.1 or 10201.1,NA,PMID:9099850
NDPK3m,-0.9974526407012986,0,0.013227243749464029,10.371836030368856,Nucleotide interconversion,"Nucleoside-Diphosphate Kinase (ATP:CDP), Mitochondrial",4833.1 or 10201.1,NA,PMID:9099850
NDPK4n,-1,0,NA,284.60878061580655,Nucleotide interconversion,"Nucleoside-Diphosphate Kinase (ATP:dTDP), Nuclear",(4831.1 and 4830.1) or (4830.2 and 4831.1),NA,PMID:7050910
NDPK6m,-0.9345173808080802,0,-434.43194735355377,-14.705343077079952,Nucleotide interconversion,"Nucleoside-Diphosphate Kinase (ATP:dUDP), Mitochondrial",4833.1 or 10201.1,NA,PMID:9099850
NDPK6n,0.7481979523780966,0,-28.13753014600519,-195.35175766356383,Nucleotide interconversion,"Nucleoside-Diphosphate Kinase (ATP:dUDP), Nuclear",(4831.1 and 4830.1) or (4830.2 and 4831.1),NA,PMID:7050910
NDPK8m,-0.48057714590550993,0,31.60108349877205,90.07659490782106,Nucleotide interconversion,"Nucleoside-Diphosphate Kinase (ATP:dADP), Mitochondrial",4833.1 or 10201.1,NA,PMID:9099850
NICRNS,0.9233143911776186,0,117.83235284236372,4.698163627402421,NAD metabolism,Nicotinate D-Ribonucleoside Kinase,NA,NA,NA
NKCC2t,0.8255463070462078,0,-23.583918327342904,-246.79061978678703,"Transport, extracellular",Na+-K+-Cl- Symport (NH4+),6557.1 or 6558.1,NA,"PMID:10617769,PMID:12657561,PMID:12739168,PMID:7629105,PMID:8640224"
NKCCt,0.9638913649852113,0,-5.259037603759766,-286.0307107683897,"Transport, extracellular",Na+-K+-Cl- Symport,6557.1 or 6558.1,NA,"PMID:10617769,PMID:12657561,PMID:12739168,PMID:7629105,PMID:8640224"
NMNS,0.8750063882884282,0,63.11966486519426,4.2077482673147,NAD metabolism,Nicotinamide Ribotide (NMN) Synthetase,10135.1,NA,PMID:19513556
NP1,1,0,113.08674661468864,NA,NAD metabolism,Nucleotide Phosphatase,4860.1,NA,NA
NRVNCCOAtx,0.7024145952080201,0,6.028496850582422,1.053793054064211,"Transport, peroxisomal",Fatty Acid Intracellular Transport,NA,NA,NA
NTD2e,1,0,29.369662935512327,NA,Nucleotide interconversion,"5'-Nucleotidase (UMP), Extracellular",4907.1,NA,PMID:2840110
NTD4e,-0.8145923556460943,0,6.05052517415764,59.21674247537259,Nucleotide interconversion,"5'-Nucleotidase (CMP), Extracellular",4907.1 or 30833.1,NA,PMID:8450671
NTD7e,-0.7820728940768245,0,35.29779464707172,288.64350212318897,Nucleotide interconversion,"5'-Nucleotidase (AMP), Extracellular",4907.1 or 30833.1,NA,PMID:14578500
NTD7l,0.6796002672664364,0,46.59600424579554,8.888631180740719,Purine catabolism,"5'-Nucleotidase (AMP), Lysosomal",53.1 or 55.1 or 51205.1 or 54.1,NA,NA
NTD9e,0.45213957717102343,0,221.24827832056283,83.47212431674599,Nucleotide interconversion,"5'-Nucleotidase (GMP), Extracellular",4907.1 or 30833.1,NA,PMID:16325434
NTP3e,-1,0,NA,83.47212431674599,Nucleotide interconversion,Nucleoside-Triphosphatase (GTP),124583.1 or 953.1 or 377841.1 or 956.1,NA,"PMID:12234496,PMID:12600208"
O2ter,-6.441717707810108,0,-164.6448698162079,225.15696495113372,"Transport, endoplasmic reticular","Transport of Oxygen, Endoplasmic Reticulum",NA,NA,NA
O2tp,-1,0,-283.32747742919923,NA,"Transport, peroxisomal","Transport of Oxygen, Peroxisomal",NA,NA,NA
OCBTm,0.36024863809257596,0,23.945547433466466,11.262056180890951,Urea cycle,"Ornithine Carbamoyltransferase, Irreversible",5009.1,NA,"PMID:12538786,PMID:6372096"
OCCOAtx,1,0,NA,-93.35681890859604,"Transport, peroxisomal",Fatty Acid Intracellular Transport,NA,NA,NA
OCDCEAtr,0.790802553023379,0,-0.6185293515920638,-5.2948253334790945,"Transport, extracellular",Fatty Acid Transport via Diffusion,10998.1,NA,"PMID:11788354,PMID:12864740"
OCTAt,1,0,5.294834393903031,NA,"Transport, extracellular",Octanoate Transport via Diffusion,NA,NA,NA
ODECOAtx,-4.725001155912665,0,-6.348159903070418,4.130462568105108,"Transport, peroxisomal",Fatty Acid Intracellular Transport,NA,NA,NA
OIVD2m,1,0,20.790875908907083,NA,"Valine, leucine, and isoleucine metabolism",2-Oxoisovalerate Dehydrogenase (Acylating,(1629.1) and (594.1 and 593.1) and (1738.1) or (1629.1) and (1738.1) and (594.2 and 593.1),NA,"PMID:1429740,PMID:2914958"
ORNt4m,1,0,NA,-11.262056180890951,"Transport, mitochondrial",Ornithine Mitochondrial Transport Exchange with Citruline,10166.1 or 83884.1,NA,PMID:14598172
ORNTArm,-1.432868655439845,0,-53.62393268377483,301.3846887925148,Urea cycle,"Ornithine Transaminase Reversible, Mitochondrial",4942.1,NA,PMID:9514741
ORPT,-0.7375742321848185,0,119.3273201667577,790.0903880119324,Pyrimidine synthesis,Orotate Phosphoribosyltransferase,7372.1,NA,"PMID:3279416,PMID:6574608,PMID:6893554,PMID:9042911"
PAFH,-0.6681371181730057,0,42.76362355614095,214.9550060219288,Glycerophospholipid metabolism,Platelet-Activating Factor Acetylhydrolase,(5051.1) or (5049.1 and 5050.1) or (5049.1 and 5050.1 and 5048.1),NA,"PMID:7669037,PMID:8028668,PMID:8955149"
PAFS,-0.6681371181728514,0,42.76362355616479,214.9550060219288,Glycerophospholipid metabolism,Alkyl Glycerol Phosphocholine Acetyl Transferase,NA,NA,NA
PAIL_HStn,0.9477209701513692,0,838.3902501953125,22.50334087195012,"Transport, nuclear",Phosphatidylinositol Nuclear Transport (Diffusion),NA,NA,NA
PAPStg,-0.39623971325268786,0,12.725814584710577,29.42937469833887,"Transport, golgi apparatus",3'-Phosphoadenylyl Sufate Golgi Transport,347734.1,NA,PMID:12716889
PAPtg,-0.39623971325268786,0,12.725814584710577,29.42937469833887,"Transport, golgi apparatus","Adenosine 3', 5'-Bisphosphate Golgi Transport",NA,NA,NA
PCHOL_HSter,1,0,108.46277111691255,NA,"Transport, endoplasmic reticular",Phosphatidylcholine Scramblase,NA,NA,PMID:10856717
PCHOL_HStg,0.4390959077886066,0,49.559143111145495,19.31624294606425,"Transport, golgi apparatus",Phosphatidylcholine Scramblase,NA,NA,PMID:10856717
PCHOLP_hs,0.5520436726775952,0,317.6640246305466,91.68531292064571,Glycerophospholipid metabolism,Choline Phosphatase,5338.1 or 5337.1,NA,"PMID:9395408,PMID:9582313"
PCHOLPm_hs,-0.9983047148628678,0,0.013227243749464029,15.591514943561004,Glycerophospholipid metabolism,Choline Phosphatase,5337.1,NA,"PMID:11481335,PMID:8530346"
PCHOLPr_hs,0.8691300328518707,0,108.46277111691255,7.594185018368019,Glycerophospholipid metabolism,Choline Phosphatase,5337.1,NA,"PMID:11481335,PMID:8530346"
PDE4,-0.3654270795893494,0,2.8709946463131972,6.177593952315603,Nucleotide interconversion,"3', 5'-Cyclic-Nucleotide Phosphodiesterase",(5139.1) or (5146.1) or (5152.17) or (50940.1) or (5152.6) or (5136.1) or (5152.11) or (5152.2) or (8654.2) or (10846.1) or (5152.10) or (5145.1 and 5158.1 and 5149.1) or (5140.1) or (5152.12) or (5152.15) or (5137.1) or (5136.2) or (5138.1) or (5152.5) or (5153.1) or (5152.20) or (5152.19) or (5152.16) or (8654.3) or (5152.14) or (5152.13) or (5152.7) or (5152.3) or (5140.2) or (8654.1) or (5152.18) or (5145.1 and 5146.1 and 5158.1 and 5147.1 and 5148.1) or (5152.4),NA,"PMID:10952971,PMID:12038792,PMID:12135876,PMID:12154085,PMID:12565835,PMID:14527714,PMID:14604994,PMID:15147193,PMID:15272012,PMID:15480303,PMID:8786098,PMID:8884271,PMID:9210593,PMID:9419816,PMID:9624146,PMID:9716380"
PEROXx,-0.4164056719487166,0,3.7325784878088495,9.059110219216585,Fatty acid oxidation,Peroxisomal Lumped Long Chain Fatty Acid Oxidation,3295.1 and 8310.1 and 30.1 and 1962.1,NA,"PMID:11591435,PMID:12814641,PMID:15599942,PMID:1679347,PMID:7487879,PMID:8188243"
PETOHMm_hs,-0.9983047148628678,0,0.013227243749464029,15.591514943561004,Glycerophospholipid metabolism,Phosphatidylethanolamine N-Methyltransferase,10400.2 or 10400.1 or 10400.3,NA,PMID:9989271
PGESr,-0.37375495261831504,0,20.36301772556305,44.66909010730628,Eicosanoid metabolism,Prostaglandin E Synthase,80142.4 or 80142.2 or 9536.1 or 80142.1 or 9536.2 or 80142.3,NA,PMID:11847219
PGLer,0.516775899057868,0,353.3917894432068,112.58580113258361,Pentose phosphate pathway,"6-Phosphogluconolactonase, Endoplasmic Reticulum",9563.1,NA,"PMID:10349511,PMID:12831846,PMID:2156506"
PGLYCt,1.0009461324109223,0,0.027340606299861975,-57.82180147505444,"Transport, extracellular",Phosphatidylglycerol Transport,NA,NA,"PMID:2164460,PMID:6290284"
PGPP_hs,-1,0,NA,64.32521536528412,Glycerophospholipid metabolism,Phosphatidylglycerol Phosphate Phosphatase (Homo Sapiens),114971.1,NA,PMID:10799718
PGPPT,-0.9995888230049382,0,0.013227243749464029,64.32521536528412,Glycerophospholipid metabolism,Phosphatidyl-CMP: Glycerophosphate Phosphatidyltransferase,9489.1,NA,PMID:10799718
PHEMEtm,-0.5815162607206337,0,4.937201893307338,18.658467089240254,"Transport, mitochondrial",Transport of Heme,NA,R01512,NA
PHEt4,-0.40625948123439376,0,1.9142539970701022,4.5338624328136445,"Transport, extracellular",Transport of L-Phenylalanine  via Sodium Symport,(54407.1) or (84889.1) or (11254.1) or (6542.1) or (81539.1) or (6541.1) or (55089.1) or ((340024.1) and (57393.1 or 59272.1)),NA,"PMID:10747860,PMID:10891391,PMID:10930503,PMID:11325958,PMID:11342143,PMID:11414754,PMID:11591158,PMID:11891586,PMID:12049641,PMID:1348489,PMID:14770310,PMID:7534987,PMID:8954799"
PHEtec,1.032199163339947,0,0.29078472696244717,-18.352417191908696,"Transport, extracellular",Transport of L-Phenylalanine  via Diffusion,117247.1 or 124935.1 or 8501.1,NA,"PMID:11827462,PMID:14624363,PMID:15659399"
PI3P4K,-0.43568614472330763,0,6.108113314716274,15.539816317354749,Inositol phosphate metabolism,Phosphatidylinositol 3-Phosphate 4-Kinase,55361.1 or 5297.1 or 8394.1 or 23396.1 or 8395.1 or 5298.1,NA,"PMID:10358929,PMID:9211928,PMID:9367159"
PI45PLC,0.3753645960020248,0,42.62247282423042,19.35741665108027,Inositol phosphate metabolism,"Phosphatidylinositol 4, 5-Bisphosphate Phospholipase C",23236.2 or 5336.1 or 9651.1 or 113026.1 or 89869.1 or 84812.1 or 5330.1 or 5335.1 or 51196.1 or 5333.1 or 5332.2 or 5331.1 or 5335.2 or 5334.1 or 5332.1 or 257068.1 or 23236.1 or 23007.1,NA,"PMID:10702670,PMID:10702683,PMID:10760467,PMID:11022047,PMID:11022048,PMID:11118617,PMID:12117804,PMID:12213492,PMID:12416999,PMID:13333955,PMID:15140260,PMID:1644792,PMID:2167438,PMID:7607669,PMID:7612006,PMID:7633416,PMID:7789993,PMID:7835906,PMID:7849701,PMID:7890667,PMID:8530101,PMID:9345909"
