Reaction,fc,pval,S1K,S1K_FC5,subSystem,rxnNames,geneRules,kegg,source
XOLEST182CEH,0.37268807371000556,0,9.426558861616948,20.627257960795028,Cholesterol metabolism,"Hydrolysis of 1-Linoleoyl-Cholesterol, Cholesterol-Ester (18:2, Delta 9, 12)",3988.1 or 1056.1,NA,PMID: 377822
MAGOLE_HSe,-0.5139364539872047,0,3.7227356699467724,1.195219321020419,Glycerophospholipid metabolism,"Lipase, Extracellular, Formation of 1-Oleoylglycerol",4023.1 or 1056.1,NA,PMID: 11717312
LPS5e,0.4291193196608013,0,1.4248906376768042,3.5670128782389234,Glycerophospholipid metabolism,"Lipase, Extracellular, Formation of 1-Palmitoylglycerol",4023.1 or 1056.1,NA,PMID: 11717312
PEOLE_HSPLA2,-0.5791416613285447,0,4.9317828563688115,1.31437349190923,Glycerophospholipid metabolism,Formation of 1-Oleoylglycerophosphoethanolamine (Delta 9) by Phospholipase A2,8398.1 or 5320.1 or 8398.2 or 50487.1 or 5321.1 or 81579.1 or 5322.1 or 64600.1 or 100137049.1 or 123745.1,NA,PMID: 8171289
PAILPALM_HSPLA2,0.4760217461904375,0,5.429228964331819,15.293879007645382,Glycerophospholipid metabolism,Formation of 1-Palmitoylglycerophosphoinositol by Phospholipase A2,8398.1 or 5320.1 or 8398.2 or 50487.1 or 5321.1 or 81579.1 or 5322.1 or 64600.1 or 100137049.1 or 123745.1,NA,PMID: 1464738
PCHOL2LINL_HSPLA2,-0.39024726570553075,0,3.778623349843177,1.6572777924267619,Glycerophospholipid metabolism,Formation of 2-Linoleoylglycerophosphocholine by Phospholipase A2,8398.1 or 5320.1 or 8398.2 or 50487.1 or 5321.1 or 81579.1 or 5322.1 or 64600.1 or 100137049.1 or 123745.1,NA,"PMID: 19570538, PMID: 18220755"
PCHOL2PALM_HSPLA2,0.6435257397330537,0,2.630174832467792,12.126429644378199,Glycerophospholipid metabolism,Formation of 2-Palmitoylglycerophosphocholine by Phospholipase A2,8398.1 or 5320.1 or 8398.2 or 50487.1 or 5321.1 or 81579.1 or 5322.1 or 64600.1 or 100137049.1 or 123745.1,NA,"PMID: 19570538, PMID: 18220755"
PE224_HSPLA2,0.3625202781977396,0,2.1147121491525773,4.519889946656641,Glycerophospholipid metabolism,"Formation of 1-Docosatetraenoyglycerophosphoethanolamine (22:4, Delta 7, 10, 13, 16) by Phospholipase A2",8398.1 or 5320.1 or 8398.2 or 50487.1 or 5321.1 or 81579.1 or 5322.1 or 64600.1 or 100137049.1 or 123745.1,NA,PMID: 8171289
PCHOLN261_HSPLA2,0.530630311410788,0,1.521263270701117,4.96089059515072,Glycerophospholipid metabolism,Formation of Lysopc A C26:1 (Delta 5) by Phospholipase A2,8398.1 or 5320.1 or 8398.2 or 50487.1 or 5321.1 or 81579.1 or 5322.1 or 64600.1 or 100137049.1 or 123745.1,NA,"PMID: 19570538, PMID: 18220755"
PCHOLN28_HSPLA2,0.708361568872602,0,2.2017632461215695,12.897503593369562,Glycerophospholipid metabolism,Formation of Lysopc A C28:0 by Phospholipase A2,8398.1 or 5320.1 or 8398.2 or 50487.1 or 5321.1 or 81579.1 or 5322.1 or 64600.1 or 100137049.1 or 123745.1,NA,"PMID: 19570538, PMID: 18220755"
