Reaction,fc,pval,S1K2,S1K2_FC5,subSystem,rxnNames,geneRules,kegg,source
10FTHF7GLUtm,0.37872128838056274,0,3.671678706622495,8.148068656205457,"Transport, mitochondrial","7-Glutamyl-10Fthf Transport, Mitochondrial",NA,NA,PMID:11375437
24_25DHVITD3t,-0.43644925281784674,0,6.240332104738534,2.4482200212722245,"Transport, extracellular","24, 25-Dihydroxyvitamin D3 Transport from Cytoplasm",NA,NA,NA
24_25DHVITD3tm,-0.43644925281784674,0,6.240332104738534,2.4482200212722245,"Transport, mitochondrial","24, 25-Dihydroxyvitamin D3 Transport from Mitochondria",NA,NA,NA
24_25VITD3Hm,-0.43644925281784674,0,6.240332104738534,2.4482200212722245,Vitamin D metabolism,24R-Vitamin D-25-Hydroxylase (D3),1591.1,NA,"PMID:15358094,PMID:8266831"
25HVITD3tin_m,-0.43644925281784674,0,6.240332104738534,2.4482200212722245,"Transport, mitochondrial",25-Hydroxyvitamin D3 Transport in Mitochondria,NA,NA,NA
2AMADPTm,-0.5839640772924175,0,218.7061798438549,57.44424929681718,Lysine metabolism,L-2-Aminoadipate Shuttle (Cytosol/Mitochondria),89874.1,NA,PMID:11083877
2DR1PP,1,0,NA,4.220939270802604,Pyrimidine catabolism,2-Deoxy-D-Ribose 1-Phosphate Phosphorylase,NA,NA,PMID:9693094
2HCO3_NAt,-1,3.886695948947823e-6,18.281352383244037,0,"Transport, extracellular",Bicarbonate Transport (Na/Hco3 1:2 Symport),57835.3 or 8671.1 or 57835.2 or 57835.1 or 57835.4,NA,PMID:14722772
2OXOADOXm,-0.3506587674034253,0,29.736565113356523,14.296118538523366,Lysine metabolism,"2-Oxoadipate:Lipoamde 2-Oxidoreductase (Decarboxylating And Acceptor-Succinylating), Mitochondrial",(4967.2 and 1738.1 and 8050.1 and 1743.1) or (4967.1 and 1738.1 and 8050.1 and 1743.1),NA,NA
2OXOADPTm,0.6869396928063031,0,-164.2601540350914,-30.48320844022857,Tryptophan metabolism,2-Oxoadipate Shuttle (Cytosol/Mitochondria),89874.1,NA,PMID:11083877
34DHPHEt,-3.085229556031982,0,1.6071160813473166,-3.1485445314653218,"Transport, extracellular","3, 4-Dihydroxy-L-Phenylalanine Transport",117247.1,NA,PMID:11827462
34DHPLACOX,-0.49552638534469107,0,27.468629890155793,9.265766987535917,Tyrosine metabolism,"3, 4-Dihydroxyphenylacetaldehyde:NAD+ Oxidoreductase",218.1 or 222.1 or 220.1 or 221.1,NA,"PMID:11306106,PMID:2071588"
34DHPLACOX_NADP_,-1.2910574372620385,0,6.675619248841889,-52.54710984972864,Tyrosine metabolism,"3, 4-Dihydroxyphenylacetaldehyde:NADP+ Oxidoreductase",222.1 or 221.1 or 218.1,NA,"PMID:11306106,PMID:2071588"
34DHXMANDACOX,0.7391655151928477,0,1.9431419935703278,12.956283555984497,Tyrosine metabolism,"3, 4-Dihydroxymandelaldehyde:NAD+ Oxidoreductase",221.1 or 218.1 or 220.1,NA,"PMID:10424772,PMID:12616643"
3HAO,-0.43289233423138646,0,6.883439692331098,2.724315932969841,Tryptophan metabolism,"3-Hydroxyanthranilate 3, 4-Dioxygenase",23498.1,NA,PMID:7514594
3HKYNAKGAT,-1,0,201.32194198150634,0,Tryptophan metabolism,3-Hydroxy-L-Kynurenine:2-Oxoglutarate Aminotransferase,51166.1 or 883.1 or 51166.2,NA,PMID:13357462
3HLYTCL,-0.5231779716465668,0,162.3377208980359,50.818881836374196,Tyrosine metabolism,3-Hydroxy-L-Tyrosine Carboxy-Lyase,1644.1,NA,NA
3MOX4HOXPGALDOX_NADP_,-1,1.834060876105735e-5,0.1391537276359988,0,Tyrosine metabolism,3-Methoxy-4-Hydroxyphenylglycolaldehyde:NADP+ Oxidoreductase,222.1 or 220.1 or 221.1 or 218.1,NA,NA
3SALAASPm,0.45237925586032696,0,-314.42562462625506,-118.55442980175019,"Transport, mitochondrial",Cysteinesulfinate-Aspartate Mitochondrial Shuttle,10165.1 or 8604.1,NA,PMID:14598172
3SALATAi,1,0,NA,37.60401690481566,Methionine and cysteine metabolism,3-Sulfino-Alanine Transaminase (Irreversible),2805.1,NA,PMID:3346220
3SPYRSP,1,0,NA,37.60401690481566,Methionine and cysteine metabolism,3-Sulfinopyruvate Hydrolase (Spotaneous Reaction),NA,NA,PMID:3346220
41R1H2MAE12BOOX,-0.39254965581869367,0,8.676076317436921,3.7846302450679117,Tyrosine metabolism,"4-[ (1R)-1-Hydroxy-2- (Methylamino)Ethyl]-1, 2-Benzenediol:Oxygen Oxidoreductase (Deaminating) (Flavin-Containing)",4128.1 or 4129.1,NA,"PMID:15035803,PMID:8920635,PMID:9653080"
41R2A1H12BOOX,-0.35355369401547715,0,3.0804524110559877,1.4711991779067837,Tyrosine metabolism,"4-[ (1R)-2-Amino-1-Hydroxyethyl]-1, 2-Benzenediol:Oxygen Oxidoreductase (Deaminating) (Flavin-Containing)",4128.1 or 4129.1,NA,"PMID:15035803,PMID:8920635,PMID:9653080"
42A12BOOX,-0.5283637282895776,0,14.07096518136893,4.3421454164807445,Tyrosine metabolism,"4- (2-Aminoethyl)-1, 2-Benzenediol:Oxygen Oxidoreductase (Deaminating) (Flavin-Containing)",4129.1 or 8639.1 or 26.1 or 314.2 or 314.1 or 4128.1,NA,"PMID:15035803,PMID:8920635,PMID:9653080"
4HDEBRISOQUINEte,0.46615275604920303,0,-8.046847123692311,-2.9299724341495383,"Transport, extracellular",Transport of Xenobiotic,NA,NA,NA
4MOPt2im,-1,0,204.4962246735811,NA,"Transport, mitochondrial",4-Methyl-2-Oxopentanoate Mitochondrial Transport via Proton Symport,NA,NA,PMID:8428987
4MTOLBUTAMIDEte,0.3485220455754057,0,-9.524605702828184,-4.601386132572766,"Transport, extracellular",Transport of Xenobiotic,NA,NA,NA
5ADTSTSTERONEGLCte,-0.6080089746808366,0,9.951658218797792,2.4259570501381704,"Transport, extracellular",Glucuronidated Compound Transport,4363.1,NA,NA
5ADTSTSTERONEGLCtr,0.6080089746826545,0,-9.951658218797713,-2.425957050124157,"Transport, endoplasmic reticular",Glucuronidated Compound Transport,NA,NA,NA
5AOPtm,-1,0,236.7783259064026,NA,Heme synthesis,5-Aminolevulinate Mitochondrial Transport,NA,NA,PMID:10558864
5MTHFt,-0.4460567913471942,0,184.31239027794302,70.60483203423397,"Transport, extracellular",5-Methyltetrahydrofolate Transport via Receptor Binding And Protolysis,2348.5 or 2348.3 or 2348.1 or 2348.6 or 2352.1 or 2348.4 or 2348.2,NA,PMID:15094208
6HTSTSTERONEte,-0.4599028454521562,0,10.72239522185358,3.9667948913866966,"Transport, extracellular",Hydroxylated Testosterone Transport,NA,NA,NA
6HTSTSTERONEtr,0.45990284544799037,0,-10.722395221853184,-3.9667948914284654,"Transport, endoplasmic reticular",Hydroxylated Testosterone Transport,NA,NA,NA
7DHFtm,-0.36944780713226477,0,1.5806417339462255,0.7277948865865687,"Transport, mitochondrial","7-Glutamyl-Dhf Transport, M Mitochondrial",NA,NA,PMID:11375437
AACTOOR,-0.674030301081116,0,155.0933045319125,30.200001606872117,"Glycine, serine, alanine, and threonine metabolism",Aminoacetone:Oxygen Oxidoreductase (Deaminating) (Flavin-Containing),8639.1,NA,"PMID:10328770,PMID:12878330"
AACTtm,-0.674030301081116,0,155.0933045319125,30.200001606872117,"Transport, mitochondrial","Aminoacetone Transport, Mitochondrial",NA,NA,NA
AATAi,0.8247502783083115,0,-197.44970379781722,-18.96314583426372,Lysine metabolism,"2-Aminoadipate Transaminase, Irreversible",51166.1 or 51166.2,NA,PMID:12126930
ABO2g,-0.39776422241227766,0,1.6100276442053438,0.6936908490706387,Blood group synthesis,"Abo Blood Group (Transferase A, Alpha 1-3-N-Acetylgalactosaminyltransferase",28.1,NA,"PMID:11421346,PMID:12198488,PMID:2121736"
ABO3g,-0.39732793286903423,0,1.2629128513247856,0.5446984067307752,Blood group synthesis,"Abo Blood Group (Transferase A, Alpha 1-3-N-Acetylgalactosaminyltransferase",28.1,NA,"PMID:11421346,PMID:12198488,PMID:2121736"
ABO4g,-0.49424770257850514,0,1.1253595250712862,0.3808961286992931,Blood group synthesis,"Abo Blood Group (Transferase A, Alpha 1-3-N-Acetylgalactosaminyltransferase",28.1,NA,"PMID:11421346,PMID:12198488,PMID:2121736"
