Reaction,fc,pval,S1C2,S1K2,subSystem,rxnNames,geneRules,kegg,source
10FTHF7GLUtl,0.533783366440242,0,2.371244371246031,7.801041216853191,"Transport, lysosomal","7-Glutamyl-10Fthf Transport, Lysosomal",NA,NA,PMID:11375437
10FTHF7GLUtm,0.5449763721501661,0,1.0813761268473092,3.671678706622495,"Transport, mitochondrial","7-Glutamyl-10Fthf Transport, Mitochondrial",NA,NA,PMID:11375437
10FTHFtl,-0.533783366440242,0,-2.371244371246031,-7.801041216853191,"Transport, lysosomal",10-Formyltetrahydrofolate Lysosomal Transport via Diffusion,NA,NA,PMID:11375437
10FTHFtm,3.225248739644211,0,-34.9939393292116,66.44564960840195,"Transport, mitochondrial",10-Formyltetrahydrofolate Mitochondrial Transport via Diffusion,NA,NA,PMID:11375437
2AMADPTm,0.5907808806863378,0,56.26089135893043,218.7061798438549,Lysine metabolism,L-2-Aminoadipate Shuttle (Cytosol/Mitochondria),89874.1,NA,PMID:11083877
2DR1PP,-1,0,5.876660702782663,NA,Pyrimidine catabolism,2-Deoxy-D-Ribose 1-Phosphate Phosphorylase,NA,NA,PMID:9693094
2HBO,-0.3391202612740486,0,-219.09058471775054,-443.93650441684724,Propanoate metabolism,2-Hydroxybutyrate:NAD+ Oxidoreductase,92483.1 or 3948.2 or 55293.1 or (3945.1 and 3939.1) or 3939.1 or 160287.1 or 3945.1 or 3948.1,NA,"PMID:10108,PMID:21765"
2HBt2,-0.7224884949102229,0,-12.16655105946362,-75.51666809591985,"Transport, extracellular",2-Hydroxybutyrate Symport with Proton,9123.1 or 9194.1 or 6566.1,NA,"PMID:10510291,PMID:11101640,PMID:12739169,PMID:7835905,PMID:8476015,PMID:9425115,PMID:9508842,PMID:9649795,PMID:9786900,PMID:9824713"
2HCO3_NAt,0.42729543193640623,0.0014965423326841556,7.335421795654296,18.281352383244037,"Transport, extracellular",Bicarbonate Transport (Na/Hco3 1:2 Symport),57835.3 or 8671.1 or 57835.2 or 57835.1 or 57835.4,NA,PMID:14722772
2OXOADPTm,0.4505761766033207,0,-433.6758911097765,-164.2601540350914,Tryptophan metabolism,2-Oxoadipate Shuttle (Cytosol/Mitochondria),89874.1,NA,PMID:11083877
34DHPHEt,1.056527644794634,2.74109184678744e-15,-0.044174697685241696,1.6071160813473166,"Transport, extracellular","3, 4-Dihydroxy-L-Phenylalanine Transport",117247.1,NA,PMID:11827462
34DHPLACOX,0.9882730667005201,0,0.16201134338378906,27.468629890155793,Tyrosine metabolism,"3, 4-Dihydroxyphenylacetaldehyde:NAD+ Oxidoreductase",218.1 or 222.1 or 220.1 or 221.1,NA,"PMID:11306106,PMID:2071588"
34DHPLACOX_NADP_,1.074321965038763,0,-186.31616684093476,6.675619248841889,Tyrosine metabolism,"3, 4-Dihydroxyphenylacetaldehyde:NADP+ Oxidoreductase",222.1 or 221.1 or 218.1,NA,"PMID:11306106,PMID:2071588"
34DHXMANDACOX,0.3579766547690804,0.003282633294708441,0.9186774445565418,1.9431419935703278,Tyrosine metabolism,"3, 4-Dihydroxymandelaldehyde:NAD+ Oxidoreductase",221.1 or 218.1 or 220.1,NA,"PMID:10424772,PMID:12616643"
35CGMPtn,1,0,NA,6.059370769242404,"Transport, nuclear",35CGMP Nuclear Transport,NA,NA,NA
3DSPHR,0.8091155125166566,0,13.272168308592821,125.787516253265,Sphingolipid metabolism,3-Dehydrosphinganine Reductase,2531.1,NA,NA
3HBCDm,0.35247390602791934,0,243.84228040901274,509.30815685977933,Butanoate metabolism,"3-Hydroxybutyryl Coenzyme A Dehydratase, Mitochondrial",55268.1,NA,PMID:9073515
3HBCOAHLm,-0.42018845504276325,0,67.39357332849801,27.514356797534063,"Valine, leucine, and isoleucine metabolism","3-Hydroxyisobutyryl Coenzyme A Hydrolase, Mitochondrial",NA,NA,PMID:8824301
3HKYNAKGAT,0.9363191143767073,0,6.620995199394226,201.32194198150634,Tryptophan metabolism,3-Hydroxy-L-Kynurenine:2-Oxoglutarate Aminotransferase,51166.1 or 883.1 or 51166.2,NA,PMID:13357462
3M4HDXPAC,-0.3547032319684914,0,5.015826071128151,2.3892290771344795,Tyrosine metabolism,3-Methoxy-4-Hydroxyphenylacetaldehyde:NAD+ Oxidoreductase,218.1 or 221.1 or 222.1 or 220.1,NA,"PMID:6422947,PMID:9732974"
3MLDAt,-0.46989876282244375,0,22.052961321402886,7.953134171946095,"Transport, extracellular",3Mlda Extracellular Transport via Diffusion,NA,NA,PMID:11411609
3MOPt2im,-0.6535350121463657,0,434.8764949487209,91.11961853451393,"Transport, mitochondrial",3-Methyl-2-Oxopentanoate Mitochondrial Transport via Proton Symport,NA,NA,PMID:8428987
3MOX4HOXPGALDOX_NADP_,1,1.8342516511941848e-5,0,0.1391537276359988,Tyrosine metabolism,3-Methoxy-4-Hydroxyphenylglycolaldehyde:NADP+ Oxidoreductase,222.1 or 220.1 or 221.1 or 218.1,NA,NA
3MOXTYROX,-0.3547032319684914,0,5.015826071128151,2.3892290771344795,Tyrosine metabolism,3-Methoxytyramine:Oxygen Oxidoreductase (Deaminating),4128.1 or 4129.1,NA,PMID:10867119
3SALAASPm,-0.40032363587096764,0,-134.65002699007988,-314.42562462625506,"Transport, mitochondrial",Cysteinesulfinate-Aspartate Mitochondrial Shuttle,10165.1 or 8604.1,NA,PMID:14598172
3SALATAi,-1,0,103.78850765948519,NA,Methionine and cysteine metabolism,3-Sulfino-Alanine Transaminase (Irreversible),2805.1,NA,PMID:3346220
3SPYRSP,-1,0,103.78850765948519,NA,Methionine and cysteine metabolism,3-Sulfinopyruvate Hydrolase (Spotaneous Reaction),NA,NA,PMID:3346220
4ABUTtm,1,0,-805.6628022094726,NA,"Transport, mitochondrial",4-Aminobutanoate Mitochondrial Transport via Diffusion,NA,NA,PMID:10407778
5ADTSTSTERONEGLCte,0.6309413748061141,0,2.2519174247238434,9.951658218797792,"Transport, extracellular",Glucuronidated Compound Transport,4363.1,NA,NA
5ADTSTSTERONEGLCtr,-0.6309413748061116,0,-2.2519174247238434,-9.951658218797713,"Transport, endoplasmic reticular",Glucuronidated Compound Transport,NA,NA,NA
5AOPtm,1,0,NA,236.7783259064026,Heme synthesis,5-Aminolevulinate Mitochondrial Transport,NA,NA,PMID:10558864
5FTHFt2,0.4739586706248739,0,88.66495904800072,248.4376756568581,"Transport, extracellular",5-Formyltetrahydrofolate Transport via Anion Exchange,6573.1 or 6573.2,NA,"PMID:11375437,PMID:14770311"
5MTHFt,-0.5327014581327956,0,604.5297470909358,184.31239027794302,"Transport, extracellular",5-Methyltetrahydrofolate Transport via Receptor Binding And Protolysis,2348.5 or 2348.3 or 2348.1 or 2348.6 or 2352.1 or 2348.4 or 2348.2,NA,PMID:15094208
6HTSTSTERONEte,0.40326672007268455,0,4.55965354119012,10.72239522185358,"Transport, extracellular",Hydroxylated Testosterone Transport,NA,NA,NA
6HTSTSTERONEtr,-0.4032667200726371,0,-4.559653541190469,-10.722395221853184,"Transport, endoplasmic reticular",Hydroxylated Testosterone Transport,NA,NA,NA
AACTOOR,0.4431182084923181,0,59.84862277415972,155.0933045319125,"Glycine, serine, alanine, and threonine metabolism",Aminoacetone:Oxygen Oxidoreductase (Deaminating) (Flavin-Containing),8639.1,NA,"PMID:10328770,PMID:12878330"
AACTtm,0.4431182084923181,0,59.84862277415972,155.0933045319125,"Transport, mitochondrial","Aminoacetone Transport, Mitochondrial",NA,NA,NA
AATAi,-0.6807188435352846,0,-37.50893257052909,-197.44970379781722,Lysine metabolism,"2-Aminoadipate Transaminase, Irreversible",51166.1 or 51166.2,NA,PMID:12126930
ABO4g,0.439735204607551,0,0.4379272813773224,1.1253595250712862,Blood group synthesis,"Abo Blood Group (Transferase A, Alpha 1-3-N-Acetylgalactosaminyltransferase",28.1,NA,"PMID:11421346,PMID:12198488,PMID:2121736"
ABO5g,0.439735204607551,0,0.4379272813773224,1.1253595250712862,Blood group synthesis,"Abo Blood Group (Transferase A, Alpha 1-3-N-Acetylgalactosaminyltransferase",28.1,NA,"PMID:11421346,PMID:12198488,PMID:2121736"
